Windfarm,Scale,Start,End,Duration
ARWF1,4h,2014-05-28 12:00:00,2014-05-31 08:00:00,68.0
ARWF1,4h,2014-06-01 09:00:00,2014-06-02 10:00:00,25.0
ARWF1,4h,2014-07-19 23:00:00,2014-07-21 01:00:00,26.0
ARWF1,4h,2014-07-21 09:00:00,2014-07-23 02:00:00,41.0
ARWF1,4h,2015-06-11 03:00:00,2015-06-12 13:00:00,34.0
ARWF1,4h,2015-07-06 13:00:00,2015-07-07 21:00:00,32.0
ARWF1,4h,2015-08-07 12:00:00,2015-08-08 15:00:00,27.0
ARWF1,4h,2015-08-17 23:00:00,2015-08-19 00:00:00,25.0
ARWF1,4h,2015-08-25 22:00:00,2015-08-26 22:00:00,24.0
ARWF1,4h,2016-05-28 23:00:00,2016-05-29 23:00:00,24.0
ARWF1,4h,2016-07-08 08:00:00,2016-07-09 11:00:00,27.0
ARWF1,4h,2017-05-03 14:00:00,2017-05-04 19:00:00,29.0
ARWF1,4h,2017-05-09 15:00:00,2017-05-12 04:00:00,61.0
ARWF1,4h,2017-06-02 15:00:00,2017-06-04 15:00:00,48.0
ARWF1,4h,2017-06-17 17:00:00,2017-06-18 17:00:00,24.0
ARWF1,4h,2017-07-10 14:00:00,2017-07-11 20:00:00,30.0
ARWF1,4h,2017-07-31 08:00:00,2017-08-01 10:00:00,26.0
ARWF1,4h,2018-06-20 22:00:00,2018-06-22 02:00:00,28.0
ARWF1,4h,2018-06-25 23:00:00,2018-06-28 10:00:00,59.0
ARWF1,4h,2018-07-12 16:00:00,2018-07-13 20:00:00,28.0
ARWF1,4h,2019-10-21 21:00:00,2019-10-23 00:00:00,27.0
ARWF1,4h,2020-05-16 12:00:00,2020-05-17 22:00:00,34.0
ARWF1,4h,2020-06-10 17:00:00,2020-06-11 22:00:00,29.0
ARWF1,4h,2020-06-26 08:00:00,2020-06-29 01:00:00,65.0
ARWF1,4h,2020-07-07 06:00:00,2020-07-08 06:00:00,24.0
ARWF1,4h,2021-04-28 14:00:00,2021-04-30 00:00:00,34.0
ARWF1,12h,2014-05-10 18:00:00,2014-05-12 14:00:00,44.0
ARWF1,12h,2014-05-28 18:00:00,2014-06-01 01:00:00,79.0
ARWF1,12h,2014-06-01 14:00:00,2014-06-03 10:00:00,44.0
ARWF1,12h,2014-06-17 16:00:00,2014-06-18 16:00:00,24.0
ARWF1,12h,2014-07-19 18:00:00,2014-07-23 05:00:00,83.0
ARWF1,12h,2014-08-26 09:00:00,2014-08-29 06:00:00,69.0
ARWF1,12h,2014-09-11 23:00:00,2014-09-13 07:00:00,32.0
ARWF1,12h,2015-03-27 23:00:00,2015-03-29 02:00:00,27.0
ARWF1,12h,2015-04-17 00:00:00,2015-04-18 01:00:00,25.0
ARWF1,12h,2015-05-02 22:00:00,2015-05-03 23:00:00,25.0
ARWF1,12h,2015-05-25 07:00:00,2015-05-26 08:00:00,25.0
ARWF1,12h,2015-06-01 23:00:00,2015-06-03 13:00:00,38.0
ARWF1,12h,2015-06-04 21:00:00,2015-06-05 23:00:00,26.0
ARWF1,12h,2015-06-11 08:00:00,2015-06-12 18:00:00,34.0
ARWF1,12h,2015-06-20 01:00:00,2015-06-21 02:00:00,25.0
ARWF1,12h,2015-07-06 17:00:00,2015-07-08 00:00:00,31.0
ARWF1,12h,2015-08-07 14:00:00,2015-08-08 18:00:00,28.0
ARWF1,12h,2015-08-14 16:00:00,2015-08-15 20:00:00,28.0
ARWF1,12h,2015-09-26 01:00:00,2015-09-27 10:00:00,33.0
ARWF1,12h,2016-03-10 00:00:00,2016-03-11 09:00:00,33.0
ARWF1,12h,2016-04-07 04:00:00,2016-04-08 05:00:00,25.0
ARWF1,12h,2016-05-31 22:00:00,2016-06-03 13:00:00,63.0
ARWF1,12h,2016-07-07 18:00:00,2016-07-09 13:00:00,43.0
ARWF1,12h,2016-07-18 22:00:00,2016-07-20 21:00:00,47.0
ARWF1,12h,2016-08-31 19:00:00,2016-09-01 23:00:00,28.0
ARWF1,12h,2017-04-14 23:00:00,2017-04-16 07:00:00,32.0
ARWF1,12h,2017-05-03 16:00:00,2017-05-05 00:00:00,32.0
ARWF1,12h,2017-05-09 16:00:00,2017-05-12 08:00:00,64.0
ARWF1,12h,2017-05-31 22:00:00,2017-06-02 08:00:00,34.0
ARWF1,12h,2017-06-02 13:00:00,2017-06-05 00:00:00,59.0
ARWF1,12h,2017-06-16 12:00:00,2017-06-19 04:00:00,64.0
ARWF1,12h,2017-06-21 01:00:00,2017-06-22 01:00:00,24.0
ARWF1,12h,2017-06-26 02:00:00,2017-06-27 02:00:00,24.0
ARWF1,12h,2017-07-10 20:00:00,2017-07-12 02:00:00,30.0
ARWF1,12h,2017-07-30 20:00:00,2017-08-02 23:00:00,75.0
ARWF1,12h,2017-08-24 23:00:00,2017-08-25 23:00:00,24.0
ARWF1,12h,2018-04-18 15:00:00,2018-04-21 08:00:00,65.0
ARWF1,12h,2018-04-21 22:00:00,2018-04-23 03:00:00,29.0
ARWF1,12h,2018-04-30 00:00:00,2018-05-01 01:00:00,25.0
ARWF1,12h,2018-05-31 23:00:00,2018-06-02 19:00:00,44.0
ARWF1,12h,2018-06-09 00:00:00,2018-06-10 07:00:00,31.0
