Windfarm,Scale,Start,End,Duration
BADGINGARRA_WF1,4h,2014-05-09 23:00:00,2014-05-11 05:00:00,30.0
BADGINGARRA_WF1,4h,2018-06-07 13:00:00,2018-06-08 14:00:00,25.0
BADGINGARRA_WF1,4h,2018-06-10 16:00:00,2018-06-12 04:00:00,36.0
BADGINGARRA_WF1,4h,2018-07-27 17:00:00,2018-07-28 22:00:00,29.0
BADGINGARRA_WF1,4h,2019-06-14 17:00:00,2019-06-16 06:00:00,37.0
BADGINGARRA_WF1,4h,2019-07-05 17:00:00,2019-07-06 17:00:00,24.0
BADGINGARRA_WF1,4h,2021-06-10 12:00:00,2021-06-11 20:00:00,32.0
BADGINGARRA_WF1,4h,2021-06-11 23:00:00,2021-06-13 07:00:00,32.0
BADGINGARRA_WF1,4h,2021-06-29 16:00:00,2021-06-30 17:00:00,25.0
BADGINGARRA_WF1,12h,2014-05-09 21:00:00,2014-05-12 03:00:00,54.0
BADGINGARRA_WF1,12h,2014-05-12 17:00:00,2014-05-20 06:00:00,181.0
BADGINGARRA_WF1,12h,2014-06-01 09:00:00,2014-06-02 12:00:00,27.0
BADGINGARRA_WF1,12h,2014-07-23 02:00:00,2014-07-24 18:00:00,40.0
BADGINGARRA_WF1,12h,2014-07-28 19:00:00,2014-07-30 07:00:00,36.0
BADGINGARRA_WF1,12h,2014-08-24 01:00:00,2014-08-25 06:00:00,29.0
BADGINGARRA_WF1,12h,2014-09-01 23:00:00,2014-09-02 23:00:00,24.0
BADGINGARRA_WF1,12h,2015-06-04 08:00:00,2015-06-06 08:00:00,48.0
BADGINGARRA_WF1,12h,2015-07-03 01:00:00,2015-07-07 05:00:00,100.0
BADGINGARRA_WF1,12h,2015-07-29 01:00:00,2015-07-30 02:00:00,25.0
BADGINGARRA_WF1,12h,2016-04-12 07:00:00,2016-04-13 13:00:00,30.0
BADGINGARRA_WF1,12h,2016-04-26 23:00:00,2016-04-28 03:00:00,28.0
BADGINGARRA_WF1,12h,2016-05-16 06:00:00,2016-05-17 10:00:00,28.0
BADGINGARRA_WF1,12h,2016-05-26 06:00:00,2016-05-27 17:00:00,35.0
BADGINGARRA_WF1,12h,2016-05-28 18:00:00,2016-05-29 18:00:00,24.0
BADGINGARRA_WF1,12h,2016-06-05 00:00:00,2016-06-06 03:00:00,27.0
BADGINGARRA_WF1,12h,2016-06-09 04:00:00,2016-06-10 17:00:00,37.0
BADGINGARRA_WF1,12h,2016-06-15 02:00:00,2016-06-16 17:00:00,39.0
BADGINGARRA_WF1,12h,2016-07-19 06:00:00,2016-07-20 09:00:00,27.0
