Windfarm,Scale,Start,End,Duration
BALDHWF1,4h,2014-06-21 04:00:00,2014-06-22 07:00:00,27.0
BALDHWF1,4h,2014-07-20 07:00:00,2014-07-21 09:00:00,26.0
BALDHWF1,4h,2016-01-21 13:00:00,2016-01-22 13:00:00,24.0
BALDHWF1,4h,2017-06-16 02:00:00,2017-06-17 04:00:00,26.0
BALDHWF1,4h,2018-05-25 01:00:00,2018-05-26 06:00:00,29.0
BALDHWF1,4h,2018-05-31 12:00:00,2018-06-02 03:00:00,39.0
BALDHWF1,4h,2019-05-17 01:00:00,2019-05-18 05:00:00,28.0
BALDHWF1,4h,2019-06-22 09:00:00,2019-06-23 18:00:00,33.0
BALDHWF1,4h,2020-06-27 01:00:00,2020-06-29 09:00:00,56.0
BALDHWF1,4h,2020-07-07 11:00:00,2020-07-08 12:00:00,25.0
BALDHWF1,4h,2020-07-10 17:00:00,2020-07-11 18:00:00,25.0
BALDHWF1,4h,2021-05-29 02:00:00,2021-05-30 11:00:00,33.0
BALDHWF1,4h,2021-07-08 18:00:00,2021-07-10 14:00:00,44.0
BALDHWF1,12h,2014-02-23 00:00:00,2014-02-24 09:00:00,33.0
BALDHWF1,12h,2014-06-21 07:00:00,2014-06-22 12:00:00,29.0
BALDHWF1,12h,2014-07-20 08:00:00,2014-07-22 13:00:00,53.0
BALDHWF1,12h,2014-08-14 04:00:00,2014-08-16 09:00:00,53.0
BALDHWF1,12h,2014-08-19 16:00:00,2014-08-20 18:00:00,26.0
BALDHWF1,12h,2014-08-27 04:00:00,2014-08-29 10:00:00,54.0
BALDHWF1,12h,2014-09-03 17:00:00,2014-09-05 08:00:00,39.0
BALDHWF1,12h,2015-02-16 21:00:00,2015-02-18 09:00:00,36.0
BALDHWF1,12h,2015-05-15 20:00:00,2015-05-16 23:00:00,27.0
BALDHWF1,12h,2015-06-11 18:00:00,2015-06-14 07:00:00,61.0
BALDHWF1,12h,2015-08-30 01:00:00,2015-09-01 10:00:00,57.0
BALDHWF1,12h,2016-04-23 18:00:00,2016-04-24 19:00:00,25.0
BALDHWF1,12h,2016-07-20 02:00:00,2016-07-21 04:00:00,26.0
BALDHWF1,12h,2016-08-22 12:00:00,2016-08-24 10:00:00,46.0
BALDHWF1,12h,2017-03-10 07:00:00,2017-03-11 07:00:00,24.0
BALDHWF1,12h,2017-05-09 02:00:00,2017-05-10 17:00:00,39.0
BALDHWF1,12h,2017-06-02 16:00:00,2017-06-04 07:00:00,39.0
BALDHWF1,12h,2017-06-16 05:00:00,2017-06-17 09:00:00,28.0
BALDHWF1,12h,2017-07-01 10:00:00,2017-07-02 11:00:00,25.0
BALDHWF1,12h,2017-07-30 23:00:00,2017-08-01 15:00:00,40.0
BALDHWF1,12h,2017-10-14 14:00:00,2017-10-15 17:00:00,27.0
BALDHWF1,12h,2018-03-31 00:00:00,2018-04-01 00:00:00,24.0
BALDHWF1,12h,2018-04-03 21:00:00,2018-04-05 02:00:00,29.0
BALDHWF1,12h,2018-04-19 04:00:00,2018-04-20 06:00:00,26.0
BALDHWF1,12h,2018-04-22 01:00:00,2018-04-23 07:00:00,30.0
BALDHWF1,12h,2018-04-27 02:00:00,2018-04-28 06:00:00,28.0
BALDHWF1,12h,2018-05-24 23:00:00,2018-05-26 11:00:00,36.0
BALDHWF1,12h,2018-05-31 17:00:00,2018-06-05 06:00:00,109.0
BALDHWF1,12h,2018-06-25 15:00:00,2018-06-27 17:00:00,50.0
BALDHWF1,12h,2018-08-23 02:00:00,2018-08-24 13:00:00,35.0
BALDHWF1,12h,2018-12-22 19:00:00,2018-12-24 00:00:00,29.0
BALDHWF1,12h,2019-05-15 22:00:00,2019-05-18 10:00:00,60.0
BALDHWF1,12h,2019-06-22 07:00:00,2019-06-23 22:00:00,39.0
BALDHWF1,12h,2019-07-30 09:00:00,2019-07-31 15:00:00,30.0
