Windfarm,Scale,Start,End,Duration
BOCORWF1,12h,2014-03-29 17:00:00,2014-03-31 09:00:00,40.0
BOCORWF1,12h,2014-04-08 10:00:00,2014-04-09 12:00:00,26.0
BOCORWF1,12h,2014-04-16 02:00:00,2014-04-17 02:00:00,24.0
BOCORWF1,12h,2014-05-23 22:00:00,2014-05-25 00:00:00,26.0
BOCORWF1,12h,2014-05-28 19:00:00,2014-05-30 03:00:00,32.0
BOCORWF1,12h,2014-06-04 00:00:00,2014-06-05 08:00:00,32.0
BOCORWF1,12h,2014-07-21 13:00:00,2014-07-23 10:00:00,45.0
BOCORWF1,12h,2014-08-20 07:00:00,2014-08-21 07:00:00,24.0
BOCORWF1,12h,2015-05-23 20:00:00,2015-05-26 12:00:00,64.0
BOCORWF1,12h,2015-06-05 08:00:00,2015-06-06 10:00:00,26.0
BOCORWF1,12h,2015-06-10 18:00:00,2015-06-12 11:00:00,41.0
BOCORWF1,12h,2015-06-13 08:00:00,2015-06-14 12:00:00,28.0
BOCORWF1,12h,2015-06-20 09:00:00,2015-06-21 09:00:00,24.0
BOCORWF1,12h,2015-06-27 08:00:00,2015-06-28 19:00:00,35.0
BOCORWF1,12h,2015-11-02 04:00:00,2015-11-03 04:00:00,24.0
BOCORWF1,12h,2015-11-08 02:00:00,2015-11-10 06:00:00,52.0
BOCORWF1,12h,2016-03-12 20:00:00,2016-03-14 03:00:00,31.0
BOCORWF1,12h,2016-03-25 17:00:00,2016-03-27 06:00:00,37.0
BOCORWF1,12h,2016-06-18 01:00:00,2016-06-19 08:00:00,31.0
BOCORWF1,12h,2016-07-07 20:00:00,2016-07-09 16:00:00,44.0
BOCORWF1,12h,2016-08-04 19:00:00,2016-08-06 10:00:00,39.0
BOCORWF1,12h,2017-04-22 13:00:00,2017-04-23 16:00:00,27.0
BOCORWF1,12h,2017-05-10 16:00:00,2017-05-12 00:00:00,32.0
BOCORWF1,12h,2017-05-20 04:00:00,2017-05-22 07:00:00,51.0
BOCORWF1,12h,2017-05-25 05:00:00,2017-05-26 06:00:00,25.0
BOCORWF1,12h,2017-06-03 05:00:00,2017-06-05 15:00:00,58.0
BOCORWF1,12h,2017-06-14 21:00:00,2017-06-16 14:00:00,41.0
BOCORWF1,12h,2017-06-18 17:00:00,2017-06-19 17:00:00,24.0
BOCORWF1,12h,2017-08-22 01:00:00,2017-08-23 08:00:00,31.0
BOCORWF1,12h,2017-08-25 11:00:00,2017-08-26 23:00:00,36.0
BOCORWF1,12h,2018-04-30 07:00:00,2018-05-01 08:00:00,25.0
BOCORWF1,12h,2018-05-26 07:00:00,2018-05-27 18:00:00,35.0
BOCORWF1,12h,2018-06-19 23:00:00,2018-06-23 03:00:00,76.0
BOCORWF1,12h,2019-05-14 05:00:00,2019-05-15 13:00:00,32.0
BOCORWF1,12h,2019-05-17 10:00:00,2019-05-18 13:00:00,27.0
BOCORWF1,12h,2019-07-03 01:00:00,2019-07-04 07:00:00,30.0
BOCORWF1,12h,2019-07-30 12:00:00,2019-08-01 06:00:00,42.0
BOCORWF1,12h,2020-03-08 00:00:00,2020-03-09 08:00:00,32.0
BOCORWF1,12h,2020-05-14 06:00:00,2020-05-15 10:00:00,28.0
BOCORWF1,12h,2020-05-27 11:00:00,2020-05-29 09:00:00,46.0
BOCORWF1,12h,2020-06-04 06:00:00,2020-06-05 19:00:00,37.0
BOCORWF1,12h,2020-06-06 01:00:00,2020-06-07 09:00:00,32.0
BOCORWF1,12h,2020-06-26 23:00:00,2020-06-29 03:00:00,52.0
