Windfarm,Scale,Start,End,Duration
BODWF1,4h,2014-03-27 20:00:00,2014-03-29 17:00:00,45.0
BODWF1,4h,2014-08-30 21:00:00,2014-08-31 21:00:00,24.0
BODWF1,4h,2015-05-25 04:00:00,2015-05-27 20:00:00,64.0
BODWF1,4h,2016-05-05 13:00:00,2016-05-06 17:00:00,28.0
BODWF1,4h,2016-05-15 18:00:00,2016-05-16 23:00:00,29.0
BODWF1,4h,2016-06-25 15:00:00,2016-06-26 23:00:00,32.0
BODWF1,4h,2016-08-20 18:00:00,2016-08-21 18:00:00,24.0
BODWF1,4h,2017-05-20 00:00:00,2017-05-21 13:00:00,37.0
BODWF1,4h,2018-06-22 02:00:00,2018-06-23 03:00:00,25.0
BODWF1,4h,2018-07-14 19:00:00,2018-07-16 00:00:00,29.0
BODWF1,4h,2018-07-21 20:00:00,2018-07-22 21:00:00,25.0
BODWF1,4h,2019-05-21 09:00:00,2019-05-22 18:00:00,33.0
BODWF1,4h,2020-03-18 03:00:00,2020-03-19 10:00:00,31.0
BODWF1,4h,2020-04-14 02:00:00,2020-04-15 03:00:00,25.0
BODWF1,4h,2020-06-05 18:00:00,2020-06-06 18:00:00,24.0
BODWF1,4h,2020-08-02 01:00:00,2020-08-03 03:00:00,26.0
BODWF1,4h,2021-06-13 14:00:00,2021-06-15 14:00:00,48.0
BODWF1,12h,2014-03-17 00:00:00,2014-03-18 09:00:00,33.0
BODWF1,12h,2014-03-28 02:00:00,2014-03-30 11:00:00,57.0
BODWF1,12h,2014-04-22 14:00:00,2014-04-23 21:00:00,31.0
BODWF1,12h,2014-05-18 09:00:00,2014-05-23 01:00:00,112.0
BODWF1,12h,2014-06-04 12:00:00,2014-06-05 14:00:00,26.0
BODWF1,12h,2014-06-20 20:00:00,2014-06-22 14:00:00,42.0
BODWF1,12h,2014-07-02 05:00:00,2014-07-04 00:00:00,43.0
BODWF1,12h,2014-08-31 02:00:00,2014-09-01 03:00:00,25.0
BODWF1,12h,2015-05-25 09:00:00,2015-05-28 10:00:00,73.0
BODWF1,12h,2015-05-29 11:00:00,2015-05-31 05:00:00,42.0
