Windfarm,Scale,Start,End,Duration
CAPTL_WF,4h,2014-03-28 04:00:00,2014-03-29 04:00:00,24.0
CAPTL_WF,4h,2014-03-31 17:00:00,2014-04-01 23:00:00,30.0
CAPTL_WF,4h,2015-05-16 18:00:00,2015-05-18 05:00:00,35.0
CAPTL_WF,4h,2015-05-22 21:00:00,2015-05-24 03:00:00,30.0
CAPTL_WF,4h,2015-07-19 00:00:00,2015-07-20 08:00:00,32.0
CAPTL_WF,4h,2016-09-04 23:00:00,2016-09-05 23:00:00,24.0
CAPTL_WF,4h,2017-05-20 21:00:00,2017-05-22 10:00:00,37.0
CAPTL_WF,4h,2017-06-03 16:00:00,2017-06-05 02:00:00,34.0
CAPTL_WF,4h,2017-06-10 08:00:00,2017-06-11 09:00:00,25.0
CAPTL_WF,4h,2019-06-15 03:00:00,2019-06-16 05:00:00,26.0
CAPTL_WF,4h,2020-07-10 00:00:00,2020-07-11 15:00:00,39.0
CAPTL_WF,4h,2021-03-31 16:00:00,2021-04-01 23:00:00,31.0
CAPTL_WF,4h,2021-05-21 17:00:00,2021-05-23 01:00:00,32.0
CAPTL_WF,4h,2021-06-14 01:00:00,2021-06-15 18:00:00,41.0
CAPTL_WF,12h,2014-03-27 23:00:00,2014-03-29 06:00:00,31.0
CAPTL_WF,12h,2014-03-29 19:00:00,2014-04-02 02:00:00,79.0
CAPTL_WF,12h,2014-04-07 22:00:00,2014-04-09 10:00:00,36.0
CAPTL_WF,12h,2014-05-12 20:00:00,2014-05-14 01:00:00,29.0
CAPTL_WF,12h,2014-06-04 06:00:00,2014-06-05 09:00:00,27.0
CAPTL_WF,12h,2014-07-20 03:00:00,2014-07-24 07:00:00,100.0
CAPTL_WF,12h,2014-08-02 14:00:00,2014-08-03 22:00:00,32.0
CAPTL_WF,12h,2014-09-21 23:00:00,2014-09-23 09:00:00,34.0
CAPTL_WF,12h,2015-02-06 23:00:00,2015-02-08 00:00:00,25.0
CAPTL_WF,12h,2015-05-16 15:00:00,2015-05-18 14:00:00,47.0
CAPTL_WF,12h,2015-05-22 21:00:00,2015-05-24 19:00:00,46.0
CAPTL_WF,12h,2015-05-25 20:00:00,2015-05-26 20:00:00,24.0
CAPTL_WF,12h,2015-06-02 22:00:00,2015-06-04 00:00:00,26.0
CAPTL_WF,12h,2015-06-11 01:00:00,2015-06-12 09:00:00,32.0
CAPTL_WF,12h,2015-06-19 10:00:00,2015-06-21 03:00:00,41.0
CAPTL_WF,12h,2015-06-28 01:00:00,2015-06-29 18:00:00,41.0
CAPTL_WF,12h,2015-07-07 20:00:00,2015-07-09 09:00:00,37.0
CAPTL_WF,12h,2015-07-18 17:00:00,2015-07-20 10:00:00,41.0
CAPTL_WF,12h,2015-07-22 21:00:00,2015-07-23 22:00:00,25.0
CAPTL_WF,12h,2015-11-08 22:00:00,2015-11-10 05:00:00,31.0
CAPTL_WF,12h,2016-03-11 00:00:00,2016-03-12 07:00:00,31.0
CAPTL_WF,12h,2016-08-05 06:00:00,2016-08-06 13:00:00,31.0
CAPTL_WF,12h,2016-08-06 15:00:00,2016-08-08 09:00:00,42.0
CAPTL_WF,12h,2017-04-21 01:00:00,2017-04-22 03:00:00,26.0
CAPTL_WF,12h,2017-04-29 07:00:00,2017-04-30 11:00:00,28.0
CAPTL_WF,12h,2017-05-08 17:00:00,2017-05-11 10:00:00,65.0
CAPTL_WF,12h,2017-05-11 23:00:00,2017-05-13 08:00:00,33.0
CAPTL_WF,12h,2017-05-20 23:00:00,2017-05-22 19:00:00,44.0
CAPTL_WF,12h,2017-05-26 05:00:00,2017-05-27 06:00:00,25.0
CAPTL_WF,12h,2017-06-03 19:00:00,2017-06-05 05:00:00,34.0
CAPTL_WF,12h,2017-06-15 16:00:00,2017-06-17 23:00:00,55.0
CAPTL_WF,12h,2017-06-18 22:00:00,2017-06-20 06:00:00,32.0
CAPTL_WF,12h,2017-07-01 05:00:00,2017-07-02 16:00:00,35.0
CAPTL_WF,12h,2017-10-22 01:00:00,2017-10-23 12:00:00,35.0
CAPTL_WF,12h,2018-04-21 23:00:00,2018-04-23 10:00:00,35.0
CAPTL_WF,12h,2018-04-23 21:00:00,2018-04-25 06:00:00,33.0
CAPTL_WF,12h,2018-04-30 07:00:00,2018-05-01 16:00:00,33.0
CAPTL_WF,12h,2018-06-20 11:00:00,2018-06-22 00:00:00,37.0
CAPTL_WF,12h,2018-06-24 22:00:00,2018-06-26 07:00:00,33.0
CAPTL_WF,12h,2019-05-15 23:00:00,2019-05-17 00:00:00,25.0
CAPTL_WF,12h,2019-06-15 06:00:00,2019-06-16 08:00:00,26.0
CAPTL_WF,12h,2019-08-03 21:00:00,2019-08-05 01:00:00,28.0
CAPTL_WF,12h,2020-04-12 22:00:00,2020-04-13 23:00:00,25.0
CAPTL_WF,12h,2020-05-16 02:00:00,2020-05-17 11:00:00,33.0
CAPTL_WF,12h,2020-05-28 17:00:00,2020-05-29 19:00:00,26.0
CAPTL_WF,12h,2020-06-09 00:00:00,2020-06-10 18:00:00,42.0
CAPTL_WF,12h,2020-07-08 01:00:00,2020-07-12 07:00:00,102.0
CAPTL_WF,12h,2020-07-22 20:00:00,2020-07-24 03:00:00,31.0
CAPTL_WF,12h,2020-10-29 00:00:00,2020-10-30 00:00:00,24.0
CAPTL_WF,12h,2020-11-09 22:00:00,2020-11-11 04:00:00,30.0
CAPTL_WF,12h,2021-03-31 21:00:00,2021-04-02 01:00:00,28.0
CAPTL_WF,12h,2021-04-25 21:00:00,2021-04-27 09:00:00,36.0
CAPTL_WF,12h,2021-04-27 23:00:00,2021-04-29 08:00:00,33.0
CAPTL_WF,12h,2021-05-21 21:00:00,2021-05-23 06:00:00,33.0
CAPTL_WF,12h,2021-06-13 21:00:00,2021-06-16 05:00:00,56.0
CAPTL_WF,12h,2021-07-07 15:00:00,2021-07-09 15:00:00,48.0
CAPTL_WF,12h,2021-11-30 23:00:00,2021-12-02 17:00:00,42.0
CAPTL_WF,1D,2014-03-10 10:00:00,2014-03-11 11:00:00,25.0
CAPTL_WF,1D,2014-03-28 08:00:00,2014-04-03 09:00:00,145.0
CAPTL_WF,1D,2014-04-08 07:00:00,2014-04-10 08:00:00,49.0
CAPTL_WF,1D,2014-04-16 13:00:00,2014-04-18 00:00:00,35.0
CAPTL_WF,1D,2014-05-11 18:00:00,2014-05-14 04:00:00,58.0
CAPTL_WF,1D,2014-06-11 02:00:00,2014-06-12 02:00:00,24.0
CAPTL_WF,1D,2014-07-20 11:00:00,2014-07-24 13:00:00,98.0
CAPTL_WF,1D,2014-08-03 00:00:00,2014-08-04 02:00:00,26.0
CAPTL_WF,1D,2014-08-07 18:00:00,2014-08-08 22:00:00,28.0
CAPTL_WF,1D,2014-08-13 14:00:00,2014-08-16 04:00:00,62.0
CAPTL_WF,1D,2014-08-23 09:00:00,2014-08-25 10:00:00,49.0
CAPTL_WF,1D,2014-09-22 10:00:00,2014-09-24 02:00:00,40.0
CAPTL_WF,1D,2015-04-11 07:00:00,2015-04-12 12:00:00,29.0
CAPTL_WF,1D,2015-04-14 08:00:00,2015-04-15 08:00:00,24.0
CAPTL_WF,1D,2015-05-16 10:00:00,2015-05-18 19:00:00,57.0
CAPTL_WF,1D,2015-05-23 07:00:00,2015-05-25 03:00:00,44.0
CAPTL_WF,1D,2015-06-02 20:00:00,2015-06-04 03:00:00,31.0
CAPTL_WF,1D,2015-06-05 15:00:00,2015-06-06 15:00:00,24.0
CAPTL_WF,1D,2015-06-10 19:00:00,2015-06-13 05:00:00,58.0
CAPTL_WF,1D,2015-06-13 12:00:00,2015-06-15 00:00:00,36.0
CAPTL_WF,1D,2015-06-19 15:00:00,2015-06-21 20:00:00,53.0
CAPTL_WF,1D,2015-06-25 04:00:00,2015-06-26 16:00:00,36.0
CAPTL_WF,1D,2015-06-28 09:00:00,2015-06-30 03:00:00,42.0
CAPTL_WF,1D,2015-07-07 16:00:00,2015-07-09 18:00:00,50.0
CAPTL_WF,1D,2015-07-19 01:00:00,2015-07-20 16:00:00,39.0
CAPTL_WF,1D,2015-08-07 12:00:00,2015-08-09 16:00:00,52.0
CAPTL_WF,1D,2015-08-18 18:00:00,2015-08-20 02:00:00,32.0
CAPTL_WF,1D,2016-02-01 20:00:00,2016-02-03 05:00:00,33.0
CAPTL_WF,1D,2016-03-11 09:00:00,2016-03-12 09:00:00,24.0
CAPTL_WF,1D,2016-03-23 09:00:00,2016-03-24 13:00:00,28.0
CAPTL_WF,1D,2016-04-19 02:00:00,2016-04-21 02:00:00,48.0
CAPTL_WF,1D,2016-04-25 03:00:00,2016-04-26 08:00:00,29.0
CAPTL_WF,1D,2016-05-07 00:00:00,2016-05-08 02:00:00,26.0
CAPTL_WF,1D,2016-07-09 02:00:00,2016-07-10 08:00:00,30.0
CAPTL_WF,1D,2016-07-15 20:00:00,2016-07-17 08:00:00,36.0
CAPTL_WF,1D,2016-08-05 12:00:00,2016-08-08 12:00:00,72.0
CAPTL_WF,1D,2016-08-14 17:00:00,2016-08-15 20:00:00,27.0
CAPTL_WF,1D,2017-03-20 08:00:00,2017-03-21 15:00:00,31.0
