Windfarm,Scale,Start,End,Duration
CATHROCK,1h,2014-06-04 09:00:00,2014-06-06 04:00:00,43.0
CATHROCK,1h,2014-08-03 04:00:00,2014-08-04 04:00:00,24.0
CATHROCK,1h,2015-03-28 13:00:00,2015-03-30 03:00:00,38.0
CATHROCK,1h,2015-06-14 20:00:00,2015-06-16 01:00:00,29.0
CATHROCK,1h,2015-06-28 21:00:00,2015-06-30 16:00:00,43.0
CATHROCK,1h,2015-07-17 15:00:00,2015-07-18 17:00:00,26.0
CATHROCK,1h,2015-08-06 08:00:00,2015-08-07 09:00:00,25.0
CATHROCK,1h,2016-05-31 22:00:00,2016-06-02 07:00:00,33.0
CATHROCK,1h,2016-08-21 12:00:00,2016-08-23 08:00:00,44.0
CATHROCK,1h,2017-06-25 20:00:00,2017-06-27 02:00:00,30.0
CATHROCK,1h,2017-08-27 15:00:00,2017-08-30 00:00:00,57.0
CATHROCK,1h,2017-09-08 08:00:00,2017-09-09 08:00:00,24.0
CATHROCK,1h,2018-06-20 16:00:00,2018-06-21 19:00:00,27.0
CATHROCK,1h,2019-05-04 00:00:00,2019-05-05 08:00:00,32.0
CATHROCK,1h,2019-05-14 01:00:00,2019-05-15 05:00:00,28.0
CATHROCK,1h,2019-06-05 01:00:00,2019-06-06 02:00:00,25.0
CATHROCK,1h,2019-07-29 15:00:00,2019-07-31 02:00:00,35.0
CATHROCK,1h,2020-04-26 12:00:00,2020-04-27 13:00:00,25.0
CATHROCK,1h,2020-05-13 08:00:00,2020-05-14 23:00:00,39.0
CATHROCK,1h,2020-06-04 04:00:00,2020-06-06 03:00:00,47.0
CATHROCK,1h,2020-07-24 18:00:00,2020-07-25 19:00:00,25.0
CATHROCK,1h,2020-08-23 10:00:00,2020-08-24 11:00:00,25.0
CATHROCK,4h,2014-06-04 11:00:00,2014-06-06 07:00:00,44.0
CATHROCK,4h,2014-08-03 06:00:00,2014-08-04 07:00:00,25.0
CATHROCK,4h,2015-03-28 08:00:00,2015-03-30 05:00:00,45.0
CATHROCK,4h,2015-06-14 21:00:00,2015-06-16 02:00:00,29.0
CATHROCK,4h,2015-06-27 03:00:00,2015-06-28 13:00:00,34.0
CATHROCK,4h,2015-06-28 15:00:00,2015-06-30 17:00:00,50.0
CATHROCK,4h,2015-07-17 16:00:00,2015-07-18 19:00:00,27.0
CATHROCK,4h,2015-08-06 09:00:00,2015-08-07 12:00:00,27.0
CATHROCK,4h,2016-04-06 16:00:00,2016-04-07 22:00:00,30.0
CATHROCK,4h,2016-06-01 00:00:00,2016-06-02 09:00:00,33.0
CATHROCK,4h,2016-06-02 15:00:00,2016-06-04 10:00:00,43.0
CATHROCK,4h,2016-08-21 13:00:00,2016-08-23 11:00:00,46.0
CATHROCK,4h,2017-06-05 18:00:00,2017-06-06 22:00:00,28.0
CATHROCK,4h,2017-06-25 21:00:00,2017-06-27 04:00:00,31.0
CATHROCK,4h,2017-08-24 14:00:00,2017-08-25 23:00:00,33.0
CATHROCK,4h,2017-08-27 17:00:00,2017-08-30 01:00:00,56.0
CATHROCK,4h,2017-09-08 09:00:00,2017-09-09 10:00:00,25.0
CATHROCK,4h,2017-10-01 11:00:00,2017-10-02 15:00:00,28.0
CATHROCK,4h,2018-06-20 17:00:00,2018-06-21 20:00:00,27.0
CATHROCK,4h,2018-07-11 21:00:00,2018-07-12 21:00:00,24.0
CATHROCK,4h,2018-09-21 00:00:00,2018-09-22 02:00:00,26.0
CATHROCK,4h,2019-03-26 11:00:00,2019-03-27 17:00:00,30.0
CATHROCK,4h,2019-05-04 00:00:00,2019-05-05 10:00:00,34.0
CATHROCK,4h,2019-05-14 02:00:00,2019-05-15 06:00:00,28.0
CATHROCK,4h,2019-06-04 19:00:00,2019-06-06 03:00:00,32.0
CATHROCK,4h,2019-07-27 01:00:00,2019-07-28 07:00:00,30.0
CATHROCK,4h,2019-07-29 17:00:00,2019-07-31 04:00:00,35.0
CATHROCK,4h,2019-09-09 00:00:00,2019-09-10 01:00:00,25.0
CATHROCK,4h,2019-09-23 15:00:00,2019-09-24 21:00:00,30.0
CATHROCK,4h,2020-04-26 13:00:00,2020-04-27 14:00:00,25.0
CATHROCK,4h,2020-05-03 01:00:00,2020-05-04 06:00:00,29.0
CATHROCK,4h,2020-05-13 09:00:00,2020-05-15 09:00:00,48.0
CATHROCK,4h,2020-06-04 06:00:00,2020-06-06 05:00:00,47.0
CATHROCK,4h,2020-07-20 15:00:00,2020-07-22 11:00:00,44.0
CATHROCK,4h,2020-07-24 19:00:00,2020-07-25 20:00:00,25.0
CATHROCK,4h,2020-08-23 10:00:00,2020-08-24 13:00:00,27.0
CATHROCK,4h,2021-06-10 15:00:00,2021-06-12 05:00:00,38.0
CATHROCK,4h,2021-06-18 21:00:00,2021-06-19 21:00:00,24.0
CATHROCK,12h,2014-04-18 23:00:00,2014-04-20 09:00:00,34.0
CATHROCK,12h,2014-06-01 21:00:00,2014-06-02 21:00:00,24.0
CATHROCK,12h,2014-06-04 14:00:00,2014-06-06 13:00:00,47.0
CATHROCK,12h,2014-06-30 19:00:00,2014-07-01 19:00:00,24.0
CATHROCK,12h,2014-08-03 11:00:00,2014-08-04 15:00:00,28.0
CATHROCK,12h,2014-08-04 18:00:00,2014-08-06 02:00:00,32.0
CATHROCK,12h,2014-08-11 01:00:00,2014-08-12 01:00:00,24.0
CATHROCK,12h,2014-08-17 20:00:00,2014-08-19 13:00:00,41.0
CATHROCK,12h,2015-02-25 17:00:00,2015-02-26 17:00:00,24.0
CATHROCK,12h,2015-03-27 00:00:00,2015-03-30 10:00:00,82.0
CATHROCK,12h,2015-06-01 01:00:00,2015-06-02 07:00:00,30.0
CATHROCK,12h,2015-06-12 05:00:00,2015-06-13 11:00:00,30.0
CATHROCK,12h,2015-06-15 01:00:00,2015-06-16 06:00:00,29.0
CATHROCK,12h,2015-06-27 03:00:00,2015-06-30 20:00:00,89.0
CATHROCK,12h,2015-07-02 10:00:00,2015-07-03 21:00:00,35.0
CATHROCK,12h,2015-07-17 19:00:00,2015-07-18 23:00:00,28.0
