Windfarm,Scale,Start,End,Duration
CHALLHWF,12h,2014-03-28 21:00:00,2014-03-30 12:00:00,39.0
CHALLHWF,12h,2014-04-16 00:00:00,2014-04-17 05:00:00,29.0
CHALLHWF,12h,2014-05-11 19:00:00,2014-05-13 03:00:00,32.0
CHALLHWF,12h,2014-05-28 19:00:00,2014-05-31 10:00:00,63.0
CHALLHWF,12h,2014-06-01 15:00:00,2014-06-03 05:00:00,38.0
CHALLHWF,12h,2014-06-04 17:00:00,2014-06-06 09:00:00,40.0
CHALLHWF,12h,2014-06-17 11:00:00,2014-06-18 16:00:00,29.0
CHALLHWF,12h,2014-07-13 01:00:00,2014-07-14 02:00:00,25.0
CHALLHWF,12h,2014-07-19 13:00:00,2014-07-23 03:00:00,86.0
CHALLHWF,12h,2014-08-26 11:00:00,2014-08-29 07:00:00,68.0
CHALLHWF,12h,2014-09-11 23:00:00,2014-09-14 08:00:00,57.0
CHALLHWF,12h,2015-04-16 23:00:00,2015-04-18 00:00:00,25.0
CHALLHWF,12h,2015-05-25 06:00:00,2015-05-26 07:00:00,25.0
CHALLHWF,12h,2015-06-01 23:00:00,2015-06-03 13:00:00,38.0
CHALLHWF,12h,2015-06-16 06:00:00,2015-06-17 07:00:00,25.0
CHALLHWF,12h,2015-06-19 22:00:00,2015-06-21 02:00:00,28.0
CHALLHWF,12h,2015-06-28 04:00:00,2015-06-30 21:00:00,65.0
CHALLHWF,12h,2015-07-06 20:00:00,2015-07-07 23:00:00,27.0
CHALLHWF,12h,2015-08-07 12:00:00,2015-08-08 17:00:00,29.0
CHALLHWF,12h,2015-08-14 16:00:00,2015-08-15 18:00:00,26.0
CHALLHWF,12h,2015-08-31 00:00:00,2015-09-01 04:00:00,28.0
CHALLHWF,12h,2016-03-10 02:00:00,2016-03-11 09:00:00,31.0
CHALLHWF,12h,2016-04-07 04:00:00,2016-04-09 04:00:00,48.0
CHALLHWF,12h,2016-06-01 07:00:00,2016-06-02 10:00:00,27.0
CHALLHWF,12h,2016-07-07 19:00:00,2016-07-09 12:00:00,41.0
CHALLHWF,12h,2016-07-18 22:00:00,2016-07-20 19:00:00,45.0
CHALLHWF,12h,2017-04-15 00:00:00,2017-04-16 08:00:00,32.0
CHALLHWF,12h,2017-05-02 21:00:00,2017-05-05 00:00:00,51.0
CHALLHWF,12h,2017-05-09 12:00:00,2017-05-12 08:00:00,68.0
CHALLHWF,12h,2017-06-01 00:00:00,2017-06-04 22:00:00,94.0
CHALLHWF,12h,2017-06-15 16:00:00,2017-06-17 12:00:00,44.0
CHALLHWF,12h,2017-07-10 21:00:00,2017-07-12 00:00:00,27.0
CHALLHWF,12h,2017-07-31 01:00:00,2017-08-01 09:00:00,32.0
CHALLHWF,12h,2018-04-18 05:00:00,2018-04-19 09:00:00,28.0
CHALLHWF,12h,2018-04-30 00:00:00,2018-05-01 01:00:00,25.0
CHALLHWF,12h,2018-05-25 03:00:00,2018-05-26 03:00:00,24.0
CHALLHWF,12h,2018-06-21 06:00:00,2018-06-22 06:00:00,24.0
CHALLHWF,12h,2018-06-24 20:00:00,2018-06-26 09:00:00,37.0
CHALLHWF,12h,2018-06-26 22:00:00,2018-06-28 12:00:00,38.0
CHALLHWF,12h,2018-07-01 01:00:00,2018-07-02 02:00:00,25.0
CHALLHWF,12h,2018-07-11 14:00:00,2018-07-14 00:00:00,58.0
CHALLHWF,12h,2018-12-15 17:00:00,2018-12-17 01:00:00,32.0
CHALLHWF,12h,2019-05-14 19:00:00,2019-05-16 19:00:00,48.0
CHALLHWF,12h,2019-05-17 07:00:00,2019-05-18 14:00:00,31.0
CHALLHWF,12h,2019-07-27 15:00:00,2019-07-29 04:00:00,37.0
CHALLHWF,12h,2019-07-30 19:00:00,2019-08-01 03:00:00,32.0
CHALLHWF,12h,2019-08-25 22:00:00,2019-08-27 00:00:00,26.0
CHALLHWF,12h,2019-09-24 18:00:00,2019-09-26 00:00:00,30.0
CHALLHWF,12h,2019-10-22 01:00:00,2019-10-23 09:00:00,32.0
CHALLHWF,12h,2020-03-31 00:00:00,2020-04-01 15:00:00,39.0
CHALLHWF,12h,2020-05-04 00:00:00,2020-05-05 00:00:00,24.0
CHALLHWF,12h,2020-05-13 22:00:00,2020-05-15 17:00:00,43.0
CHALLHWF,12h,2020-05-16 17:00:00,2020-05-17 23:00:00,30.0
CHALLHWF,12h,2020-06-04 05:00:00,2020-06-06 10:00:00,53.0
CHALLHWF,12h,2020-06-07 18:00:00,2020-06-09 11:00:00,41.0
CHALLHWF,12h,2020-06-10 21:00:00,2020-06-12 00:00:00,27.0
CHALLHWF,12h,2020-06-26 06:00:00,2020-06-29 03:00:00,69.0
CHALLHWF,12h,2020-07-06 23:00:00,2020-07-08 12:00:00,37.0
CHALLHWF,12h,2020-07-15 08:00:00,2020-07-16 08:00:00,24.0
CHALLHWF,12h,2020-08-24 19:00:00,2020-08-26 03:00:00,32.0
CHALLHWF,12h,2020-10-19 23:00:00,2020-10-21 08:00:00,33.0
CHALLHWF,12h,2021-04-25 19:00:00,2021-04-30 02:00:00,103.0
CHALLHWF,12h,2021-05-20 12:00:00,2021-05-21 18:00:00,30.0
CHALLHWF,12h,2021-06-12 22:00:00,2021-06-14 02:00:00,28.0
CHALLHWF,12h,2021-07-06 10:00:00,2021-07-10 20:00:00,106.0
CHALLHWF,12h,2021-09-30 07:00:00,2021-10-01 08:00:00,25.0
CHALLHWF,12h,2021-11-08 02:00:00,2021-11-09 09:00:00,31.0
CHALLHWF,1D,2014-01-15 10:00:00,2014-01-16 15:00:00,29.0
CHALLHWF,1D,2014-02-13 23:00:00,2014-02-15 05:00:00,30.0
CHALLHWF,1D,2014-03-27 11:00:00,2014-03-30 13:00:00,74.0
CHALLHWF,1D,2014-04-16 07:00:00,2014-04-17 18:00:00,35.0
CHALLHWF,1D,2014-05-10 21:00:00,2014-05-13 15:00:00,66.0
CHALLHWF,1D,2014-05-29 04:00:00,2014-06-03 15:00:00,131.0
CHALLHWF,1D,2014-06-05 00:00:00,2014-06-06 16:00:00,40.0
CHALLHWF,1D,2014-06-17 18:00:00,2014-06-18 18:00:00,24.0
CHALLHWF,1D,2014-07-13 07:00:00,2014-07-14 07:00:00,24.0
CHALLHWF,1D,2014-07-19 19:00:00,2014-07-23 08:00:00,85.0
CHALLHWF,1D,2014-08-02 14:00:00,2014-08-04 15:00:00,49.0
CHALLHWF,1D,2014-08-14 15:00:00,2014-08-16 01:00:00,34.0
CHALLHWF,1D,2014-08-26 18:00:00,2014-08-29 12:00:00,66.0
CHALLHWF,1D,2014-09-05 21:00:00,2014-09-06 21:00:00,24.0
CHALLHWF,1D,2014-09-12 07:00:00,2014-09-14 10:00:00,51.0
CHALLHWF,1D,2015-03-28 08:00:00,2015-03-29 08:00:00,24.0
CHALLHWF,1D,2015-03-29 20:00:00,2015-03-31 18:00:00,46.0
CHALLHWF,1D,2015-04-16 21:00:00,2015-04-18 02:00:00,29.0
