Windfarm,Scale,Start,End,Duration
CHYTWF1,4h,2014-05-10 11:00:00,2014-05-11 20:00:00,33.0
CHYTWF1,4h,2014-05-28 15:00:00,2014-05-29 16:00:00,25.0
CHYTWF1,4h,2014-07-20 06:00:00,2014-07-21 20:00:00,38.0
CHYTWF1,4h,2014-08-28 02:00:00,2014-08-29 02:00:00,24.0
CHYTWF1,4h,2015-05-25 05:00:00,2015-05-26 09:00:00,28.0
CHYTWF1,4h,2015-06-02 17:00:00,2015-06-03 21:00:00,28.0
CHYTWF1,4h,2015-06-12 03:00:00,2015-06-13 20:00:00,41.0
CHYTWF1,4h,2015-07-06 15:00:00,2015-07-08 01:00:00,34.0
CHYTWF1,4h,2015-08-07 12:00:00,2015-08-08 17:00:00,29.0
CHYTWF1,4h,2016-05-29 11:00:00,2016-05-30 21:00:00,34.0
CHYTWF1,4h,2016-07-07 23:00:00,2016-07-09 12:00:00,37.0
CHYTWF1,4h,2016-08-05 11:00:00,2016-08-07 00:00:00,37.0
CHYTWF1,4h,2016-09-05 11:00:00,2016-09-06 23:00:00,36.0
CHYTWF1,4h,2017-04-22 08:00:00,2017-04-23 08:00:00,24.0
CHYTWF1,4h,2017-05-10 11:00:00,2017-05-12 02:00:00,39.0
CHYTWF1,4h,2017-06-03 00:00:00,2017-06-05 01:00:00,49.0
CHYTWF1,4h,2017-06-11 13:00:00,2017-06-12 16:00:00,27.0
CHYTWF1,4h,2017-06-14 16:00:00,2017-06-15 19:00:00,27.0
CHYTWF1,4h,2017-06-16 00:00:00,2017-06-17 08:00:00,32.0
CHYTWF1,4h,2017-06-18 18:00:00,2017-06-20 02:00:00,32.0
CHYTWF1,4h,2017-06-21 16:00:00,2017-06-22 19:00:00,27.0
CHYTWF1,4h,2017-06-25 18:00:00,2017-06-27 01:00:00,31.0
CHYTWF1,4h,2017-07-10 15:00:00,2017-07-11 16:00:00,25.0
CHYTWF1,4h,2018-06-30 16:00:00,2018-07-02 02:00:00,34.0
CHYTWF1,4h,2019-03-27 00:00:00,2019-03-28 00:00:00,24.0
CHYTWF1,4h,2019-05-16 10:00:00,2019-05-17 15:00:00,29.0
CHYTWF1,4h,2019-06-15 10:00:00,2019-06-17 03:00:00,41.0
CHYTWF1,4h,2020-05-16 10:00:00,2020-05-17 22:00:00,36.0
CHYTWF1,4h,2020-06-05 10:00:00,2020-06-06 12:00:00,26.0
CHYTWF1,4h,2020-06-10 10:00:00,2020-06-12 04:00:00,42.0
CHYTWF1,4h,2020-06-26 11:00:00,2020-06-27 20:00:00,33.0
CHYTWF1,4h,2021-06-13 10:00:00,2021-06-15 00:00:00,38.0
CHYTWF1,4h,2021-06-27 01:00:00,2021-06-28 23:00:00,46.0
CHYTWF1,4h,2021-07-05 07:00:00,2021-07-07 19:00:00,60.0
CHYTWF1,12h,2014-03-29 07:00:00,2014-03-30 12:00:00,29.0
CHYTWF1,12h,2014-05-10 17:00:00,2014-05-13 01:00:00,56.0
CHYTWF1,12h,2014-05-23 21:00:00,2014-05-25 01:00:00,28.0
CHYTWF1,12h,2014-05-28 21:00:00,2014-05-31 01:00:00,52.0
CHYTWF1,12h,2014-06-01 12:00:00,2014-06-02 15:00:00,27.0
CHYTWF1,12h,2014-06-03 17:00:00,2014-06-05 02:00:00,33.0
CHYTWF1,12h,2014-06-10 00:00:00,2014-06-11 00:00:00,24.0
CHYTWF1,12h,2014-06-17 18:00:00,2014-06-18 20:00:00,26.0
CHYTWF1,12h,2014-07-20 08:00:00,2014-07-23 04:00:00,68.0
CHYTWF1,12h,2014-08-04 16:00:00,2014-08-06 01:00:00,33.0
CHYTWF1,12h,2014-08-14 07:00:00,2014-08-15 22:00:00,39.0
CHYTWF1,12h,2014-09-13 16:00:00,2014-09-15 00:00:00,32.0
CHYTWF1,12h,2015-05-23 22:00:00,2015-05-26 12:00:00,62.0
CHYTWF1,12h,2015-06-02 16:00:00,2015-06-03 23:00:00,31.0
CHYTWF1,12h,2015-06-05 00:00:00,2015-06-06 10:00:00,34.0
CHYTWF1,12h,2015-06-12 07:00:00,2015-06-14 16:00:00,57.0
CHYTWF1,12h,2015-06-26 19:00:00,2015-06-28 06:00:00,35.0
CHYTWF1,12h,2015-06-29 04:00:00,2015-07-01 03:00:00,47.0
CHYTWF1,12h,2015-07-06 20:00:00,2015-07-08 03:00:00,31.0
CHYTWF1,12h,2015-08-07 18:00:00,2015-08-08 23:00:00,29.0
CHYTWF1,12h,2015-08-14 18:00:00,2015-08-16 01:00:00,31.0
CHYTWF1,12h,2016-05-29 14:00:00,2016-05-31 18:00:00,52.0
CHYTWF1,12h,2016-06-01 08:00:00,2016-06-02 14:00:00,30.0
CHYTWF1,12h,2016-06-14 10:00:00,2016-06-15 17:00:00,31.0
CHYTWF1,12h,2016-06-27 15:00:00,2016-06-28 18:00:00,27.0
CHYTWF1,12h,2016-07-08 01:00:00,2016-07-09 17:00:00,40.0
CHYTWF1,12h,2016-07-15 05:00:00,2016-07-16 23:00:00,42.0
CHYTWF1,12h,2016-07-19 01:00:00,2016-07-20 01:00:00,24.0
CHYTWF1,12h,2016-08-05 16:00:00,2016-08-08 00:00:00,56.0
CHYTWF1,12h,2016-09-05 16:00:00,2016-09-07 00:00:00,32.0
CHYTWF1,12h,2017-04-22 13:00:00,2017-04-24 02:00:00,37.0
CHYTWF1,12h,2017-05-10 02:00:00,2017-05-12 12:00:00,58.0
CHYTWF1,12h,2017-06-03 00:00:00,2017-06-05 05:00:00,53.0
CHYTWF1,12h,2017-06-11 18:00:00,2017-06-12 23:00:00,29.0
CHYTWF1,12h,2017-06-14 16:00:00,2017-06-18 02:00:00,82.0
CHYTWF1,12h,2017-06-18 21:00:00,2017-06-20 03:00:00,30.0
CHYTWF1,12h,2017-06-21 20:00:00,2017-06-23 00:00:00,28.0
CHYTWF1,12h,2017-06-26 01:00:00,2017-06-27 04:00:00,27.0
CHYTWF1,12h,2017-06-27 14:00:00,2017-06-29 06:00:00,40.0
CHYTWF1,12h,2017-07-10 18:00:00,2017-07-12 03:00:00,33.0
CHYTWF1,12h,2017-07-30 19:00:00,2017-08-01 07:00:00,36.0
CHYTWF1,12h,2017-08-28 21:00:00,2017-08-30 00:00:00,27.0
CHYTWF1,12h,2018-01-16 22:00:00,2018-01-17 23:00:00,25.0
CHYTWF1,12h,2018-04-21 06:00:00,2018-04-23 02:00:00,44.0
CHYTWF1,12h,2018-06-26 02:00:00,2018-06-28 14:00:00,60.0
CHYTWF1,12h,2018-06-30 21:00:00,2018-07-02 04:00:00,31.0
CHYTWF1,12h,2018-08-22 00:00:00,2018-08-24 06:00:00,54.0
CHYTWF1,12h,2018-08-24 15:00:00,2018-08-26 04:00:00,37.0
CHYTWF1,12h,2019-05-16 08:00:00,2019-05-17 21:00:00,37.0
CHYTWF1,12h,2019-05-21 15:00:00,2019-05-23 03:00:00,36.0
CHYTWF1,12h,2019-06-14 23:00:00,2019-06-17 14:00:00,63.0
CHYTWF1,12h,2019-06-25 00:00:00,2019-06-26 12:00:00,36.0
CHYTWF1,12h,2019-07-26 16:00:00,2019-07-28 04:00:00,36.0
CHYTWF1,12h,2019-08-12 22:00:00,2019-08-14 00:00:00,26.0
CHYTWF1,12h,2019-09-24 18:00:00,2019-09-26 04:00:00,34.0
CHYTWF1,12h,2020-05-16 16:00:00,2020-05-18 00:00:00,32.0
CHYTWF1,12h,2020-05-27 23:00:00,2020-05-29 02:00:00,27.0
CHYTWF1,12h,2020-06-04 09:00:00,2020-06-06 13:00:00,52.0
CHYTWF1,12h,2020-06-10 07:00:00,2020-06-12 06:00:00,47.0
CHYTWF1,12h,2020-06-26 16:00:00,2020-06-29 06:00:00,62.0
CHYTWF1,12h,2021-03-31 20:00:00,2021-04-02 23:00:00,51.0
CHYTWF1,12h,2021-04-28 17:00:00,2021-04-30 04:00:00,35.0
CHYTWF1,12h,2021-05-06 08:00:00,2021-05-08 23:00:00,63.0
CHYTWF1,12h,2021-05-22 16:00:00,2021-05-23 20:00:00,28.0
CHYTWF1,12h,2021-06-12 20:00:00,2021-06-15 02:00:00,54.0
CHYTWF1,12h,2021-06-27 07:00:00,2021-06-29 01:00:00,42.0
CHYTWF1,12h,2021-07-04 22:00:00,2021-07-07 22:00:00,72.0
CHYTWF1,12h,2021-08-27 01:00:00,2021-08-28 01:00:00,24.0
CHYTWF1,12h,2021-10-31 15:00:00,2021-11-01 20:00:00,29.0
CHYTWF1,1D,2014-03-29 09:00:00,2014-03-31 02:00:00,41.0
CHYTWF1,1D,2014-04-05 09:00:00,2014-04-06 13:00:00,28.0
CHYTWF1,1D,2014-04-15 13:00:00,2014-04-18 00:00:00,59.0
CHYTWF1,1D,2014-05-11 04:00:00,2014-05-13 04:00:00,48.0
CHYTWF1,1D,2014-05-29 06:00:00,2014-05-31 04:00:00,46.0
CHYTWF1,1D,2014-06-01 20:00:00,2014-06-03 05:00:00,33.0
CHYTWF1,1D,2014-06-03 16:00:00,2014-06-05 04:00:00,36.0
CHYTWF1,1D,2014-06-09 12:00:00,2014-06-11 01:00:00,37.0
CHYTWF1,1D,2014-07-01 15:00:00,2014-07-02 22:00:00,31.0
CHYTWF1,1D,2014-07-20 16:00:00,2014-07-23 11:00:00,67.0
CHYTWF1,1D,2014-08-03 01:00:00,2014-08-06 02:00:00,73.0
CHYTWF1,1D,2014-08-07 11:00:00,2014-08-08 11:00:00,24.0
CHYTWF1,1D,2014-08-14 15:00:00,2014-08-16 12:00:00,45.0
CHYTWF1,1D,2014-08-28 09:00:00,2014-08-30 01:00:00,40.0
CHYTWF1,1D,2014-09-05 10:00:00,2014-09-07 01:00:00,39.0
CHYTWF1,1D,2014-09-13 10:00:00,2014-09-15 02:00:00,40.0
CHYTWF1,1D,2015-04-29 15:00:00,2015-05-01 02:00:00,35.0
CHYTWF1,1D,2015-05-16 15:00:00,2015-05-18 09:00:00,42.0
CHYTWF1,1D,2015-05-24 01:00:00,2015-05-26 19:00:00,66.0
CHYTWF1,1D,2015-06-02 15:00:00,2015-06-04 01:00:00,34.0
CHYTWF1,1D,2015-06-05 10:00:00,2015-06-06 14:00:00,28.0
CHYTWF1,1D,2015-06-11 13:00:00,2015-06-15 08:00:00,91.0
