Windfarm,Scale,Start,End,Duration
COLLGAR_WF1,4h,2014-06-14 00:00:00,2014-06-15 17:00:00,41.0
COLLGAR_WF1,4h,2014-07-09 00:00:00,2014-07-10 23:00:00,47.0
COLLGAR_WF1,4h,2015-06-07 00:00:00,2015-06-08 07:00:00,31.0
COLLGAR_WF1,4h,2015-08-11 17:00:00,2015-08-13 17:00:00,48.0
COLLGAR_WF1,4h,2016-05-03 06:00:00,2016-05-04 06:00:00,24.0
COLLGAR_WF1,4h,2016-05-16 01:00:00,2016-05-17 07:00:00,30.0
COLLGAR_WF1,4h,2016-05-17 11:00:00,2016-05-18 18:00:00,31.0
COLLGAR_WF1,4h,2016-06-30 05:00:00,2016-07-01 11:00:00,30.0
COLLGAR_WF1,4h,2016-07-19 04:00:00,2016-07-20 05:00:00,25.0
COLLGAR_WF1,4h,2016-09-20 00:00:00,2016-09-21 02:00:00,26.0
COLLGAR_WF1,4h,2017-07-08 16:00:00,2017-07-09 18:00:00,26.0
COLLGAR_WF1,4h,2017-08-20 23:00:00,2017-08-22 06:00:00,31.0
COLLGAR_WF1,4h,2018-06-07 15:00:00,2018-06-08 17:00:00,26.0
COLLGAR_WF1,4h,2018-06-13 17:00:00,2018-06-15 12:00:00,43.0
COLLGAR_WF1,4h,2018-06-20 10:00:00,2018-06-22 13:00:00,51.0
COLLGAR_WF1,4h,2019-06-15 03:00:00,2019-06-16 03:00:00,24.0
COLLGAR_WF1,4h,2019-07-07 15:00:00,2019-07-08 18:00:00,27.0
COLLGAR_WF1,4h,2020-05-31 12:00:00,2020-06-01 12:00:00,24.0
COLLGAR_WF1,4h,2020-08-19 04:00:00,2020-08-20 23:00:00,43.0
COLLGAR_WF1,4h,2021-06-02 07:00:00,2021-06-04 00:00:00,41.0
COLLGAR_WF1,4h,2021-06-23 18:00:00,2021-06-25 18:00:00,48.0
COLLGAR_WF1,4h,2021-08-02 12:00:00,2021-08-04 07:00:00,43.0
COLLGAR_WF1,12h,2014-01-31 14:00:00,2014-02-01 16:00:00,26.0
COLLGAR_WF1,12h,2014-04-29 01:00:00,2014-04-30 12:00:00,35.0
COLLGAR_WF1,12h,2014-05-10 05:00:00,2014-05-11 19:00:00,38.0
COLLGAR_WF1,12h,2014-05-12 20:00:00,2014-05-14 03:00:00,31.0
COLLGAR_WF1,12h,2014-05-15 05:00:00,2014-05-18 05:00:00,72.0
COLLGAR_WF1,12h,2014-05-18 19:00:00,2014-05-21 23:00:00,76.0
COLLGAR_WF1,12h,2014-06-01 16:00:00,2014-06-03 14:00:00,46.0
COLLGAR_WF1,12h,2014-06-13 22:00:00,2014-06-15 18:00:00,44.0
COLLGAR_WF1,12h,2014-06-23 01:00:00,2014-06-25 13:00:00,60.0
COLLGAR_WF1,12h,2014-07-09 01:00:00,2014-07-11 08:00:00,55.0
COLLGAR_WF1,12h,2014-09-10 14:00:00,2014-09-12 06:00:00,40.0
COLLGAR_WF1,12h,2014-09-23 03:00:00,2014-09-24 06:00:00,27.0
COLLGAR_WF1,12h,2015-04-13 07:00:00,2015-04-14 14:00:00,31.0
COLLGAR_WF1,12h,2015-05-07 12:00:00,2015-05-09 10:00:00,46.0
COLLGAR_WF1,12h,2015-05-25 07:00:00,2015-05-27 11:00:00,52.0
COLLGAR_WF1,12h,2015-05-30 11:00:00,2015-05-31 12:00:00,25.0
COLLGAR_WF1,12h,2015-06-07 05:00:00,2015-06-08 10:00:00,29.0
COLLGAR_WF1,12h,2015-07-03 03:00:00,2015-07-04 06:00:00,27.0
COLLGAR_WF1,12h,2015-07-05 03:00:00,2015-07-06 19:00:00,40.0
COLLGAR_WF1,12h,2015-08-11 20:00:00,2015-08-13 19:00:00,47.0
COLLGAR_WF1,12h,2016-04-30 19:00:00,2016-05-02 06:00:00,35.0
COLLGAR_WF1,12h,2016-05-03 10:00:00,2016-05-04 11:00:00,25.0
COLLGAR_WF1,12h,2016-05-09 10:00:00,2016-05-10 23:00:00,37.0
COLLGAR_WF1,12h,2016-05-16 06:00:00,2016-05-18 22:00:00,64.0
COLLGAR_WF1,12h,2016-06-15 07:00:00,2016-06-16 15:00:00,32.0
COLLGAR_WF1,12h,2016-06-29 19:00:00,2016-07-01 17:00:00,46.0
COLLGAR_WF1,12h,2016-07-19 06:00:00,2016-07-20 11:00:00,29.0
COLLGAR_WF1,12h,2016-07-24 05:00:00,2016-07-27 00:00:00,67.0
COLLGAR_WF1,12h,2016-08-05 01:00:00,2016-08-06 04:00:00,27.0
COLLGAR_WF1,12h,2016-08-12 05:00:00,2016-08-13 19:00:00,38.0
COLLGAR_WF1,12h,2016-09-08 15:00:00,2016-09-10 14:00:00,47.0
COLLGAR_WF1,12h,2016-09-20 04:00:00,2016-09-22 03:00:00,47.0
COLLGAR_WF1,12h,2016-09-24 00:00:00,2016-09-25 07:00:00,31.0
COLLGAR_WF1,12h,2017-05-24 12:00:00,2017-05-25 13:00:00,25.0
COLLGAR_WF1,12h,2017-06-16 10:00:00,2017-06-17 17:00:00,31.0
COLLGAR_WF1,12h,2017-06-26 02:00:00,2017-06-27 10:00:00,32.0
COLLGAR_WF1,12h,2017-07-08 07:00:00,2017-07-09 22:00:00,39.0
COLLGAR_WF1,12h,2017-07-13 19:00:00,2017-07-14 20:00:00,25.0
COLLGAR_WF1,12h,2017-08-06 19:00:00,2017-08-07 22:00:00,27.0
COLLGAR_WF1,12h,2017-08-20 16:00:00,2017-08-22 18:00:00,50.0
COLLGAR_WF1,12h,2018-05-03 16:00:00,2018-05-04 16:00:00,24.0
COLLGAR_WF1,12h,2018-05-07 08:00:00,2018-05-08 09:00:00,25.0
COLLGAR_WF1,12h,2018-05-28 07:00:00,2018-05-29 18:00:00,35.0
COLLGAR_WF1,12h,2018-06-07 06:00:00,2018-06-08 19:00:00,37.0
COLLGAR_WF1,12h,2018-06-14 00:00:00,2018-06-15 13:00:00,37.0
COLLGAR_WF1,12h,2018-06-20 07:00:00,2018-06-23 18:00:00,83.0
COLLGAR_WF1,12h,2018-06-28 23:00:00,2018-06-30 00:00:00,25.0
COLLGAR_WF1,12h,2018-08-15 06:00:00,2018-08-16 06:00:00,24.0
COLLGAR_WF1,12h,2018-08-24 10:00:00,2018-08-25 22:00:00,36.0
COLLGAR_WF1,12h,2018-08-31 01:00:00,2018-09-01 19:00:00,42.0
COLLGAR_WF1,12h,2018-10-15 07:00:00,2018-10-16 13:00:00,30.0
COLLGAR_WF1,12h,2018-11-12 01:00:00,2018-11-13 11:00:00,34.0
COLLGAR_WF1,12h,2019-05-12 08:00:00,2019-05-13 16:00:00,32.0
COLLGAR_WF1,12h,2019-05-23 11:00:00,2019-05-24 16:00:00,29.0
COLLGAR_WF1,12h,2019-06-15 06:00:00,2019-06-16 06:00:00,24.0
COLLGAR_WF1,12h,2019-07-01 08:00:00,2019-07-02 17:00:00,33.0
COLLGAR_WF1,12h,2019-07-07 02:00:00,2019-07-08 23:00:00,45.0
COLLGAR_WF1,12h,2019-07-10 17:00:00,2019-07-11 22:00:00,29.0
COLLGAR_WF1,12h,2019-08-18 09:00:00,2019-08-19 23:00:00,38.0
COLLGAR_WF1,12h,2019-10-16 08:00:00,2019-10-17 11:00:00,27.0
COLLGAR_WF1,12h,2020-04-21 04:00:00,2020-04-22 05:00:00,25.0
COLLGAR_WF1,12h,2020-05-31 16:00:00,2020-06-01 17:00:00,25.0
COLLGAR_WF1,12h,2020-06-15 02:00:00,2020-06-16 02:00:00,24.0
COLLGAR_WF1,12h,2020-07-28 18:00:00,2020-07-29 19:00:00,25.0
COLLGAR_WF1,12h,2020-08-19 08:00:00,2020-08-21 17:00:00,57.0
COLLGAR_WF1,12h,2021-05-08 01:00:00,2021-05-09 13:00:00,36.0
COLLGAR_WF1,12h,2021-05-18 06:00:00,2021-05-19 10:00:00,28.0
COLLGAR_WF1,12h,2021-06-01 19:00:00,2021-06-06 06:00:00,107.0
COLLGAR_WF1,12h,2021-06-11 01:00:00,2021-06-13 16:00:00,63.0
COLLGAR_WF1,12h,2021-06-23 23:00:00,2021-06-26 01:00:00,50.0
COLLGAR_WF1,12h,2021-06-29 20:00:00,2021-06-30 21:00:00,25.0
COLLGAR_WF1,12h,2021-07-16 19:00:00,2021-07-17 22:00:00,27.0
