Windfarm,Scale,Start,End,Duration
COLWF01,4h,2014-03-27 20:00:00,2014-03-29 02:00:00,30.0
COLWF01,4h,2014-03-30 20:00:00,2014-04-01 10:00:00,38.0
COLWF01,4h,2014-06-21 12:00:00,2014-06-22 13:00:00,25.0
COLWF01,4h,2015-05-22 23:00:00,2015-05-24 20:00:00,45.0
COLWF01,4h,2015-06-02 16:00:00,2015-06-04 01:00:00,33.0
COLWF01,4h,2015-06-20 01:00:00,2015-06-21 03:00:00,26.0
COLWF01,4h,2015-06-25 10:00:00,2015-06-26 14:00:00,28.0
COLWF01,4h,2015-08-18 14:00:00,2015-08-19 19:00:00,29.0
COLWF01,4h,2015-11-08 22:00:00,2015-11-10 06:00:00,32.0
COLWF01,4h,2016-06-25 13:00:00,2016-06-26 15:00:00,26.0
COLWF01,4h,2016-09-04 20:00:00,2016-09-05 22:00:00,26.0
COLWF01,4h,2017-03-25 06:00:00,2017-03-26 06:00:00,24.0
COLWF01,4h,2017-04-22 07:00:00,2017-04-23 07:00:00,24.0
COLWF01,4h,2017-05-21 08:00:00,2017-05-22 11:00:00,27.0
COLWF01,4h,2018-04-30 00:00:00,2018-05-01 08:00:00,32.0
COLWF01,4h,2018-07-09 02:00:00,2018-07-10 03:00:00,25.0
COLWF01,4h,2019-06-15 01:00:00,2019-06-16 04:00:00,27.0
COLWF01,4h,2019-08-03 17:00:00,2019-08-04 17:00:00,24.0
COLWF01,4h,2020-07-10 00:00:00,2020-07-12 06:00:00,54.0
COLWF01,4h,2020-07-20 20:00:00,2020-07-21 22:00:00,26.0
COLWF01,4h,2021-03-31 19:00:00,2021-04-01 19:00:00,24.0
COLWF01,4h,2021-05-30 04:00:00,2021-05-31 05:00:00,25.0
COLWF01,4h,2021-06-13 18:00:00,2021-06-15 19:00:00,49.0
COLWF01,12h,2014-03-27 22:00:00,2014-03-29 06:00:00,32.0
COLWF01,12h,2014-03-31 00:00:00,2014-04-03 00:00:00,72.0
COLWF01,12h,2014-04-30 20:00:00,2014-05-01 23:00:00,27.0
COLWF01,12h,2014-05-13 02:00:00,2014-05-14 03:00:00,25.0
COLWF01,12h,2014-06-04 06:00:00,2014-06-05 10:00:00,28.0
COLWF01,12h,2014-06-17 18:00:00,2014-06-19 02:00:00,32.0
COLWF01,12h,2014-06-21 09:00:00,2014-06-22 15:00:00,30.0
COLWF01,12h,2014-07-20 05:00:00,2014-07-22 15:00:00,58.0
COLWF01,12h,2014-08-02 12:00:00,2014-08-03 14:00:00,26.0
COLWF01,12h,2014-08-07 19:00:00,2014-08-08 23:00:00,28.0
COLWF01,12h,2014-09-22 03:00:00,2014-09-23 09:00:00,30.0
