Windfarm,Scale,Start,End,Duration
COOPGWF1,1h,2014-03-27 21:00:00,2014-03-29 11:00:00,38.0
COOPGWF1,1h,2018-06-28 03:00:00,2018-06-29 06:00:00,27.0
COOPGWF1,4h,2014-03-27 21:00:00,2014-03-29 12:00:00,39.0
COOPGWF1,4h,2016-05-14 23:00:00,2016-05-16 09:00:00,34.0
COOPGWF1,4h,2017-06-25 01:00:00,2017-06-26 06:00:00,29.0
COOPGWF1,4h,2017-07-08 15:00:00,2017-07-09 18:00:00,27.0
COOPGWF1,4h,2018-06-28 04:00:00,2018-06-30 04:00:00,48.0
COOPGWF1,4h,2018-07-17 01:00:00,2018-07-18 19:00:00,42.0
COOPGWF1,4h,2021-04-24 02:00:00,2021-04-25 04:00:00,26.0
COOPGWF1,12h,2014-03-27 23:00:00,2014-03-30 08:00:00,57.0
COOPGWF1,12h,2014-05-24 23:00:00,2014-05-26 08:00:00,33.0
COOPGWF1,12h,2014-06-02 05:00:00,2014-06-04 10:00:00,53.0
COOPGWF1,12h,2014-07-02 07:00:00,2014-07-03 11:00:00,28.0
COOPGWF1,12h,2014-07-28 00:00:00,2014-07-29 01:00:00,25.0
COOPGWF1,12h,2015-05-04 10:00:00,2015-05-06 04:00:00,42.0
COOPGWF1,12h,2015-05-28 23:00:00,2015-05-30 20:00:00,45.0
COOPGWF1,12h,2015-06-09 00:00:00,2015-06-10 03:00:00,27.0
COOPGWF1,12h,2015-07-04 08:00:00,2015-07-05 23:00:00,39.0
COOPGWF1,12h,2015-07-30 06:00:00,2015-07-31 06:00:00,24.0
COOPGWF1,12h,2015-08-26 19:00:00,2015-08-27 23:00:00,28.0
COOPGWF1,12h,2016-03-26 00:00:00,2016-03-27 10:00:00,34.0
COOPGWF1,12h,2016-03-30 00:00:00,2016-03-31 03:00:00,27.0
COOPGWF1,12h,2016-04-21 23:00:00,2016-04-23 04:00:00,29.0
COOPGWF1,12h,2016-05-15 00:00:00,2016-05-16 16:00:00,40.0
COOPGWF1,12h,2016-05-17 05:00:00,2016-05-19 08:00:00,51.0
COOPGWF1,12h,2016-07-19 03:00:00,2016-07-20 21:00:00,42.0
COOPGWF1,12h,2016-07-30 07:00:00,2016-08-01 07:00:00,48.0
COOPGWF1,12h,2016-08-07 08:00:00,2016-08-08 13:00:00,29.0
COOPGWF1,12h,2016-08-28 06:00:00,2016-08-29 08:00:00,26.0
COOPGWF1,12h,2017-04-13 09:00:00,2017-04-14 09:00:00,24.0
COOPGWF1,12h,2017-05-02 03:00:00,2017-05-03 05:00:00,26.0
COOPGWF1,12h,2017-05-19 22:00:00,2017-05-21 08:00:00,34.0
COOPGWF1,12h,2017-06-22 23:00:00,2017-06-24 00:00:00,25.0
COOPGWF1,12h,2017-06-25 03:00:00,2017-06-26 12:00:00,33.0
COOPGWF1,12h,2017-07-08 20:00:00,2017-07-09 21:00:00,25.0
COOPGWF1,12h,2017-07-25 19:00:00,2017-07-27 11:00:00,40.0
COOPGWF1,12h,2017-07-29 15:00:00,2017-07-30 19:00:00,28.0
COOPGWF1,12h,2017-10-03 06:00:00,2017-10-04 09:00:00,27.0
COOPGWF1,12h,2017-10-12 16:00:00,2017-10-14 08:00:00,40.0
COOPGWF1,12h,2018-01-01 05:00:00,2018-01-02 13:00:00,32.0
COOPGWF1,12h,2018-04-24 18:00:00,2018-04-25 23:00:00,29.0
COOPGWF1,12h,2018-06-28 05:00:00,2018-06-30 12:00:00,55.0
COOPGWF1,12h,2018-07-14 18:00:00,2018-07-15 19:00:00,25.0
COOPGWF1,12h,2018-07-17 05:00:00,2018-07-19 02:00:00,45.0
COOPGWF1,12h,2018-07-25 07:00:00,2018-07-26 13:00:00,30.0
COOPGWF1,12h,2018-10-23 02:00:00,2018-10-24 10:00:00,32.0
COOPGWF1,12h,2019-04-06 22:00:00,2019-04-08 12:00:00,38.0
COOPGWF1,12h,2019-05-06 09:00:00,2019-05-07 20:00:00,35.0
COOPGWF1,12h,2019-05-25 00:00:00,2019-05-26 02:00:00,26.0
COOPGWF1,12h,2019-06-08 20:00:00,2019-06-11 08:00:00,60.0
COOPGWF1,12h,2019-06-12 16:00:00,2019-06-15 02:00:00,58.0
COOPGWF1,12h,2019-07-23 02:00:00,2019-07-24 02:00:00,24.0
COOPGWF1,12h,2019-10-19 09:00:00,2019-10-20 09:00:00,24.0
COOPGWF1,12h,2020-02-26 03:00:00,2020-02-27 07:00:00,28.0
COOPGWF1,12h,2020-06-05 22:00:00,2020-06-06 23:00:00,25.0
COOPGWF1,12h,2020-06-07 03:00:00,2020-06-08 03:00:00,24.0
COOPGWF1,12h,2020-07-18 06:00:00,2020-07-19 07:00:00,25.0
COOPGWF1,12h,2021-04-14 06:00:00,2021-04-16 08:00:00,50.0
COOPGWF1,12h,2021-04-19 02:00:00,2021-04-20 05:00:00,27.0
COOPGWF1,12h,2021-04-24 07:00:00,2021-04-26 08:00:00,49.0
COOPGWF1,12h,2021-05-07 16:00:00,2021-05-11 11:00:00,91.0
COOPGWF1,12h,2021-06-06 09:00:00,2021-06-07 09:00:00,24.0
COOPGWF1,12h,2021-06-14 23:00:00,2021-06-16 04:00:00,29.0
COOPGWF1,12h,2021-07-02 11:00:00,2021-07-03 13:00:00,26.0
COOPGWF1,1D,2014-03-28 05:00:00,2014-03-30 14:00:00,57.0
COOPGWF1,1D,2014-04-05 05:00:00,2014-04-06 13:00:00,32.0
COOPGWF1,1D,2014-04-19 14:00:00,2014-04-21 16:00:00,50.0
COOPGWF1,1D,2014-04-23 11:00:00,2014-04-25 04:00:00,41.0
COOPGWF1,1D,2014-04-30 13:00:00,2014-05-01 18:00:00,29.0
COOPGWF1,1D,2014-05-25 03:00:00,2014-05-26 16:00:00,37.0
COOPGWF1,1D,2014-06-02 09:00:00,2014-06-04 18:00:00,57.0
COOPGWF1,1D,2014-06-20 07:00:00,2014-06-22 10:00:00,51.0
COOPGWF1,1D,2014-07-02 14:00:00,2014-07-04 03:00:00,37.0
COOPGWF1,1D,2014-07-29 22:00:00,2014-07-31 00:00:00,26.0
COOPGWF1,1D,2014-08-30 23:00:00,2014-09-01 02:00:00,27.0
COOPGWF1,1D,2014-12-29 21:00:00,2014-12-31 11:00:00,38.0
COOPGWF1,1D,2015-03-26 00:00:00,2015-03-27 08:00:00,32.0
COOPGWF1,1D,2015-04-24 00:00:00,2015-04-25 08:00:00,32.0
COOPGWF1,1D,2015-05-04 09:00:00,2015-05-06 09:00:00,48.0
COOPGWF1,1D,2015-05-19 23:00:00,2015-05-21 01:00:00,26.0
COOPGWF1,1D,2015-05-26 19:00:00,2015-05-31 01:00:00,102.0
COOPGWF1,1D,2015-06-03 00:00:00,2015-06-04 07:00:00,31.0
COOPGWF1,1D,2015-06-09 08:00:00,2015-06-10 08:00:00,24.0
COOPGWF1,1D,2015-07-04 14:00:00,2015-07-06 05:00:00,39.0
COOPGWF1,1D,2015-07-30 12:00:00,2015-08-02 00:00:00,60.0
COOPGWF1,1D,2015-08-27 03:00:00,2015-08-28 08:00:00,29.0
COOPGWF1,1D,2015-09-05 18:00:00,2015-09-06 20:00:00,26.0
COOPGWF1,1D,2015-11-18 07:00:00,2015-11-19 10:00:00,27.0
COOPGWF1,1D,2016-03-25 17:00:00,2016-03-28 16:00:00,71.0
COOPGWF1,1D,2016-03-30 10:00:00,2016-03-31 10:00:00,24.0
COOPGWF1,1D,2016-04-22 06:00:00,2016-04-23 09:00:00,27.0
COOPGWF1,1D,2016-05-15 08:00:00,2016-05-19 09:00:00,97.0
COOPGWF1,1D,2016-07-19 11:00:00,2016-07-22 09:00:00,70.0
COOPGWF1,1D,2016-07-30 10:00:00,2016-08-01 16:00:00,54.0
COOPGWF1,1D,2016-08-07 15:00:00,2016-08-09 21:00:00,54.0
COOPGWF1,1D,2017-05-01 22:00:00,2017-05-03 07:00:00,33.0
COOPGWF1,1D,2017-05-20 03:00:00,2017-05-21 12:00:00,33.0
COOPGWF1,1D,2017-05-25 22:00:00,2017-05-27 15:00:00,41.0
COOPGWF1,1D,2017-06-23 00:00:00,2017-06-24 04:00:00,28.0
COOPGWF1,1D,2017-06-25 04:00:00,2017-06-26 14:00:00,34.0
COOPGWF1,1D,2017-07-09 04:00:00,2017-07-11 05:00:00,49.0
COOPGWF1,1D,2017-07-16 02:00:00,2017-07-17 07:00:00,29.0
COOPGWF1,1D,2017-07-25 11:00:00,2017-07-28 11:00:00,72.0
