Windfarm,Scale,Start,End,Duration
CROOKWF2,1h,2015-05-23 10:00:00,2015-05-24 15:00:00,29.0
CROOKWF2,1h,2018-04-30 02:00:00,2018-05-01 06:00:00,28.0
CROOKWF2,1h,2021-05-30 03:00:00,2021-05-31 05:00:00,26.0
CROOKWF2,4h,2014-03-30 18:00:00,2014-04-01 10:00:00,40.0
CROOKWF2,4h,2014-06-21 09:00:00,2014-06-22 13:00:00,28.0
CROOKWF2,4h,2015-05-23 00:00:00,2015-05-24 16:00:00,40.0
CROOKWF2,4h,2015-06-02 15:00:00,2015-06-03 19:00:00,28.0
CROOKWF2,4h,2015-06-19 09:00:00,2015-06-20 20:00:00,35.0
CROOKWF2,4h,2015-08-18 05:00:00,2015-08-19 16:00:00,35.0
CROOKWF2,4h,2015-11-08 22:00:00,2015-11-10 06:00:00,32.0
CROOKWF2,4h,2016-06-25 13:00:00,2016-06-26 14:00:00,25.0
CROOKWF2,4h,2016-08-05 02:00:00,2016-08-06 11:00:00,33.0
CROOKWF2,4h,2016-08-06 18:00:00,2016-08-08 00:00:00,30.0
CROOKWF2,4h,2017-03-25 03:00:00,2017-03-26 06:00:00,27.0
CROOKWF2,4h,2017-04-22 01:00:00,2017-04-23 10:00:00,33.0
CROOKWF2,4h,2018-04-30 03:00:00,2018-05-01 08:00:00,29.0
CROOKWF2,4h,2018-05-26 16:00:00,2018-05-27 16:00:00,24.0
CROOKWF2,4h,2018-07-09 03:00:00,2018-07-10 04:00:00,25.0
CROOKWF2,4h,2020-07-10 04:00:00,2020-07-11 11:00:00,31.0
CROOKWF2,4h,2020-07-11 22:00:00,2020-07-13 09:00:00,35.0
CROOKWF2,4h,2021-04-17 05:00:00,2021-04-18 07:00:00,26.0
CROOKWF2,4h,2021-05-30 03:00:00,2021-05-31 06:00:00,27.0
CROOKWF2,12h,2014-03-27 23:00:00,2014-03-30 13:00:00,62.0
CROOKWF2,12h,2014-03-30 21:00:00,2014-04-01 19:00:00,46.0
CROOKWF2,12h,2014-04-16 05:00:00,2014-04-17 17:00:00,36.0
CROOKWF2,12h,2014-04-30 20:00:00,2014-05-01 21:00:00,25.0
CROOKWF2,12h,2014-05-13 05:00:00,2014-05-14 20:00:00,39.0
CROOKWF2,12h,2014-06-04 06:00:00,2014-06-05 13:00:00,31.0
CROOKWF2,12h,2014-06-21 11:00:00,2014-06-22 14:00:00,27.0
CROOKWF2,12h,2014-07-20 08:00:00,2014-07-21 19:00:00,35.0
CROOKWF2,12h,2014-08-02 13:00:00,2014-08-03 14:00:00,25.0
CROOKWF2,12h,2014-08-07 15:00:00,2014-08-08 20:00:00,29.0
CROOKWF2,12h,2014-08-24 01:00:00,2014-08-25 13:00:00,36.0
CROOKWF2,12h,2015-05-23 03:00:00,2015-05-24 19:00:00,40.0
CROOKWF2,12h,2015-06-02 10:00:00,2015-06-04 01:00:00,39.0
CROOKWF2,12h,2015-06-19 12:00:00,2015-06-21 18:00:00,54.0
CROOKWF2,12h,2015-06-25 09:00:00,2015-06-26 16:00:00,31.0
CROOKWF2,12h,2015-07-07 10:00:00,2015-07-08 12:00:00,26.0
CROOKWF2,12h,2015-07-18 19:00:00,2015-07-19 19:00:00,24.0
CROOKWF2,12h,2015-08-18 10:00:00,2015-08-19 19:00:00,33.0
CROOKWF2,12h,2015-09-12 15:00:00,2015-09-13 18:00:00,27.0
CROOKWF2,12h,2015-09-17 01:00:00,2015-09-18 06:00:00,29.0
CROOKWF2,12h,2015-11-09 00:00:00,2015-11-10 07:00:00,31.0
CROOKWF2,12h,2016-03-11 03:00:00,2016-03-12 09:00:00,30.0
CROOKWF2,12h,2016-03-28 11:00:00,2016-03-29 15:00:00,28.0
CROOKWF2,12h,2016-06-12 00:00:00,2016-06-13 00:00:00,24.0
CROOKWF2,12h,2016-08-05 04:00:00,2016-08-08 13:00:00,81.0
CROOKWF2,12h,2017-03-25 05:00:00,2017-03-26 08:00:00,27.0
CROOKWF2,12h,2017-04-12 23:00:00,2017-04-14 07:00:00,32.0
CROOKWF2,12h,2017-04-22 02:00:00,2017-04-24 13:00:00,59.0
CROOKWF2,12h,2017-05-08 22:00:00,2017-05-10 16:00:00,42.0
CROOKWF2,12h,2017-05-20 08:00:00,2017-05-22 15:00:00,55.0
CROOKWF2,12h,2017-06-03 19:00:00,2017-06-05 08:00:00,37.0
CROOKWF2,12h,2017-06-16 21:00:00,2017-06-18 01:00:00,28.0
CROOKWF2,12h,2017-06-19 04:00:00,2017-06-20 07:00:00,27.0
CROOKWF2,12h,2017-08-21 21:00:00,2017-08-23 02:00:00,29.0
CROOKWF2,12h,2017-10-21 07:00:00,2017-10-22 07:00:00,24.0
CROOKWF2,12h,2018-04-23 21:00:00,2018-04-25 09:00:00,36.0
CROOKWF2,12h,2018-04-30 04:00:00,2018-05-01 10:00:00,30.0
CROOKWF2,12h,2018-05-26 07:00:00,2018-05-28 00:00:00,41.0
CROOKWF2,12h,2018-06-20 12:00:00,2018-06-21 19:00:00,31.0
CROOKWF2,12h,2018-06-24 01:00:00,2018-06-25 12:00:00,35.0
CROOKWF2,12h,2018-07-09 09:00:00,2018-07-10 20:00:00,35.0
CROOKWF2,12h,2018-10-01 02:00:00,2018-10-02 10:00:00,32.0
CROOKWF2,12h,2020-04-18 18:00:00,2020-04-19 18:00:00,24.0
CROOKWF2,12h,2020-05-11 00:00:00,2020-05-12 01:00:00,25.0
CROOKWF2,12h,2020-06-10 06:00:00,2020-06-11 12:00:00,30.0
CROOKWF2,12h,2020-07-05 22:00:00,2020-07-07 02:00:00,28.0
CROOKWF2,12h,2020-07-09 07:00:00,2020-07-11 17:00:00,58.0
CROOKWF2,12h,2020-07-11 23:00:00,2020-07-13 12:00:00,37.0
CROOKWF2,12h,2021-03-31 22:00:00,2021-04-02 02:00:00,28.0
CROOKWF2,12h,2021-04-17 07:00:00,2021-04-18 10:00:00,27.0
CROOKWF2,12h,2021-04-25 22:00:00,2021-04-27 11:00:00,37.0
CROOKWF2,12h,2021-04-28 01:00:00,2021-04-29 13:00:00,36.0
CROOKWF2,12h,2021-05-22 00:00:00,2021-05-23 06:00:00,30.0
CROOKWF2,12h,2021-05-30 07:00:00,2021-05-31 14:00:00,31.0
CROOKWF2,12h,2021-06-14 02:00:00,2021-06-15 17:00:00,39.0
CROOKWF2,12h,2021-07-06 01:00:00,2021-07-07 11:00:00,34.0
CROOKWF2,1D,2014-03-06 16:00:00,2014-03-08 01:00:00,33.0
CROOKWF2,1D,2014-03-28 06:00:00,2014-04-03 00:00:00,138.0
CROOKWF2,1D,2014-04-04 18:00:00,2014-04-05 19:00:00,25.0
CROOKWF2,1D,2014-04-08 07:00:00,2014-04-10 09:00:00,50.0
CROOKWF2,1D,2014-04-16 12:00:00,2014-04-17 21:00:00,33.0
CROOKWF2,1D,2014-05-13 08:00:00,2014-05-15 05:00:00,45.0
CROOKWF2,1D,2014-06-04 15:00:00,2014-06-05 19:00:00,28.0
CROOKWF2,1D,2014-06-21 17:00:00,2014-06-22 17:00:00,24.0
CROOKWF2,1D,2014-07-20 12:00:00,2014-07-23 20:00:00,80.0
CROOKWF2,1D,2014-08-02 21:00:00,2014-08-04 02:00:00,29.0
CROOKWF2,1D,2014-08-07 20:00:00,2014-08-08 22:00:00,26.0
CROOKWF2,1D,2014-08-24 06:00:00,2014-08-25 18:00:00,36.0
CROOKWF2,1D,2014-09-21 16:00:00,2014-09-23 10:00:00,42.0
