Windfarm,Scale,Start,End,Duration
CRURWF1,12h,2014-03-28 00:00:00,2014-03-30 10:00:00,58.0
CRURWF1,12h,2014-04-22 21:00:00,2014-04-24 00:00:00,27.0
CRURWF1,12h,2014-05-13 07:00:00,2014-05-17 03:00:00,92.0
CRURWF1,12h,2014-05-21 03:00:00,2014-05-22 04:00:00,25.0
CRURWF1,12h,2014-06-17 23:00:00,2014-06-19 03:00:00,28.0
CRURWF1,12h,2014-07-22 23:00:00,2014-07-24 03:00:00,28.0
CRURWF1,12h,2014-08-24 05:00:00,2014-08-25 08:00:00,27.0
CRURWF1,12h,2015-01-23 18:00:00,2015-01-24 19:00:00,25.0
CRURWF1,12h,2015-05-23 23:00:00,2015-05-25 05:00:00,30.0
CRURWF1,12h,2015-05-25 17:00:00,2015-05-28 02:00:00,57.0
CRURWF1,12h,2015-06-02 08:00:00,2015-06-04 03:00:00,43.0
CRURWF1,12h,2015-06-13 02:00:00,2015-06-14 12:00:00,34.0
CRURWF1,12h,2015-06-20 00:00:00,2015-06-23 01:00:00,73.0
CRURWF1,12h,2015-06-29 09:00:00,2015-06-30 22:00:00,37.0
CRURWF1,12h,2015-07-22 22:00:00,2015-07-23 23:00:00,25.0
CRURWF1,12h,2015-09-12 20:00:00,2015-09-14 02:00:00,30.0
CRURWF1,12h,2015-10-09 22:00:00,2015-10-11 00:00:00,26.0
CRURWF1,12h,2016-04-15 01:00:00,2016-04-16 09:00:00,32.0
CRURWF1,12h,2016-07-07 22:00:00,2016-07-09 12:00:00,38.0
CRURWF1,12h,2016-08-07 04:00:00,2016-08-09 02:00:00,46.0
CRURWF1,12h,2016-08-14 23:00:00,2016-08-16 01:00:00,26.0
CRURWF1,12h,2016-08-21 12:00:00,2016-08-22 16:00:00,28.0
CRURWF1,12h,2016-09-05 03:00:00,2016-09-06 03:00:00,24.0
CRURWF1,12h,2017-04-22 03:00:00,2017-04-23 14:00:00,35.0
CRURWF1,12h,2017-05-10 00:00:00,2017-05-11 09:00:00,33.0
CRURWF1,12h,2017-05-20 07:00:00,2017-05-21 17:00:00,34.0
CRURWF1,12h,2017-06-03 22:00:00,2017-06-05 04:00:00,30.0
CRURWF1,12h,2017-06-14 11:00:00,2017-06-16 13:00:00,50.0
CRURWF1,12h,2017-07-01 06:00:00,2017-07-02 23:00:00,41.0
CRURWF1,12h,2017-10-02 22:00:00,2017-10-04 09:00:00,35.0
CRURWF1,12h,2018-03-28 23:00:00,2018-03-30 02:00:00,27.0
CRURWF1,12h,2018-04-05 02:00:00,2018-04-06 08:00:00,30.0
CRURWF1,12h,2018-05-07 20:00:00,2018-05-09 02:00:00,30.0
CRURWF1,12h,2018-05-23 07:00:00,2018-05-24 08:00:00,25.0
CRURWF1,12h,2018-05-26 01:00:00,2018-05-27 14:00:00,37.0
CRURWF1,12h,2018-06-20 23:00:00,2018-06-23 03:00:00,52.0
CRURWF1,12h,2018-07-10 02:00:00,2018-07-12 02:00:00,48.0
CRURWF1,12h,2018-10-01 07:00:00,2018-10-02 08:00:00,25.0
CRURWF1,12h,2019-01-21 14:00:00,2019-01-22 20:00:00,30.0
CRURWF1,12h,2019-03-23 18:00:00,2019-03-24 19:00:00,25.0
CRURWF1,12h,2019-04-24 07:00:00,2019-04-25 07:00:00,24.0
CRURWF1,12h,2019-05-12 05:00:00,2019-05-13 05:00:00,24.0
CRURWF1,12h,2019-05-17 03:00:00,2019-05-18 09:00:00,30.0
CRURWF1,12h,2019-07-25 01:00:00,2019-07-26 03:00:00,26.0
CRURWF1,12h,2020-04-12 23:00:00,2020-04-14 08:00:00,33.0
CRURWF1,12h,2020-05-11 03:00:00,2020-05-12 07:00:00,28.0
CRURWF1,12h,2020-06-05 23:00:00,2020-06-07 04:00:00,29.0
CRURWF1,12h,2020-07-09 06:00:00,2020-07-10 16:00:00,34.0
CRURWF1,12h,2020-07-12 00:00:00,2020-07-13 08:00:00,32.0
CRURWF1,12h,2020-07-17 19:00:00,2020-07-18 21:00:00,26.0
CRURWF1,12h,2020-07-22 00:00:00,2020-07-23 19:00:00,43.0
CRURWF1,12h,2020-08-02 01:00:00,2020-08-03 02:00:00,25.0
CRURWF1,12h,2020-08-26 00:00:00,2020-08-27 00:00:00,24.0
CRURWF1,12h,2020-08-28 22:00:00,2020-08-29 23:00:00,25.0
CRURWF1,12h,2021-02-27 08:00:00,2021-03-01 00:00:00,40.0
CRURWF1,12h,2021-04-03 23:00:00,2021-04-05 00:00:00,25.0
CRURWF1,12h,2021-04-17 15:00:00,2021-04-19 02:00:00,35.0
CRURWF1,12h,2021-04-25 23:00:00,2021-04-27 08:00:00,33.0
CRURWF1,12h,2021-04-28 05:00:00,2021-04-29 13:00:00,32.0
CRURWF1,12h,2021-05-22 06:00:00,2021-05-23 07:00:00,25.0
CRURWF1,12h,2021-05-30 15:00:00,2021-06-01 03:00:00,36.0
CRURWF1,12h,2021-06-14 09:00:00,2021-06-16 03:00:00,42.0
CRURWF1,1D,2014-03-21 14:00:00,2014-03-23 04:00:00,38.0
CRURWF1,1D,2014-03-28 08:00:00,2014-03-30 13:00:00,53.0
CRURWF1,1D,2014-03-31 13:00:00,2014-04-02 03:00:00,38.0
CRURWF1,1D,2014-04-16 19:00:00,2014-04-18 00:00:00,29.0
CRURWF1,1D,2014-05-13 15:00:00,2014-05-19 04:00:00,133.0
CRURWF1,1D,2014-05-21 07:00:00,2014-05-22 19:00:00,36.0
CRURWF1,1D,2014-06-18 07:00:00,2014-06-19 14:00:00,31.0
CRURWF1,1D,2014-06-21 10:00:00,2014-06-22 23:00:00,37.0
CRURWF1,1D,2014-07-02 14:00:00,2014-07-03 18:00:00,28.0
CRURWF1,1D,2014-07-21 20:00:00,2014-07-24 06:00:00,58.0
CRURWF1,1D,2014-08-24 10:00:00,2014-08-25 12:00:00,26.0
CRURWF1,1D,2015-01-23 12:00:00,2015-01-24 22:00:00,34.0
CRURWF1,1D,2015-04-14 14:00:00,2015-04-15 16:00:00,26.0
CRURWF1,1D,2015-05-23 22:00:00,2015-05-28 05:00:00,103.0
CRURWF1,1D,2015-06-02 17:00:00,2015-06-04 09:00:00,40.0
CRURWF1,1D,2015-06-13 12:00:00,2015-06-14 19:00:00,31.0
CRURWF1,1D,2015-06-20 08:00:00,2015-06-23 02:00:00,66.0
CRURWF1,1D,2015-06-26 23:00:00,2015-06-28 21:00:00,46.0
CRURWF1,1D,2015-06-29 11:00:00,2015-07-01 05:00:00,42.0
CRURWF1,1D,2015-07-23 02:00:00,2015-07-24 02:00:00,24.0
CRURWF1,1D,2015-07-28 22:00:00,2015-07-30 00:00:00,26.0
CRURWF1,1D,2015-08-19 01:00:00,2015-08-21 02:00:00,49.0
CRURWF1,1D,2015-09-12 15:00:00,2015-09-14 07:00:00,40.0
CRURWF1,1D,2015-10-09 21:00:00,2015-10-11 01:00:00,28.0
CRURWF1,1D,2016-03-26 07:00:00,2016-03-27 07:00:00,24.0
CRURWF1,1D,2016-04-15 09:00:00,2016-04-16 19:00:00,34.0
CRURWF1,1D,2016-04-19 11:00:00,2016-04-20 13:00:00,26.0
CRURWF1,1D,2016-04-27 13:00:00,2016-04-29 02:00:00,37.0
CRURWF1,1D,2016-05-06 07:00:00,2016-05-08 06:00:00,47.0
CRURWF1,1D,2016-06-13 14:00:00,2016-06-14 18:00:00,28.0
CRURWF1,1D,2016-07-08 05:00:00,2016-07-09 19:00:00,38.0
CRURWF1,1D,2016-08-06 04:00:00,2016-08-09 06:00:00,74.0
CRURWF1,1D,2016-08-15 00:00:00,2016-08-16 05:00:00,29.0
CRURWF1,1D,2016-08-21 19:00:00,2016-08-22 21:00:00,26.0
CRURWF1,1D,2016-09-05 08:00:00,2016-09-06 23:00:00,39.0
CRURWF1,1D,2017-04-13 15:00:00,2017-04-15 08:00:00,41.0
CRURWF1,1D,2017-04-22 00:00:00,2017-04-24 22:00:00,70.0
CRURWF1,1D,2017-05-10 02:00:00,2017-05-11 14:00:00,36.0
CRURWF1,1D,2017-05-20 13:00:00,2017-05-23 07:00:00,66.0
CRURWF1,1D,2017-06-01 12:00:00,2017-06-02 12:00:00,24.0
CRURWF1,1D,2017-06-03 18:00:00,2017-06-05 10:00:00,40.0
CRURWF1,1D,2017-06-14 18:00:00,2017-06-16 22:00:00,52.0
CRURWF1,1D,2017-06-27 09:00:00,2017-06-29 06:00:00,45.0
CRURWF1,1D,2017-07-01 09:00:00,2017-07-03 00:00:00,39.0
CRURWF1,1D,2017-10-03 03:00:00,2017-10-04 13:00:00,34.0
CRURWF1,1D,2017-11-23 14:00:00,2017-11-24 17:00:00,27.0
