Windfarm,Scale,Start,End,Duration
CTHLWF1,1h,2014-01-07 11:00:00,2014-01-08 16:00:00,29.0
CTHLWF1,1h,2014-03-25 16:00:00,2014-03-26 17:00:00,25.0
CTHLWF1,1h,2014-04-14 03:00:00,2014-04-15 10:00:00,31.0
CTHLWF1,1h,2014-05-28 16:00:00,2014-05-29 16:00:00,24.0
CTHLWF1,1h,2014-05-31 14:00:00,2014-06-01 19:00:00,29.0
CTHLWF1,1h,2014-08-24 06:00:00,2014-08-26 00:00:00,42.0
CTHLWF1,1h,2015-01-11 09:00:00,2015-01-12 09:00:00,24.0
CTHLWF1,1h,2015-04-21 17:00:00,2015-04-23 03:00:00,34.0
CTHLWF1,1h,2015-06-03 00:00:00,2015-06-04 09:00:00,33.0
CTHLWF1,1h,2015-09-24 18:00:00,2015-09-25 22:00:00,28.0
CTHLWF1,1h,2015-12-14 07:00:00,2015-12-16 11:00:00,52.0
CTHLWF1,1h,2016-01-16 09:00:00,2016-01-18 19:00:00,58.0
CTHLWF1,1h,2016-01-25 00:00:00,2016-01-26 05:00:00,29.0
CTHLWF1,1h,2016-05-30 11:00:00,2016-06-01 00:00:00,37.0
CTHLWF1,1h,2016-07-08 18:00:00,2016-07-09 19:00:00,25.0
CTHLWF1,1h,2016-08-03 14:00:00,2016-08-05 09:00:00,43.0
CTHLWF1,1h,2016-09-12 08:00:00,2016-09-13 11:00:00,27.0
CTHLWF1,1h,2016-11-10 06:00:00,2016-11-11 16:00:00,34.0
CTHLWF1,1h,2016-12-23 08:00:00,2016-12-24 09:00:00,25.0
CTHLWF1,1h,2017-03-20 09:00:00,2017-03-21 19:00:00,34.0
CTHLWF1,1h,2017-03-22 12:00:00,2017-03-24 05:00:00,41.0
CTHLWF1,1h,2017-05-14 08:00:00,2017-05-16 01:00:00,41.0
CTHLWF1,1h,2017-07-30 22:00:00,2017-08-02 10:00:00,60.0
CTHLWF1,1h,2017-11-09 11:00:00,2017-11-12 07:00:00,68.0
CTHLWF1,1h,2018-01-20 04:00:00,2018-01-21 08:00:00,28.0
CTHLWF1,1h,2018-02-25 07:00:00,2018-02-26 09:00:00,26.0
CTHLWF1,1h,2018-03-07 15:00:00,2018-03-08 23:00:00,32.0
CTHLWF1,1h,2018-06-01 04:00:00,2018-06-02 21:00:00,41.0
CTHLWF1,1h,2018-10-06 09:00:00,2018-10-08 10:00:00,49.0
CTHLWF1,1h,2018-11-28 02:00:00,2018-11-29 14:00:00,36.0
CTHLWF1,1h,2019-01-16 05:00:00,2019-01-17 06:00:00,25.0
CTHLWF1,1h,2019-03-15 12:00:00,2019-03-17 05:00:00,41.0
CTHLWF1,1h,2019-05-04 16:00:00,2019-05-05 23:00:00,31.0
CTHLWF1,1h,2019-07-03 16:00:00,2019-07-04 22:00:00,30.0
CTHLWF1,1h,2020-02-05 11:00:00,2020-02-06 16:00:00,29.0
CTHLWF1,1h,2020-07-12 00:00:00,2020-07-13 13:00:00,37.0
CTHLWF1,1h,2020-09-23 19:00:00,2020-09-25 00:00:00,29.0
CTHLWF1,1h,2020-10-21 01:00:00,2020-10-22 03:00:00,26.0
CTHLWF1,1h,2020-10-31 15:00:00,2020-11-01 17:00:00,26.0
CTHLWF1,1h,2021-02-26 14:00:00,2021-02-28 15:00:00,49.0
CTHLWF1,1h,2021-06-13 06:00:00,2021-06-14 21:00:00,39.0
CTHLWF1,1h,2021-07-07 15:00:00,2021-07-10 05:00:00,62.0
CTHLWF1,1h,2021-09-13 05:00:00,2021-09-14 09:00:00,28.0
CTHLWF1,1h,2021-09-15 22:00:00,2021-09-16 22:00:00,24.0
CTHLWF1,1h,2021-10-04 10:00:00,2021-10-05 11:00:00,25.0
CTHLWF1,1h,2021-11-22 23:00:00,2021-11-24 01:00:00,26.0
