Windfarm,Scale,Start,End,Duration
GRANWF1,12h,2014-01-22 19:00:00,2014-01-23 22:00:00,27.0
GRANWF1,12h,2014-03-25 20:00:00,2014-03-27 00:00:00,28.0
GRANWF1,12h,2014-03-28 16:00:00,2014-03-30 18:00:00,50.0
GRANWF1,12h,2014-04-04 17:00:00,2014-04-06 09:00:00,40.0
GRANWF1,12h,2014-04-11 22:00:00,2014-04-14 04:00:00,54.0
GRANWF1,12h,2014-05-28 21:00:00,2014-06-03 05:00:00,128.0
GRANWF1,12h,2014-07-05 11:00:00,2014-07-07 00:00:00,37.0
GRANWF1,12h,2014-07-20 03:00:00,2014-07-22 18:00:00,63.0
GRANWF1,12h,2014-07-25 17:00:00,2014-07-26 17:00:00,24.0
GRANWF1,12h,2014-08-24 21:00:00,2014-08-26 02:00:00,29.0
GRANWF1,12h,2014-08-28 18:00:00,2014-08-30 00:00:00,30.0
GRANWF1,12h,2014-09-04 22:00:00,2014-09-06 03:00:00,29.0
GRANWF1,12h,2015-02-18 21:00:00,2015-02-20 02:00:00,29.0
GRANWF1,12h,2015-04-22 21:00:00,2015-04-24 04:00:00,31.0
GRANWF1,12h,2015-07-04 19:00:00,2015-07-07 11:00:00,64.0
GRANWF1,12h,2015-08-25 20:00:00,2015-08-26 22:00:00,26.0
GRANWF1,12h,2015-08-31 00:00:00,2015-09-01 18:00:00,42.0
GRANWF1,12h,2015-10-09 20:00:00,2015-10-11 01:00:00,29.0
GRANWF1,12h,2015-10-18 19:00:00,2015-10-19 21:00:00,26.0
GRANWF1,12h,2016-02-05 16:00:00,2016-02-07 03:00:00,35.0
GRANWF1,12h,2016-03-10 07:00:00,2016-03-11 22:00:00,39.0
GRANWF1,12h,2016-05-29 23:00:00,2016-05-31 01:00:00,26.0
GRANWF1,12h,2016-05-31 14:00:00,2016-06-04 02:00:00,84.0
GRANWF1,12h,2016-06-18 01:00:00,2016-06-20 01:00:00,48.0
GRANWF1,12h,2016-07-06 23:00:00,2016-07-08 11:00:00,36.0
GRANWF1,12h,2016-08-05 08:00:00,2016-08-07 09:00:00,49.0
GRANWF1,12h,2016-09-01 18:00:00,2016-09-03 03:00:00,33.0
GRANWF1,12h,2016-09-13 01:00:00,2016-09-14 01:00:00,24.0
GRANWF1,12h,2017-04-03 01:00:00,2017-04-04 22:00:00,45.0
GRANWF1,12h,2017-05-14 01:00:00,2017-05-16 14:00:00,61.0
GRANWF1,12h,2017-07-31 02:00:00,2017-08-01 06:00:00,28.0
GRANWF1,12h,2017-08-01 20:00:00,2017-08-03 05:00:00,33.0
