Windfarm,Scale,Start,End,Duration
GULLRWF1,1h,2015-05-23 09:00:00,2015-05-24 15:00:00,30.0
GULLRWF1,1h,2015-08-18 11:00:00,2015-08-19 16:00:00,29.0
GULLRWF1,4h,2014-03-30 19:00:00,2014-04-01 11:00:00,40.0
GULLRWF1,4h,2014-06-21 10:00:00,2014-06-22 13:00:00,27.0
GULLRWF1,4h,2015-05-22 18:00:00,2015-05-24 17:00:00,47.0
GULLRWF1,4h,2015-06-02 14:00:00,2015-06-03 21:00:00,31.0
GULLRWF1,4h,2015-06-19 11:00:00,2015-06-20 20:00:00,33.0
GULLRWF1,4h,2015-06-25 10:00:00,2015-06-26 13:00:00,27.0
GULLRWF1,4h,2015-08-18 13:00:00,2015-08-19 17:00:00,28.0
GULLRWF1,4h,2016-06-25 14:00:00,2016-06-26 15:00:00,25.0
GULLRWF1,4h,2016-08-06 18:00:00,2016-08-08 04:00:00,34.0
GULLRWF1,4h,2017-03-24 23:00:00,2017-03-26 06:00:00,31.0
GULLRWF1,4h,2017-04-22 01:00:00,2017-04-23 10:00:00,33.0
GULLRWF1,4h,2017-09-16 14:00:00,2017-09-17 14:00:00,24.0
GULLRWF1,4h,2018-04-30 03:00:00,2018-05-01 08:00:00,29.0
GULLRWF1,4h,2020-07-10 03:00:00,2020-07-11 11:00:00,32.0
GULLRWF1,4h,2021-03-31 21:00:00,2021-04-02 00:00:00,27.0
GULLRWF1,4h,2021-05-30 02:00:00,2021-05-31 05:00:00,27.0
GULLRWF1,12h,2014-03-27 22:00:00,2014-03-29 07:00:00,33.0
GULLRWF1,12h,2014-03-30 22:00:00,2014-04-01 20:00:00,46.0
GULLRWF1,12h,2014-04-16 05:00:00,2014-04-17 17:00:00,36.0
GULLRWF1,12h,2014-05-13 04:00:00,2014-05-14 20:00:00,40.0
GULLRWF1,12h,2014-06-04 07:00:00,2014-06-05 12:00:00,29.0
GULLRWF1,12h,2014-06-21 10:00:00,2014-06-22 14:00:00,28.0
GULLRWF1,12h,2014-07-20 01:00:00,2014-07-23 15:00:00,86.0
GULLRWF1,12h,2014-08-02 12:00:00,2014-08-03 14:00:00,26.0
GULLRWF1,12h,2014-08-07 15:00:00,2014-08-08 20:00:00,29.0
GULLRWF1,12h,2014-08-24 01:00:00,2014-08-25 12:00:00,35.0
GULLRWF1,12h,2014-09-22 02:00:00,2014-09-23 09:00:00,31.0
GULLRWF1,12h,2015-05-23 00:00:00,2015-05-24 21:00:00,45.0
GULLRWF1,12h,2015-06-02 08:00:00,2015-06-04 02:00:00,42.0
GULLRWF1,12h,2015-06-19 06:00:00,2015-06-21 19:00:00,61.0
GULLRWF1,12h,2015-06-25 08:00:00,2015-06-26 17:00:00,33.0
GULLRWF1,12h,2015-07-07 10:00:00,2015-07-08 12:00:00,26.0
GULLRWF1,12h,2015-08-18 11:00:00,2015-08-19 20:00:00,33.0
GULLRWF1,12h,2015-09-12 16:00:00,2015-09-13 18:00:00,26.0
