Windfarm,Scale,Start,End,Duration
GUNNING1,4h,2014-06-21 12:00:00,2014-06-22 12:00:00,24.0
GUNNING1,4h,2014-07-20 04:00:00,2014-07-21 08:00:00,28.0
GUNNING1,4h,2014-08-07 15:00:00,2014-08-08 18:00:00,27.0
GUNNING1,4h,2015-05-22 19:00:00,2015-05-24 16:00:00,45.0
GUNNING1,4h,2015-06-02 15:00:00,2015-06-03 20:00:00,29.0
GUNNING1,4h,2015-06-19 10:00:00,2015-06-20 20:00:00,34.0
GUNNING1,4h,2015-07-18 13:00:00,2015-07-19 18:00:00,29.0
GUNNING1,4h,2016-08-05 01:00:00,2016-08-06 10:00:00,33.0
GUNNING1,4h,2017-03-25 01:00:00,2017-03-26 05:00:00,28.0
GUNNING1,4h,2017-04-22 02:00:00,2017-04-23 07:00:00,29.0
GUNNING1,4h,2017-06-03 14:00:00,2017-06-05 04:00:00,38.0
GUNNING1,4h,2017-06-16 15:00:00,2017-06-17 21:00:00,30.0
GUNNING1,4h,2018-04-23 16:00:00,2018-04-25 06:00:00,38.0
GUNNING1,4h,2018-04-30 00:00:00,2018-05-01 07:00:00,31.0
GUNNING1,4h,2020-07-10 04:00:00,2020-07-11 11:00:00,31.0
GUNNING1,4h,2021-05-21 17:00:00,2021-05-23 01:00:00,32.0
GUNNING1,4h,2021-05-30 02:00:00,2021-05-31 06:00:00,28.0
GUNNING1,4h,2021-06-14 02:00:00,2021-06-15 15:00:00,37.0
GUNNING1,12h,2014-03-27 23:00:00,2014-03-29 06:00:00,31.0
GUNNING1,12h,2014-04-04 07:00:00,2014-04-05 07:00:00,24.0
GUNNING1,12h,2014-04-16 03:00:00,2014-04-17 17:00:00,38.0
GUNNING1,12h,2014-04-30 20:00:00,2014-05-01 20:00:00,24.0
GUNNING1,12h,2014-05-12 21:00:00,2014-05-14 05:00:00,32.0
GUNNING1,12h,2014-06-04 08:00:00,2014-06-05 12:00:00,28.0
GUNNING1,12h,2014-07-20 04:00:00,2014-07-23 11:00:00,79.0
GUNNING1,12h,2014-08-13 01:00:00,2014-08-14 09:00:00,32.0
GUNNING1,12h,2014-08-24 00:00:00,2014-08-25 10:00:00,34.0
GUNNING1,12h,2015-05-23 00:00:00,2015-05-24 19:00:00,43.0
GUNNING1,12h,2015-06-02 14:00:00,2015-06-04 02:00:00,36.0
GUNNING1,12h,2015-06-19 14:00:00,2015-06-21 19:00:00,53.0
GUNNING1,12h,2015-06-24 14:00:00,2015-06-26 15:00:00,49.0
GUNNING1,12h,2015-07-07 11:00:00,2015-07-08 11:00:00,24.0
GUNNING1,12h,2015-07-18 17:00:00,2015-07-20 04:00:00,35.0
GUNNING1,12h,2015-08-08 00:00:00,2015-08-09 13:00:00,37.0
GUNNING1,12h,2015-09-17 02:00:00,2015-09-18 06:00:00,28.0
GUNNING1,12h,2015-09-26 19:00:00,2015-09-28 05:00:00,34.0
GUNNING1,12h,2015-11-08 22:00:00,2015-11-10 06:00:00,32.0
GUNNING1,12h,2016-06-01 14:00:00,2016-06-03 05:00:00,39.0
GUNNING1,12h,2016-06-12 01:00:00,2016-06-13 14:00:00,37.0
GUNNING1,12h,2016-07-08 04:00:00,2016-07-10 01:00:00,45.0
GUNNING1,12h,2016-08-05 03:00:00,2016-08-08 13:00:00,82.0
GUNNING1,12h,2017-03-25 04:00:00,2017-03-26 08:00:00,28.0
GUNNING1,12h,2017-04-12 19:00:00,2017-04-14 06:00:00,35.0
GUNNING1,12h,2017-04-22 03:00:00,2017-04-23 12:00:00,33.0
GUNNING1,12h,2017-05-08 13:00:00,2017-05-10 17:00:00,52.0
GUNNING1,12h,2017-05-14 01:00:00,2017-05-15 15:00:00,38.0
GUNNING1,12h,2017-05-21 05:00:00,2017-05-22 09:00:00,28.0
GUNNING1,12h,2017-06-02 22:00:00,2017-06-05 07:00:00,57.0
GUNNING1,12h,2017-06-15 19:00:00,2017-06-18 03:00:00,56.0
GUNNING1,12h,2017-06-18 20:00:00,2017-06-20 07:00:00,35.0
GUNNING1,12h,2017-07-11 07:00:00,2017-07-12 08:00:00,25.0
GUNNING1,12h,2017-10-22 01:00:00,2017-10-23 12:00:00,35.0
GUNNING1,12h,2018-04-23 21:00:00,2018-04-25 09:00:00,36.0
GUNNING1,12h,2018-04-28 19:00:00,2018-05-01 10:00:00,63.0
GUNNING1,12h,2018-05-26 19:00:00,2018-05-28 09:00:00,38.0
GUNNING1,12h,2018-06-03 15:00:00,2018-06-04 16:00:00,25.0
GUNNING1,12h,2018-06-20 11:00:00,2018-06-21 16:00:00,29.0
GUNNING1,12h,2018-06-24 02:00:00,2018-06-25 12:00:00,34.0
GUNNING1,12h,2018-10-01 01:00:00,2018-10-02 10:00:00,33.0
GUNNING1,12h,2019-05-14 17:00:00,2019-05-16 09:00:00,40.0
GUNNING1,12h,2019-05-31 22:00:00,2019-06-02 04:00:00,30.0
GUNNING1,12h,2020-04-13 01:00:00,2020-04-14 02:00:00,25.0
GUNNING1,12h,2020-05-04 07:00:00,2020-05-05 17:00:00,34.0
GUNNING1,12h,2020-06-27 22:00:00,2020-06-29 07:00:00,33.0
GUNNING1,12h,2020-07-10 07:00:00,2020-07-11 15:00:00,32.0
GUNNING1,12h,2020-07-12 01:00:00,2020-07-13 11:00:00,34.0
GUNNING1,12h,2020-10-28 23:00:00,2020-10-30 01:00:00,26.0
GUNNING1,12h,2021-03-31 21:00:00,2021-04-02 04:00:00,31.0
GUNNING1,12h,2021-04-17 04:00:00,2021-04-18 09:00:00,29.0
GUNNING1,12h,2021-04-25 20:00:00,2021-04-27 10:00:00,38.0
GUNNING1,12h,2021-04-28 00:00:00,2021-04-29 11:00:00,35.0
GUNNING1,12h,2021-05-21 20:00:00,2021-05-23 06:00:00,34.0
GUNNING1,12h,2021-05-30 06:00:00,2021-05-31 13:00:00,31.0
GUNNING1,12h,2021-06-02 09:00:00,2021-06-03 11:00:00,26.0
GUNNING1,12h,2021-06-14 04:00:00,2021-06-15 18:00:00,38.0
GUNNING1,12h,2021-06-21 00:00:00,2021-06-22 03:00:00,27.0
GUNNING1,1D,2014-03-28 07:00:00,2014-04-02 20:00:00,133.0
GUNNING1,1D,2014-04-04 12:00:00,2014-04-05 22:00:00,34.0
GUNNING1,1D,2014-04-08 06:00:00,2014-04-10 03:00:00,45.0
GUNNING1,1D,2014-04-16 09:00:00,2014-04-17 20:00:00,35.0
GUNNING1,1D,2014-05-11 21:00:00,2014-05-14 21:00:00,72.0
GUNNING1,1D,2014-06-04 18:00:00,2014-06-05 18:00:00,24.0
GUNNING1,1D,2014-06-10 22:00:00,2014-06-12 03:00:00,29.0
GUNNING1,1D,2014-07-20 10:00:00,2014-07-23 22:00:00,84.0
GUNNING1,1D,2014-08-07 20:00:00,2014-08-09 00:00:00,28.0
GUNNING1,1D,2014-08-13 06:00:00,2014-08-15 00:00:00,42.0
GUNNING1,1D,2014-08-23 23:00:00,2014-08-25 16:00:00,41.0
GUNNING1,1D,2014-09-20 14:00:00,2014-09-23 11:00:00,69.0
GUNNING1,1D,2014-11-06 07:00:00,2014-11-07 10:00:00,27.0
GUNNING1,1D,2015-03-30 01:00:00,2015-03-31 05:00:00,28.0
GUNNING1,1D,2015-04-11 01:00:00,2015-04-12 07:00:00,30.0
GUNNING1,1D,2015-04-12 17:00:00,2015-04-13 17:00:00,24.0
GUNNING1,1D,2015-04-28 02:00:00,2015-04-29 06:00:00,28.0
GUNNING1,1D,2015-05-16 21:00:00,2015-05-18 17:00:00,44.0
GUNNING1,1D,2015-05-23 09:00:00,2015-05-25 03:00:00,42.0
GUNNING1,1D,2015-06-02 20:00:00,2015-06-04 08:00:00,36.0
GUNNING1,1D,2015-06-14 02:00:00,2015-06-15 06:00:00,28.0
GUNNING1,1D,2015-06-19 15:00:00,2015-06-22 00:00:00,57.0
GUNNING1,1D,2015-06-25 00:00:00,2015-06-26 19:00:00,43.0
GUNNING1,1D,2015-07-07 20:00:00,2015-07-09 01:00:00,29.0
GUNNING1,1D,2015-07-19 00:00:00,2015-07-20 09:00:00,33.0
GUNNING1,1D,2015-08-08 09:00:00,2015-08-09 19:00:00,34.0
GUNNING1,1D,2015-08-18 20:00:00,2015-08-19 21:00:00,25.0
GUNNING1,1D,2015-09-04 17:00:00,2015-09-05 21:00:00,28.0
GUNNING1,1D,2015-09-17 06:00:00,2015-09-18 17:00:00,35.0
GUNNING1,1D,2015-09-27 02:00:00,2015-09-28 13:00:00,35.0
GUNNING1,1D,2015-11-09 05:00:00,2015-11-10 07:00:00,26.0
GUNNING1,1D,2016-02-02 04:00:00,2016-02-03 04:00:00,24.0
GUNNING1,1D,2016-03-11 08:00:00,2016-03-12 18:00:00,34.0
GUNNING1,1D,2016-04-18 21:00:00,2016-04-20 15:00:00,42.0
GUNNING1,1D,2016-06-01 11:00:00,2016-06-03 08:00:00,45.0
GUNNING1,1D,2016-06-12 11:00:00,2016-06-13 16:00:00,29.0
GUNNING1,1D,2016-07-08 11:00:00,2016-07-10 07:00:00,44.0
GUNNING1,1D,2016-07-20 05:00:00,2016-07-21 10:00:00,29.0
GUNNING1,1D,2016-08-05 09:00:00,2016-08-08 18:00:00,81.0
GUNNING1,1D,2016-08-14 19:00:00,2016-08-15 19:00:00,24.0
