Windfarm,Scale,Start,End,Duration
HALLWF1,4h,2014-06-30 22:00:00,2014-07-01 22:00:00,24.0
HALLWF1,4h,2015-08-06 14:00:00,2015-08-07 15:00:00,25.0
HALLWF1,4h,2016-04-14 03:00:00,2016-04-15 04:00:00,25.0
HALLWF1,4h,2016-06-02 23:00:00,2016-06-04 02:00:00,27.0
HALLWF1,4h,2016-07-07 00:00:00,2016-07-08 11:00:00,35.0
HALLWF1,4h,2017-04-28 18:00:00,2017-04-30 00:00:00,30.0
HALLWF1,4h,2017-05-10 03:00:00,2017-05-11 09:00:00,30.0
HALLWF1,4h,2017-06-03 03:00:00,2017-06-04 10:00:00,31.0
HALLWF1,4h,2017-06-15 00:00:00,2017-06-16 00:00:00,24.0
HALLWF1,4h,2017-06-27 04:00:00,2017-06-28 06:00:00,26.0
HALLWF1,4h,2018-06-20 08:00:00,2018-06-21 09:00:00,25.0
HALLWF1,4h,2020-06-05 01:00:00,2020-06-06 03:00:00,26.0
HALLWF1,4h,2020-06-25 14:00:00,2020-06-26 14:00:00,24.0
HALLWF1,4h,2020-08-23 14:00:00,2020-08-24 14:00:00,24.0
HALLWF1,4h,2021-07-04 13:00:00,2021-07-05 15:00:00,26.0
HALLWF1,12h,2014-03-27 09:00:00,2014-03-28 20:00:00,35.0
HALLWF1,12h,2014-06-02 17:00:00,2014-06-05 12:00:00,67.0
HALLWF1,12h,2014-07-01 02:00:00,2014-07-02 10:00:00,32.0
HALLWF1,12h,2014-08-03 09:00:00,2014-08-05 11:00:00,50.0
HALLWF1,12h,2015-04-11 05:00:00,2015-04-12 08:00:00,27.0
HALLWF1,12h,2015-05-28 23:00:00,2015-05-30 06:00:00,31.0
HALLWF1,12h,2015-06-26 13:00:00,2015-06-27 15:00:00,26.0
HALLWF1,12h,2015-06-30 01:00:00,2015-07-01 04:00:00,27.0
HALLWF1,12h,2015-07-03 15:00:00,2015-07-04 22:00:00,31.0
HALLWF1,12h,2015-07-26 22:00:00,2015-07-28 14:00:00,40.0
HALLWF1,12h,2015-08-06 14:00:00,2015-08-07 19:00:00,29.0
HALLWF1,12h,2015-08-14 14:00:00,2015-08-16 03:00:00,37.0
HALLWF1,12h,2015-09-30 08:00:00,2015-10-01 09:00:00,25.0
HALLWF1,12h,2016-04-07 09:00:00,2016-04-08 13:00:00,28.0
HALLWF1,12h,2016-04-08 21:00:00,2016-04-10 05:00:00,32.0
HALLWF1,12h,2016-04-14 08:00:00,2016-04-15 09:00:00,25.0
HALLWF1,12h,2016-06-03 01:00:00,2016-06-04 06:00:00,29.0
HALLWF1,12h,2016-07-06 12:00:00,2016-07-08 12:00:00,48.0
HALLWF1,12h,2016-08-23 03:00:00,2016-08-25 08:00:00,53.0
HALLWF1,12h,2017-01-08 16:00:00,2017-01-10 03:00:00,35.0
HALLWF1,12h,2017-04-27 19:00:00,2017-04-30 11:00:00,64.0
HALLWF1,12h,2017-05-10 10:00:00,2017-05-11 12:00:00,26.0
HALLWF1,12h,2017-06-03 09:00:00,2017-06-05 07:00:00,46.0
HALLWF1,12h,2017-06-07 04:00:00,2017-06-08 04:00:00,24.0
HALLWF1,12h,2017-06-11 16:00:00,2017-06-13 09:00:00,41.0
HALLWF1,12h,2017-06-14 14:00:00,2017-06-16 07:00:00,41.0
HALLWF1,12h,2017-06-24 00:00:00,2017-06-25 00:00:00,24.0
HALLWF1,12h,2017-06-27 04:00:00,2017-06-28 21:00:00,41.0
HALLWF1,12h,2018-05-08 01:00:00,2018-05-09 04:00:00,27.0
HALLWF1,12h,2018-05-18 19:00:00,2018-05-20 08:00:00,37.0
HALLWF1,12h,2018-06-02 01:00:00,2018-06-03 07:00:00,30.0
HALLWF1,12h,2018-06-20 11:00:00,2018-06-23 17:00:00,78.0
HALLWF1,12h,2018-09-20 17:00:00,2018-09-21 19:00:00,26.0
HALLWF1,12h,2018-10-27 02:00:00,2018-10-28 12:00:00,34.0
HALLWF1,12h,2019-06-18 18:00:00,2019-06-20 04:00:00,34.0
HALLWF1,12h,2019-08-02 12:00:00,2019-08-03 14:00:00,26.0
HALLWF1,12h,2019-08-11 23:00:00,2019-08-13 12:00:00,37.0
HALLWF1,12h,2020-04-01 10:00:00,2020-04-02 23:00:00,37.0
HALLWF1,12h,2020-05-03 01:00:00,2020-05-04 08:00:00,31.0
HALLWF1,12h,2020-05-10 01:00:00,2020-05-11 15:00:00,38.0
HALLWF1,12h,2020-06-05 06:00:00,2020-06-06 07:00:00,25.0
HALLWF1,12h,2020-06-10 00:00:00,2020-06-11 15:00:00,39.0
HALLWF1,12h,2020-06-25 16:00:00,2020-06-26 19:00:00,27.0
HALLWF1,12h,2020-07-13 08:00:00,2020-07-14 15:00:00,31.0
HALLWF1,12h,2020-07-16 07:00:00,2020-07-17 10:00:00,27.0
HALLWF1,12h,2020-08-23 17:00:00,2020-08-24 18:00:00,25.0
HALLWF1,12h,2021-04-17 23:00:00,2021-04-19 04:00:00,29.0
HALLWF1,12h,2021-05-16 19:00:00,2021-05-17 19:00:00,24.0
HALLWF1,12h,2021-06-11 03:00:00,2021-06-12 16:00:00,37.0
HALLWF1,12h,2021-07-04 18:00:00,2021-07-05 18:00:00,24.0
HALLWF1,12h,2021-09-05 23:00:00,2021-09-07 15:00:00,40.0
HALLWF1,1D,2014-03-27 19:00:00,2014-03-29 03:00:00,32.0
HALLWF1,1D,2014-04-12 18:00:00,2014-04-13 19:00:00,25.0
HALLWF1,1D,2014-04-16 09:00:00,2014-04-17 13:00:00,28.0
HALLWF1,1D,2014-04-19 08:00:00,2014-04-20 14:00:00,30.0
HALLWF1,1D,2014-05-04 07:00:00,2014-05-06 12:00:00,53.0
HALLWF1,1D,2014-05-10 16:00:00,2014-05-11 19:00:00,27.0
HALLWF1,1D,2014-06-02 14:00:00,2014-06-05 17:00:00,75.0
HALLWF1,1D,2014-07-01 09:00:00,2014-07-02 13:00:00,28.0
HALLWF1,1D,2014-08-03 12:00:00,2014-08-08 15:00:00,123.0
HALLWF1,1D,2014-08-24 07:00:00,2014-08-26 12:00:00,53.0
HALLWF1,1D,2014-11-17 09:00:00,2014-11-18 22:00:00,37.0
HALLWF1,1D,2015-03-28 19:00:00,2015-03-30 14:00:00,43.0
HALLWF1,1D,2015-04-27 06:00:00,2015-04-28 15:00:00,33.0
HALLWF1,1D,2015-05-29 06:00:00,2015-05-30 18:00:00,36.0
HALLWF1,1D,2015-06-26 10:00:00,2015-06-27 22:00:00,36.0
HALLWF1,1D,2015-06-30 01:00:00,2015-07-02 01:00:00,48.0
HALLWF1,1D,2015-07-02 20:00:00,2015-07-05 03:00:00,55.0
HALLWF1,1D,2015-07-18 04:00:00,2015-07-19 21:00:00,41.0
HALLWF1,1D,2015-07-27 08:00:00,2015-07-28 15:00:00,31.0
HALLWF1,1D,2015-08-06 16:00:00,2015-08-08 03:00:00,35.0
HALLWF1,1D,2015-08-14 13:00:00,2015-08-16 05:00:00,40.0
HALLWF1,1D,2015-08-26 01:00:00,2015-08-27 05:00:00,28.0
HALLWF1,1D,2015-08-28 08:00:00,2015-08-31 13:00:00,77.0
HALLWF1,1D,2015-09-04 07:00:00,2015-09-05 16:00:00,33.0
HALLWF1,1D,2015-09-09 10:00:00,2015-09-10 12:00:00,26.0
HALLWF1,1D,2015-09-30 09:00:00,2015-10-01 18:00:00,33.0
HALLWF1,1D,2015-11-06 21:00:00,2015-11-08 14:00:00,41.0
HALLWF1,1D,2016-03-30 09:00:00,2016-03-31 15:00:00,30.0
HALLWF1,1D,2016-04-07 13:00:00,2016-04-10 15:00:00,74.0
HALLWF1,1D,2016-04-14 15:00:00,2016-04-15 17:00:00,26.0
HALLWF1,1D,2016-06-02 18:00:00,2016-06-04 16:00:00,46.0
HALLWF1,1D,2016-06-25 06:00:00,2016-06-26 16:00:00,34.0
HALLWF1,1D,2016-07-01 23:00:00,2016-07-03 16:00:00,41.0
HALLWF1,1D,2016-07-06 18:00:00,2016-07-08 15:00:00,45.0
HALLWF1,1D,2016-07-14 05:00:00,2016-07-16 09:00:00,52.0
HALLWF1,1D,2016-07-28 12:00:00,2016-07-29 13:00:00,25.0
HALLWF1,1D,2016-08-21 19:00:00,2016-08-26 17:00:00,118.0
HALLWF1,1D,2016-09-04 13:00:00,2016-09-05 13:00:00,24.0
HALLWF1,1D,2016-09-10 17:00:00,2016-09-12 03:00:00,34.0
HALLWF1,1D,2017-01-08 11:00:00,2017-01-10 06:00:00,43.0
HALLWF1,1D,2017-02-02 09:00:00,2017-02-03 15:00:00,30.0
HALLWF1,1D,2017-02-05 07:00:00,2017-02-06 10:00:00,27.0
HALLWF1,1D,2017-04-21 05:00:00,2017-04-22 11:00:00,30.0
HALLWF1,1D,2017-04-28 02:00:00,2017-04-30 16:00:00,62.0
HALLWF1,1D,2017-05-03 00:00:00,2017-05-04 12:00:00,36.0
HALLWF1,1D,2017-05-10 20:00:00,2017-05-12 00:00:00,28.0
HALLWF1,1D,2017-06-03 18:00:00,2017-06-06 11:00:00,65.0
HALLWF1,1D,2017-06-07 10:00:00,2017-06-08 13:00:00,27.0
HALLWF1,1D,2017-06-11 11:00:00,2017-06-13 13:00:00,50.0
HALLWF1,1D,2017-06-14 23:00:00,2017-06-19 14:00:00,111.0
HALLWF1,1D,2017-06-26 07:00:00,2017-06-29 01:00:00,66.0
HALLWF1,1D,2017-07-10 05:00:00,2017-07-11 13:00:00,32.0
HALLWF1,1D,2017-08-25 01:00:00,2017-08-26 02:00:00,25.0
HALLWF1,1D,2017-08-28 06:00:00,2017-08-30 07:00:00,49.0
HALLWF1,1D,2018-05-05 06:00:00,2018-05-06 07:00:00,25.0
HALLWF1,1D,2018-05-18 15:00:00,2018-05-20 18:00:00,51.0
HALLWF1,1D,2018-06-02 01:00:00,2018-06-05 09:00:00,80.0
HALLWF1,1D,2018-06-20 19:00:00,2018-06-24 10:00:00,87.0
HALLWF1,1D,2018-06-26 15:00:00,2018-06-28 09:00:00,42.0
HALLWF1,1D,2018-07-09 07:00:00,2018-07-11 00:00:00,41.0
HALLWF1,1D,2018-07-12 16:00:00,2018-07-13 16:00:00,24.0
HALLWF1,1D,2018-09-20 17:00:00,2018-09-22 00:00:00,31.0
HALLWF1,1D,2018-10-27 08:00:00,2018-10-30 04:00:00,68.0
HALLWF1,1D,2019-04-27 12:00:00,2019-04-28 20:00:00,32.0
HALLWF1,1D,2019-05-04 17:00:00,2019-05-06 06:00:00,37.0
HALLWF1,1D,2019-06-18 21:00:00,2019-06-21 11:00:00,62.0
HALLWF1,1D,2019-07-08 06:00:00,2019-07-09 11:00:00,29.0
HALLWF1,1D,2019-08-02 07:00:00,2019-08-03 19:00:00,36.0
HALLWF1,1D,2019-08-12 08:00:00,2019-08-13 15:00:00,31.0
HALLWF1,1D,2019-08-25 19:00:00,2019-08-27 23:00:00,52.0
HALLWF1,1D,2020-04-01 21:00:00,2020-04-03 01:00:00,28.0
HALLWF1,1D,2020-04-06 12:00:00,2020-04-07 14:00:00,26.0
HALLWF1,1D,2020-04-17 22:00:00,2020-04-19 05:00:00,31.0
HALLWF1,1D,2020-05-03 11:00:00,2020-05-04 11:00:00,24.0
HALLWF1,1D,2020-05-10 09:00:00,2020-05-11 18:00:00,33.0
HALLWF1,1D,2020-05-28 13:00:00,2020-05-29 13:00:00,24.0
HALLWF1,1D,2020-06-05 12:00:00,2020-06-06 20:00:00,32.0
HALLWF1,1D,2020-06-09 21:00:00,2020-06-11 17:00:00,44.0
HALLWF1,1D,2020-06-25 20:00:00,2020-06-27 00:00:00,28.0
HALLWF1,1D,2020-07-13 10:00:00,2020-07-17 11:00:00,97.0
HALLWF1,1D,2020-07-20 15:00:00,2020-07-21 15:00:00,24.0
HALLWF1,1D,2020-07-25 01:00:00,2020-07-26 17:00:00,40.0
HALLWF1,1D,2020-08-23 21:00:00,2020-08-25 19:00:00,46.0
HALLWF1,1D,2021-04-16 04:00:00,2021-04-17 07:00:00,27.0
HALLWF1,1D,2021-04-18 09:00:00,2021-04-19 11:00:00,26.0
HALLWF1,1D,2021-04-23 09:00:00,2021-04-25 16:00:00,55.0
HALLWF1,1D,2021-04-27 11:00:00,2021-04-29 11:00:00,48.0
HALLWF1,1D,2021-05-16 04:00:00,2021-05-18 16:00:00,60.0
HALLWF1,1D,2021-06-11 08:00:00,2021-06-13 10:00:00,50.0
HALLWF1,1D,2021-07-05 02:00:00,2021-07-06 13:00:00,35.0
HALLWF1,1D,2021-08-12 23:00:00,2021-08-15 03:00:00,52.0
HALLWF1,1D,2021-08-25 07:00:00,2021-08-26 15:00:00,32.0
HALLWF1,1D,2021-09-06 07:00:00,2021-09-07 22:00:00,39.0
HALLWF1,2D,2014-03-28 15:00:00,2014-03-29 20:00:00,29.0
HALLWF1,2D,2014-04-13 06:00:00,2014-04-17 18:00:00,108.0
HALLWF1,2D,2014-05-05 05:00:00,2014-05-06 15:00:00,34.0
HALLWF1,2D,2014-05-11 09:00:00,2014-05-12 14:00:00,29.0
HALLWF1,2D,2014-06-02 18:00:00,2014-06-06 22:00:00,100.0
HALLWF1,2D,2014-07-01 11:00:00,2014-07-02 17:00:00,30.0
HALLWF1,2D,2014-08-03 06:00:00,2014-08-08 22:00:00,136.0
HALLWF1,2D,2014-08-19 08:00:00,2014-08-20 12:00:00,28.0
HALLWF1,2D,2014-08-25 03:00:00,2014-08-30 15:00:00,132.0
HALLWF1,2D,2014-11-18 06:00:00,2014-11-19 13:00:00,31.0
HALLWF1,2D,2015-03-10 05:00:00,2015-03-11 10:00:00,29.0
HALLWF1,2D,2015-03-28 08:00:00,2015-03-30 18:00:00,58.0
HALLWF1,2D,2015-04-11 11:00:00,2015-04-12 16:00:00,29.0
HALLWF1,2D,2015-04-27 12:00:00,2015-04-30 14:00:00,74.0
HALLWF1,2D,2015-05-25 20:00:00,2015-05-26 21:00:00,25.0
HALLWF1,2D,2015-05-29 19:00:00,2015-05-31 00:00:00,29.0
HALLWF1,2D,2015-06-16 20:00:00,2015-06-19 14:00:00,66.0
HALLWF1,2D,2015-06-26 07:00:00,2015-06-28 16:00:00,57.0
HALLWF1,2D,2015-06-30 20:00:00,2015-07-05 12:00:00,112.0
HALLWF1,2D,2015-07-18 05:00:00,2015-07-20 09:00:00,52.0
HALLWF1,2D,2015-08-07 10:00:00,2015-08-08 15:00:00,29.0
HALLWF1,2D,2015-08-15 02:00:00,2015-08-18 21:00:00,91.0
HALLWF1,2D,2015-08-26 10:00:00,2015-08-31 17:00:00,127.0
HALLWF1,2D,2015-09-18 08:00:00,2015-09-19 18:00:00,34.0
HALLWF1,2D,2015-09-30 04:00:00,2015-10-02 10:00:00,54.0
HALLWF1,2D,2015-11-07 12:00:00,2015-11-08 18:00:00,30.0
HALLWF1,2D,2016-03-26 06:00:00,2016-03-27 15:00:00,33.0
HALLWF1,2D,2016-03-30 15:00:00,2016-03-31 18:00:00,27.0
HALLWF1,2D,2016-04-07 21:00:00,2016-04-12 17:00:00,116.0
HALLWF1,2D,2016-04-14 17:00:00,2016-04-16 17:00:00,48.0
HALLWF1,2D,2016-06-02 16:00:00,2016-06-04 20:00:00,52.0
