Windfarm,Scale,Start,End,Duration
HDWF2,1h,2016-07-07 09:00:00,2016-07-08 11:00:00,26.0
HDWF2,1h,2017-06-03 01:00:00,2017-06-04 02:00:00,25.0
HDWF2,1h,2020-06-09 23:00:00,2020-06-10 23:00:00,24.0
HDWF2,4h,2016-07-07 01:00:00,2016-07-08 12:00:00,35.0
HDWF2,4h,2017-05-10 04:00:00,2017-05-11 09:00:00,29.0
HDWF2,4h,2017-06-03 03:00:00,2017-06-04 07:00:00,28.0
HDWF2,4h,2017-06-15 00:00:00,2017-06-16 00:00:00,24.0
HDWF2,4h,2017-06-27 05:00:00,2017-06-28 06:00:00,25.0
HDWF2,4h,2019-06-18 11:00:00,2019-06-19 18:00:00,31.0
HDWF2,4h,2020-06-10 00:00:00,2020-06-11 02:00:00,26.0
HDWF2,12h,2014-05-05 01:00:00,2014-05-06 10:00:00,33.0
HDWF2,12h,2014-05-10 07:00:00,2014-05-11 11:00:00,28.0
HDWF2,12h,2014-06-02 21:00:00,2014-06-05 10:00:00,61.0
HDWF2,12h,2014-06-30 17:00:00,2014-07-02 08:00:00,39.0
HDWF2,12h,2014-08-03 23:00:00,2014-08-05 11:00:00,36.0
HDWF2,12h,2015-05-28 19:00:00,2015-05-30 21:00:00,50.0
HDWF2,12h,2015-06-15 11:00:00,2015-06-16 12:00:00,25.0
HDWF2,12h,2015-06-26 13:00:00,2015-06-27 13:00:00,24.0
HDWF2,12h,2015-07-02 17:00:00,2015-07-04 22:00:00,53.0
HDWF2,12h,2015-07-26 22:00:00,2015-07-28 13:00:00,39.0
HDWF2,12h,2015-08-14 00:00:00,2015-08-16 04:00:00,52.0
HDWF2,12h,2016-04-07 09:00:00,2016-04-08 09:00:00,24.0
HDWF2,12h,2016-04-14 08:00:00,2016-04-15 10:00:00,26.0
HDWF2,12h,2016-05-17 06:00:00,2016-05-18 06:00:00,24.0
HDWF2,12h,2016-06-03 04:00:00,2016-06-04 15:00:00,35.0
HDWF2,12h,2016-07-01 10:00:00,2016-07-02 20:00:00,34.0
HDWF2,12h,2016-07-06 14:00:00,2016-07-08 15:00:00,49.0
HDWF2,12h,2016-07-13 17:00:00,2016-07-15 21:00:00,52.0
HDWF2,12h,2016-07-27 20:00:00,2016-07-29 05:00:00,33.0
HDWF2,12h,2016-09-10 20:00:00,2016-09-11 22:00:00,26.0
HDWF2,12h,2017-01-08 07:00:00,2017-01-10 04:00:00,45.0
HDWF2,12h,2017-04-27 19:00:00,2017-04-30 03:00:00,56.0
HDWF2,12h,2017-05-10 10:00:00,2017-05-11 16:00:00,30.0
HDWF2,12h,2017-06-03 09:00:00,2017-06-05 10:00:00,49.0
HDWF2,12h,2017-06-14 13:00:00,2017-06-17 06:00:00,65.0
HDWF2,12h,2017-06-23 21:00:00,2017-06-25 02:00:00,29.0
HDWF2,12h,2017-06-25 20:00:00,2017-06-26 23:00:00,27.0
HDWF2,12h,2017-06-27 04:00:00,2017-06-28 17:00:00,37.0
HDWF2,12h,2017-11-23 04:00:00,2017-11-24 06:00:00,26.0
HDWF2,12h,2018-05-08 01:00:00,2018-05-09 05:00:00,28.0
HDWF2,12h,2018-05-18 20:00:00,2018-05-20 08:00:00,36.0
HDWF2,12h,2018-06-02 00:00:00,2018-06-03 06:00:00,30.0
HDWF2,12h,2018-06-20 14:00:00,2018-06-23 16:00:00,74.0
HDWF2,12h,2018-06-30 09:00:00,2018-07-01 11:00:00,26.0
HDWF2,12h,2018-09-20 16:00:00,2018-09-21 18:00:00,26.0
HDWF2,12h,2019-06-18 15:00:00,2019-06-20 00:00:00,33.0
HDWF2,12h,2019-08-02 03:00:00,2019-08-03 12:00:00,33.0
HDWF2,12h,2020-05-09 23:00:00,2020-05-11 16:00:00,41.0
HDWF2,12h,2020-06-05 06:00:00,2020-06-06 06:00:00,24.0
HDWF2,12h,2020-06-09 10:00:00,2020-06-11 14:00:00,52.0
HDWF2,12h,2020-06-25 09:00:00,2020-06-26 16:00:00,31.0
HDWF2,12h,2020-07-16 00:00:00,2020-07-17 02:00:00,26.0
HDWF2,12h,2020-07-28 02:00:00,2020-07-29 03:00:00,25.0
HDWF2,12h,2021-04-18 00:00:00,2021-04-19 07:00:00,31.0
HDWF2,12h,2021-05-16 14:00:00,2021-05-17 17:00:00,27.0
HDWF2,12h,2021-06-11 02:00:00,2021-06-12 10:00:00,32.0
HDWF2,12h,2021-07-04 17:00:00,2021-07-05 17:00:00,24.0
HDWF2,12h,2021-08-12 15:00:00,2021-08-13 18:00:00,27.0
HDWF2,1D,2014-03-27 20:00:00,2014-03-29 03:00:00,31.0
HDWF2,1D,2014-04-12 14:00:00,2014-04-13 16:00:00,26.0
HDWF2,1D,2014-04-16 11:00:00,2014-04-17 14:00:00,27.0
HDWF2,1D,2014-04-23 07:00:00,2014-04-24 11:00:00,28.0
