Windfarm,Scale,Start,End,Duration
LGAPWF1,4h,2014-05-09 23:00:00,2014-05-11 07:00:00,32.0
LGAPWF1,4h,2014-05-22 12:00:00,2014-05-23 19:00:00,31.0
LGAPWF1,4h,2014-06-02 18:00:00,2014-06-04 13:00:00,43.0
LGAPWF1,4h,2014-06-30 18:00:00,2014-07-02 02:00:00,32.0
LGAPWF1,4h,2016-07-01 00:00:00,2016-07-02 09:00:00,33.0
LGAPWF1,4h,2016-07-07 15:00:00,2016-07-08 17:00:00,26.0
LGAPWF1,4h,2016-07-13 14:00:00,2016-07-16 04:00:00,62.0
LGAPWF1,4h,2017-05-17 18:00:00,2017-05-18 22:00:00,28.0
LGAPWF1,4h,2017-06-02 18:00:00,2017-06-03 18:00:00,24.0
LGAPWF1,4h,2017-06-14 18:00:00,2017-06-15 21:00:00,27.0
LGAPWF1,4h,2017-06-18 19:00:00,2017-06-20 19:00:00,48.0
LGAPWF1,4h,2017-06-25 14:00:00,2017-06-26 23:00:00,33.0
LGAPWF1,4h,2018-06-08 18:00:00,2018-06-10 06:00:00,36.0
LGAPWF1,4h,2018-06-20 10:00:00,2018-06-21 10:00:00,24.0
LGAPWF1,4h,2020-06-04 16:00:00,2020-06-05 18:00:00,26.0
LGAPWF1,4h,2020-06-08 22:00:00,2020-06-10 10:00:00,36.0
LGAPWF1,4h,2020-07-28 01:00:00,2020-07-29 05:00:00,28.0
LGAPWF1,12h,2014-04-16 00:00:00,2014-04-17 10:00:00,34.0
LGAPWF1,12h,2014-05-05 06:00:00,2014-05-06 10:00:00,28.0
LGAPWF1,12h,2014-05-10 03:00:00,2014-05-11 09:00:00,30.0
LGAPWF1,12h,2014-05-20 01:00:00,2014-05-21 02:00:00,25.0
LGAPWF1,12h,2014-05-22 18:00:00,2014-05-24 00:00:00,30.0
LGAPWF1,12h,2014-06-02 22:00:00,2014-06-04 19:00:00,45.0
LGAPWF1,12h,2014-06-30 06:00:00,2014-07-02 10:00:00,52.0
LGAPWF1,12h,2014-07-19 23:00:00,2014-07-22 13:00:00,62.0
LGAPWF1,12h,2014-08-02 01:00:00,2014-08-04 07:00:00,54.0
