Windfarm,Scale,Start,End,Duration
LKBONNY1,4h,2014-06-04 13:00:00,2014-06-06 04:00:00,39.0
LKBONNY1,4h,2014-07-19 04:00:00,2014-07-20 04:00:00,24.0
LKBONNY1,4h,2014-08-28 08:00:00,2014-08-29 09:00:00,25.0
LKBONNY1,4h,2015-06-01 14:00:00,2015-06-02 20:00:00,30.0
LKBONNY1,4h,2015-06-19 14:00:00,2015-06-20 15:00:00,25.0
LKBONNY1,4h,2015-09-04 11:00:00,2015-09-05 11:00:00,24.0
LKBONNY1,4h,2016-06-03 15:00:00,2016-06-04 16:00:00,25.0
LKBONNY1,4h,2016-07-18 20:00:00,2016-07-20 09:00:00,37.0
LKBONNY1,4h,2017-05-02 13:00:00,2017-05-03 18:00:00,29.0
LKBONNY1,4h,2017-06-01 01:00:00,2017-06-02 21:00:00,44.0
LKBONNY1,4h,2017-07-31 04:00:00,2017-08-01 04:00:00,24.0
LKBONNY1,4h,2018-04-29 16:00:00,2018-04-30 16:00:00,24.0
LKBONNY1,4h,2018-06-01 21:00:00,2018-06-03 09:00:00,36.0
LKBONNY1,4h,2018-06-08 14:00:00,2018-06-09 16:00:00,26.0
LKBONNY1,4h,2018-08-24 02:00:00,2018-08-25 05:00:00,27.0
LKBONNY1,4h,2019-05-14 09:00:00,2019-05-16 07:00:00,46.0
LKBONNY1,4h,2019-06-19 04:00:00,2019-06-23 08:00:00,100.0
LKBONNY1,4h,2020-06-05 03:00:00,2020-06-06 04:00:00,25.0
LKBONNY1,4h,2020-06-06 18:00:00,2020-06-08 20:00:00,50.0
LKBONNY1,4h,2020-07-06 16:00:00,2020-07-07 16:00:00,24.0
LKBONNY1,4h,2021-06-11 11:00:00,2021-06-12 15:00:00,28.0
LKBONNY1,4h,2021-07-09 03:00:00,2021-07-10 10:00:00,31.0
LKBONNY1,12h,2014-03-27 17:00:00,2014-03-29 13:00:00,44.0
LKBONNY1,12h,2014-06-02 01:00:00,2014-06-03 03:00:00,26.0
LKBONNY1,12h,2014-06-04 16:00:00,2014-06-06 07:00:00,39.0
LKBONNY1,12h,2014-07-18 18:00:00,2014-07-20 13:00:00,43.0
LKBONNY1,12h,2014-08-26 06:00:00,2014-08-27 19:00:00,37.0
LKBONNY1,12h,2014-08-28 07:00:00,2014-08-29 13:00:00,30.0
LKBONNY1,12h,2014-09-12 12:00:00,2014-09-13 13:00:00,25.0
LKBONNY1,12h,2015-03-27 17:00:00,2015-03-29 03:00:00,34.0
LKBONNY1,12h,2015-04-16 16:00:00,2015-04-17 16:00:00,24.0
LKBONNY1,12h,2015-05-15 20:00:00,2015-05-16 23:00:00,27.0
LKBONNY1,12h,2015-06-01 14:00:00,2015-06-03 05:00:00,39.0
LKBONNY1,12h,2015-06-19 17:00:00,2015-06-20 21:00:00,28.0
LKBONNY1,12h,2015-06-28 00:00:00,2015-06-29 19:00:00,43.0
LKBONNY1,12h,2015-09-18 00:00:00,2015-09-19 02:00:00,26.0
LKBONNY1,12h,2015-10-09 15:00:00,2015-10-11 04:00:00,37.0
LKBONNY1,12h,2016-04-14 05:00:00,2016-04-15 05:00:00,24.0
LKBONNY1,12h,2016-06-03 10:00:00,2016-06-04 21:00:00,35.0
LKBONNY1,12h,2016-07-07 01:00:00,2016-07-08 05:00:00,28.0
LKBONNY1,12h,2016-07-19 00:00:00,2016-07-20 12:00:00,36.0
LKBONNY1,12h,2017-05-02 17:00:00,2017-05-04 19:00:00,50.0
LKBONNY1,12h,2017-05-31 00:00:00,2017-06-03 18:00:00,90.0
LKBONNY1,12h,2017-06-12 16:00:00,2017-06-13 16:00:00,24.0
LKBONNY1,12h,2017-06-15 15:00:00,2017-06-17 10:00:00,43.0
LKBONNY1,12h,2017-07-31 09:00:00,2017-08-01 11:00:00,26.0
LKBONNY1,12h,2018-05-13 18:00:00,2018-05-14 19:00:00,25.0
LKBONNY1,12h,2018-06-02 00:00:00,2018-06-03 22:00:00,46.0
LKBONNY1,12h,2018-06-08 16:00:00,2018-06-09 19:00:00,27.0
LKBONNY1,12h,2018-06-23 23:00:00,2018-06-27 21:00:00,94.0
LKBONNY1,12h,2018-07-12 01:00:00,2018-07-13 01:00:00,24.0
LKBONNY1,12h,2018-07-27 06:00:00,2018-07-28 13:00:00,31.0
LKBONNY1,12h,2018-08-24 07:00:00,2018-08-25 18:00:00,35.0
LKBONNY1,12h,2018-12-15 03:00:00,2018-12-16 07:00:00,28.0
LKBONNY1,12h,2019-03-07 15:00:00,2019-03-09 07:00:00,40.0
LKBONNY1,12h,2019-03-26 17:00:00,2019-03-28 03:00:00,34.0
LKBONNY1,12h,2019-04-09 21:00:00,2019-04-11 10:00:00,37.0
LKBONNY1,12h,2019-05-04 17:00:00,2019-05-06 14:00:00,45.0
LKBONNY1,12h,2019-05-14 14:00:00,2019-05-16 13:00:00,47.0
LKBONNY1,12h,2019-06-19 00:00:00,2019-06-23 12:00:00,108.0
