Windfarm,Scale,Start,End,Duration
MERCER01,4h,2014-07-21 14:00:00,2014-07-22 22:00:00,32.0
MERCER01,4h,2014-08-27 02:00:00,2014-08-29 03:00:00,49.0
MERCER01,4h,2015-06-02 05:00:00,2015-06-03 11:00:00,30.0
MERCER01,4h,2015-06-28 17:00:00,2015-06-30 07:00:00,38.0
MERCER01,4h,2015-07-18 12:00:00,2015-07-19 12:00:00,24.0
MERCER01,4h,2015-08-14 15:00:00,2015-08-15 15:00:00,24.0
MERCER01,4h,2015-08-18 02:00:00,2015-08-19 05:00:00,27.0
MERCER01,4h,2016-08-22 08:00:00,2016-08-23 08:00:00,24.0
MERCER01,4h,2017-05-02 23:00:00,2017-05-04 06:00:00,31.0
MERCER01,4h,2017-05-10 09:00:00,2017-05-11 19:00:00,34.0
MERCER01,4h,2017-06-01 15:00:00,2017-06-03 17:00:00,50.0
MERCER01,4h,2017-06-09 11:00:00,2017-06-10 16:00:00,29.0
MERCER01,4h,2017-07-31 02:00:00,2017-08-01 06:00:00,28.0
MERCER01,4h,2018-04-29 14:00:00,2018-04-30 17:00:00,27.0
MERCER01,4h,2018-06-03 11:00:00,2018-06-04 12:00:00,25.0
MERCER01,4h,2019-05-15 07:00:00,2019-05-16 16:00:00,33.0
MERCER01,4h,2019-05-17 04:00:00,2019-05-18 11:00:00,31.0
MERCER01,4h,2019-06-21 22:00:00,2019-06-23 08:00:00,34.0
MERCER01,4h,2019-07-30 17:00:00,2019-07-31 19:00:00,26.0
MERCER01,4h,2020-05-13 14:00:00,2020-05-15 07:00:00,41.0
MERCER01,4h,2020-06-05 08:00:00,2020-06-06 09:00:00,25.0
MERCER01,4h,2020-06-07 12:00:00,2020-06-08 16:00:00,28.0
MERCER01,4h,2020-06-26 08:00:00,2020-06-28 21:00:00,61.0
MERCER01,4h,2021-03-30 18:00:00,2021-03-31 19:00:00,25.0
MERCER01,4h,2021-04-28 10:00:00,2021-04-29 18:00:00,32.0
MERCER01,12h,2014-04-15 18:00:00,2014-04-17 09:00:00,39.0
MERCER01,12h,2014-06-04 17:00:00,2014-06-06 10:00:00,41.0
MERCER01,12h,2014-07-19 12:00:00,2014-07-23 04:00:00,88.0
MERCER01,12h,2014-08-14 21:00:00,2014-08-16 03:00:00,30.0
MERCER01,12h,2014-08-26 21:00:00,2014-08-29 09:00:00,60.0
MERCER01,12h,2014-09-12 08:00:00,2014-09-14 07:00:00,47.0
MERCER01,12h,2015-02-10 00:00:00,2015-02-11 02:00:00,26.0
MERCER01,12h,2015-03-02 10:00:00,2015-03-03 10:00:00,24.0
MERCER01,12h,2015-06-02 09:00:00,2015-06-03 15:00:00,30.0
MERCER01,12h,2015-06-28 18:00:00,2015-06-30 15:00:00,45.0
MERCER01,12h,2015-07-18 09:00:00,2015-07-19 15:00:00,30.0
MERCER01,12h,2015-08-18 04:00:00,2015-08-19 09:00:00,29.0
MERCER01,12h,2015-08-30 20:00:00,2015-09-01 09:00:00,37.0
MERCER01,12h,2015-09-26 04:00:00,2015-09-27 09:00:00,29.0
MERCER01,12h,2016-08-05 10:00:00,2016-08-06 12:00:00,26.0
MERCER01,12h,2016-08-22 12:00:00,2016-08-24 13:00:00,49.0
MERCER01,12h,2016-11-26 23:00:00,2016-11-28 09:00:00,34.0
MERCER01,12h,2017-04-13 22:00:00,2017-04-15 16:00:00,42.0
MERCER01,12h,2017-04-16 10:00:00,2017-04-17 19:00:00,33.0
MERCER01,12h,2017-04-22 18:00:00,2017-04-24 10:00:00,40.0
MERCER01,12h,2017-05-02 20:00:00,2017-05-04 10:00:00,38.0
MERCER01,12h,2017-05-09 01:00:00,2017-05-11 21:00:00,68.0
MERCER01,12h,2017-05-31 21:00:00,2017-06-03 23:00:00,74.0
MERCER01,12h,2017-06-09 14:00:00,2017-06-10 18:00:00,28.0
MERCER01,12h,2017-06-16 03:00:00,2017-06-17 10:00:00,31.0
MERCER01,12h,2017-07-31 01:00:00,2017-08-01 09:00:00,32.0
MERCER01,12h,2017-10-23 00:00:00,2017-10-24 09:00:00,33.0
MERCER01,12h,2018-04-03 05:00:00,2018-04-04 06:00:00,25.0
MERCER01,12h,2018-04-21 07:00:00,2018-04-22 10:00:00,27.0
MERCER01,12h,2018-04-29 00:00:00,2018-04-30 19:00:00,43.0
MERCER01,12h,2018-06-03 09:00:00,2018-06-05 07:00:00,46.0
MERCER01,12h,2018-06-25 08:00:00,2018-06-26 11:00:00,27.0
MERCER01,12h,2018-07-12 04:00:00,2018-07-13 20:00:00,40.0
MERCER01,12h,2018-08-24 18:00:00,2018-08-25 23:00:00,29.0
MERCER01,12h,2018-08-27 21:00:00,2018-08-29 05:00:00,32.0
MERCER01,12h,2019-04-10 03:00:00,2019-04-11 09:00:00,30.0
MERCER01,12h,2019-05-14 18:00:00,2019-05-16 18:00:00,48.0
MERCER01,12h,2019-05-17 10:00:00,2019-05-18 14:00:00,28.0
MERCER01,12h,2019-06-21 21:00:00,2019-06-23 12:00:00,39.0
MERCER01,12h,2019-07-30 19:00:00,2019-08-01 00:00:00,29.0
MERCER01,12h,2019-10-20 23:00:00,2019-10-23 04:00:00,53.0
MERCER01,12h,2020-05-13 18:00:00,2020-05-15 10:00:00,40.0
MERCER01,12h,2020-06-05 11:00:00,2020-06-07 05:00:00,42.0
MERCER01,12h,2020-06-07 14:00:00,2020-06-08 21:00:00,31.0
MERCER01,12h,2020-06-26 09:00:00,2020-06-29 08:00:00,71.0
MERCER01,12h,2020-07-15 18:00:00,2020-07-16 18:00:00,24.0
MERCER01,12h,2021-02-23 23:00:00,2021-02-24 23:00:00,24.0
MERCER01,12h,2021-03-29 15:00:00,2021-04-01 00:00:00,57.0
MERCER01,12h,2021-04-26 18:00:00,2021-04-29 21:00:00,75.0
MERCER01,12h,2021-06-13 07:00:00,2021-06-14 11:00:00,28.0
MERCER01,12h,2021-07-09 00:00:00,2021-07-10 09:00:00,33.0
MERCER01,12h,2021-09-13 20:00:00,2021-09-15 06:00:00,34.0
MERCER01,12h,2021-11-07 22:00:00,2021-11-09 16:00:00,42.0
MERCER01,1D,2014-03-27 18:00:00,2014-03-30 07:00:00,61.0
MERCER01,1D,2014-04-09 13:00:00,2014-04-10 17:00:00,28.0
MERCER01,1D,2014-04-15 15:00:00,2014-04-17 18:00:00,51.0
MERCER01,1D,2014-05-29 05:00:00,2014-05-31 01:00:00,44.0
MERCER01,1D,2014-06-05 01:00:00,2014-06-06 17:00:00,40.0
MERCER01,1D,2014-06-17 20:00:00,2014-06-18 21:00:00,25.0
MERCER01,1D,2014-07-19 16:00:00,2014-07-23 11:00:00,91.0
MERCER01,1D,2014-08-13 11:00:00,2014-08-16 13:00:00,74.0
MERCER01,1D,2014-08-20 10:00:00,2014-08-21 17:00:00,31.0
MERCER01,1D,2014-08-26 15:00:00,2014-08-29 16:00:00,73.0
MERCER01,1D,2014-09-03 12:00:00,2014-09-06 19:00:00,79.0
MERCER01,1D,2014-09-12 11:00:00,2014-09-14 11:00:00,48.0
MERCER01,1D,2014-09-19 23:00:00,2014-09-21 13:00:00,38.0
MERCER01,1D,2015-03-02 08:00:00,2015-03-03 21:00:00,37.0
MERCER01,1D,2015-04-16 16:00:00,2015-04-17 20:00:00,28.0
MERCER01,1D,2015-04-28 15:00:00,2015-04-30 09:00:00,42.0
MERCER01,1D,2015-05-23 05:00:00,2015-05-24 05:00:00,24.0
MERCER01,1D,2015-06-02 10:00:00,2015-06-03 20:00:00,34.0
MERCER01,1D,2015-06-20 06:00:00,2015-06-21 09:00:00,27.0
MERCER01,1D,2015-06-28 23:00:00,2015-06-30 21:00:00,46.0
MERCER01,1D,2015-07-18 15:00:00,2015-07-19 23:00:00,32.0
MERCER01,1D,2015-08-18 10:00:00,2015-08-19 14:00:00,28.0
MERCER01,1D,2015-08-30 20:00:00,2015-09-01 11:00:00,39.0
MERCER01,1D,2015-09-26 11:00:00,2015-09-27 17:00:00,30.0
MERCER01,1D,2016-02-18 11:00:00,2016-02-19 20:00:00,33.0
MERCER01,1D,2016-02-27 06:00:00,2016-02-28 09:00:00,27.0
MERCER01,1D,2016-03-10 20:00:00,2016-03-12 21:00:00,49.0
MERCER01,1D,2016-04-07 16:00:00,2016-04-08 17:00:00,25.0
MERCER01,1D,2016-06-02 07:00:00,2016-06-03 16:00:00,33.0
MERCER01,1D,2016-07-08 10:00:00,2016-07-09 15:00:00,29.0
MERCER01,1D,2016-08-05 03:00:00,2016-08-06 15:00:00,36.0
MERCER01,1D,2016-08-22 20:00:00,2016-08-24 17:00:00,45.0
MERCER01,1D,2016-11-08 15:00:00,2016-11-10 13:00:00,46.0
MERCER01,1D,2016-11-18 12:00:00,2016-11-19 13:00:00,25.0
MERCER01,1D,2016-11-27 08:00:00,2016-11-28 17:00:00,33.0
MERCER01,1D,2016-11-30 23:00:00,2016-12-02 01:00:00,26.0
MERCER01,1D,2016-12-10 10:00:00,2016-12-11 12:00:00,26.0
MERCER01,1D,2017-01-09 04:00:00,2017-01-10 04:00:00,24.0
MERCER01,1D,2017-04-14 05:00:00,2017-04-15 18:00:00,37.0
MERCER01,1D,2017-04-16 20:00:00,2017-04-18 08:00:00,36.0
MERCER01,1D,2017-04-22 20:00:00,2017-04-24 14:00:00,42.0
MERCER01,1D,2017-05-03 06:00:00,2017-05-04 18:00:00,36.0
