Windfarm,Scale,Start,End,Duration
MEWF1,12h,2014-03-25 17:00:00,2014-03-27 01:00:00,32.0
MEWF1,12h,2014-04-13 20:00:00,2014-04-14 22:00:00,26.0
MEWF1,12h,2014-06-27 23:00:00,2014-06-29 00:00:00,25.0
MEWF1,12h,2014-07-08 20:00:00,2014-07-10 05:00:00,33.0
MEWF1,12h,2015-01-18 23:00:00,2015-01-20 02:00:00,27.0
MEWF1,12h,2015-02-24 18:00:00,2015-02-26 03:00:00,33.0
MEWF1,12h,2015-11-04 21:00:00,2015-11-06 00:00:00,27.0
MEWF1,12h,2015-12-25 16:00:00,2015-12-29 06:00:00,86.0
MEWF1,12h,2016-01-25 16:00:00,2016-01-29 02:00:00,82.0
MEWF1,12h,2016-02-06 18:00:00,2016-02-08 20:00:00,50.0
MEWF1,12h,2016-02-28 20:00:00,2016-03-01 04:00:00,32.0
MEWF1,12h,2016-03-19 21:00:00,2016-03-20 23:00:00,26.0
MEWF1,12h,2016-05-25 23:00:00,2016-05-28 06:00:00,55.0
MEWF1,12h,2016-06-18 23:00:00,2016-06-20 05:00:00,30.0
MEWF1,12h,2016-06-26 17:00:00,2016-06-27 17:00:00,24.0
MEWF1,12h,2017-01-01 20:00:00,2017-01-03 03:00:00,31.0
MEWF1,12h,2017-01-17 19:00:00,2017-01-19 01:00:00,30.0
MEWF1,12h,2017-02-15 07:00:00,2017-02-16 10:00:00,27.0
MEWF1,12h,2017-02-17 19:00:00,2017-02-20 01:00:00,54.0
MEWF1,12h,2017-03-08 20:00:00,2017-03-09 20:00:00,24.0
MEWF1,12h,2017-03-21 17:00:00,2017-03-24 02:00:00,57.0
MEWF1,12h,2017-03-30 13:00:00,2017-03-31 20:00:00,31.0
MEWF1,12h,2017-10-21 00:00:00,2017-10-23 04:00:00,52.0
MEWF1,12h,2018-01-30 22:00:00,2018-02-01 03:00:00,29.0
MEWF1,12h,2018-02-26 19:00:00,2018-03-01 04:00:00,57.0
MEWF1,12h,2019-02-16 20:00:00,2019-02-18 06:00:00,34.0
MEWF1,12h,2019-03-05 23:00:00,2019-03-07 03:00:00,28.0
MEWF1,12h,2019-03-27 19:00:00,2019-03-29 05:00:00,34.0
MEWF1,12h,2019-03-29 18:00:00,2019-03-30 22:00:00,28.0
MEWF1,12h,2020-01-21 21:00:00,2020-01-23 03:00:00,30.0
MEWF1,12h,2020-01-23 16:00:00,2020-01-28 00:00:00,104.0
MEWF1,12h,2020-02-16 03:00:00,2020-02-18 02:00:00,47.0
MEWF1,12h,2020-03-05 20:00:00,2020-03-07 00:00:00,28.0
MEWF1,12h,2020-03-09 16:00:00,2020-03-10 23:00:00,31.0
MEWF1,12h,2020-04-17 17:00:00,2020-04-20 05:00:00,60.0
MEWF1,12h,2020-05-25 01:00:00,2020-05-26 06:00:00,29.0
MEWF1,12h,2020-12-29 14:00:00,2021-01-01 03:00:00,61.0
MEWF1,12h,2021-01-02 17:00:00,2021-01-03 19:00:00,26.0
MEWF1,12h,2021-01-07 16:00:00,2021-01-09 19:00:00,51.0
MEWF1,12h,2021-01-10 14:00:00,2021-01-11 23:00:00,33.0
MEWF1,12h,2021-02-02 20:00:00,2021-02-04 01:00:00,29.0
MEWF1,12h,2021-02-07 15:00:00,2021-02-09 23:00:00,56.0
MEWF1,12h,2021-02-13 19:00:00,2021-02-16 01:00:00,54.0
