Windfarm,Scale,Start,End,Duration
MTGELWF1,4h,2014-06-01 07:00:00,2014-06-02 10:00:00,27.0
MTGELWF1,4h,2014-07-19 23:00:00,2014-07-21 07:00:00,32.0
MTGELWF1,4h,2014-08-27 17:00:00,2014-08-29 03:00:00,34.0
MTGELWF1,4h,2015-06-20 03:00:00,2015-06-21 05:00:00,26.0
MTGELWF1,4h,2015-06-28 16:00:00,2015-06-30 02:00:00,34.0
MTGELWF1,4h,2017-05-10 15:00:00,2017-05-12 01:00:00,34.0
MTGELWF1,4h,2017-06-03 02:00:00,2017-06-04 03:00:00,25.0
MTGELWF1,4h,2017-06-09 09:00:00,2017-06-10 19:00:00,34.0
MTGELWF1,4h,2017-06-12 17:00:00,2017-06-13 17:00:00,24.0
MTGELWF1,4h,2017-06-15 17:00:00,2017-06-17 04:00:00,35.0
MTGELWF1,4h,2018-04-28 20:00:00,2018-05-01 01:00:00,53.0
MTGELWF1,4h,2018-06-02 22:00:00,2018-06-04 08:00:00,34.0
MTGELWF1,4h,2018-06-09 03:00:00,2018-06-10 03:00:00,24.0
MTGELWF1,4h,2018-08-24 16:00:00,2018-08-25 16:00:00,24.0
MTGELWF1,4h,2019-05-15 15:00:00,2019-05-18 07:00:00,64.0
MTGELWF1,4h,2019-10-21 03:00:00,2019-10-22 08:00:00,29.0
MTGELWF1,4h,2020-05-14 03:00:00,2020-05-15 08:00:00,29.0
MTGELWF1,4h,2020-06-03 18:00:00,2020-06-05 04:00:00,34.0
MTGELWF1,4h,2020-06-07 21:00:00,2020-06-09 03:00:00,30.0
MTGELWF1,4h,2020-06-11 00:00:00,2020-06-12 04:00:00,28.0
MTGELWF1,4h,2020-06-26 13:00:00,2020-06-28 12:00:00,47.0
MTGELWF1,4h,2021-04-28 13:00:00,2021-04-29 19:00:00,30.0
MTGELWF1,4h,2021-06-27 13:00:00,2021-06-29 05:00:00,40.0
MTGELWF1,12h,2014-04-16 01:00:00,2014-04-17 08:00:00,31.0
MTGELWF1,12h,2014-06-01 12:00:00,2014-06-02 13:00:00,25.0
MTGELWF1,12h,2014-06-04 16:00:00,2014-06-06 08:00:00,40.0
