Windfarm,Scale,Start,End,Duration
MTMILLAR,1h,2015-06-14 20:00:00,2015-06-15 22:00:00,26.0
MTMILLAR,1h,2015-06-26 06:00:00,2015-06-28 05:00:00,47.0
MTMILLAR,1h,2015-06-29 10:00:00,2015-06-30 16:00:00,30.0
MTMILLAR,4h,2014-04-07 16:00:00,2014-04-09 00:00:00,32.0
MTMILLAR,4h,2014-05-22 07:00:00,2014-05-23 14:00:00,31.0
MTMILLAR,4h,2014-08-03 18:00:00,2014-08-04 21:00:00,27.0
MTMILLAR,4h,2015-06-14 21:00:00,2015-06-16 04:00:00,31.0
MTMILLAR,4h,2015-06-26 07:00:00,2015-06-28 12:00:00,53.0
MTMILLAR,4h,2015-06-29 11:00:00,2015-06-30 18:00:00,31.0
MTMILLAR,4h,2015-07-17 17:00:00,2015-07-19 07:00:00,38.0
MTMILLAR,4h,2015-08-14 06:00:00,2015-08-16 04:00:00,46.0
MTMILLAR,4h,2016-06-01 22:00:00,2016-06-03 06:00:00,32.0
MTMILLAR,4h,2016-07-07 05:00:00,2016-07-08 09:00:00,28.0
MTMILLAR,4h,2017-04-22 17:00:00,2017-04-24 00:00:00,31.0
MTMILLAR,4h,2017-05-17 20:00:00,2017-05-18 20:00:00,24.0
MTMILLAR,4h,2017-06-02 21:00:00,2017-06-04 19:00:00,46.0
MTMILLAR,4h,2017-08-27 23:00:00,2017-08-29 21:00:00,46.0
MTMILLAR,4h,2018-06-20 06:00:00,2018-06-21 07:00:00,25.0
MTMILLAR,4h,2019-06-18 12:00:00,2019-06-19 17:00:00,29.0
MTMILLAR,4h,2020-06-05 01:00:00,2020-06-06 03:00:00,26.0
MTMILLAR,4h,2020-07-12 18:00:00,2020-07-14 02:00:00,32.0
MTMILLAR,4h,2021-06-19 11:00:00,2021-06-20 14:00:00,27.0
MTMILLAR,12h,2014-04-07 22:00:00,2014-04-09 03:00:00,29.0
MTMILLAR,12h,2014-05-19 10:00:00,2014-05-20 15:00:00,29.0
MTMILLAR,12h,2014-05-22 11:00:00,2014-05-23 18:00:00,31.0
MTMILLAR,12h,2014-06-04 11:00:00,2014-06-05 11:00:00,24.0
MTMILLAR,12h,2014-08-03 12:00:00,2014-08-07 18:00:00,102.0
MTMILLAR,12h,2014-08-23 20:00:00,2014-08-25 12:00:00,40.0
MTMILLAR,12h,2014-08-26 00:00:00,2014-08-27 08:00:00,32.0
MTMILLAR,12h,2015-04-28 00:00:00,2015-04-29 10:00:00,34.0
MTMILLAR,12h,2015-04-29 15:00:00,2015-05-01 01:00:00,34.0
MTMILLAR,12h,2015-06-12 01:00:00,2015-06-13 04:00:00,27.0
MTMILLAR,12h,2015-06-14 22:00:00,2015-06-16 07:00:00,33.0
MTMILLAR,12h,2015-06-26 10:00:00,2015-06-28 14:00:00,52.0
MTMILLAR,12h,2015-06-28 19:00:00,2015-07-01 01:00:00,54.0
MTMILLAR,12h,2015-07-02 18:00:00,2015-07-03 23:00:00,29.0
MTMILLAR,12h,2015-07-17 21:00:00,2015-07-19 12:00:00,39.0
MTMILLAR,12h,2015-08-06 14:00:00,2015-08-07 17:00:00,27.0
MTMILLAR,12h,2015-08-14 08:00:00,2015-08-17 05:00:00,69.0
MTMILLAR,12h,2015-09-30 02:00:00,2015-10-01 05:00:00,27.0
MTMILLAR,12h,2015-11-06 05:00:00,2015-11-07 11:00:00,30.0
MTMILLAR,12h,2016-04-08 11:00:00,2016-04-10 00:00:00,37.0
MTMILLAR,12h,2016-04-13 05:00:00,2016-04-15 02:00:00,45.0
MTMILLAR,12h,2016-05-31 15:00:00,2016-06-03 22:00:00,79.0
MTMILLAR,12h,2016-07-06 19:00:00,2016-07-08 10:00:00,39.0
MTMILLAR,12h,2016-07-14 03:00:00,2016-07-15 10:00:00,31.0
MTMILLAR,12h,2016-07-18 21:00:00,2016-07-20 12:00:00,39.0
MTMILLAR,12h,2016-08-21 15:00:00,2016-08-25 03:00:00,84.0
MTMILLAR,12h,2016-09-10 09:00:00,2016-09-12 02:00:00,41.0
MTMILLAR,12h,2017-01-27 03:00:00,2017-01-28 05:00:00,26.0
MTMILLAR,12h,2017-04-22 18:00:00,2017-04-24 07:00:00,37.0
MTMILLAR,12h,2017-04-29 03:00:00,2017-04-30 09:00:00,30.0
MTMILLAR,12h,2017-05-02 21:00:00,2017-05-04 11:00:00,38.0
MTMILLAR,12h,2017-05-10 07:00:00,2017-05-12 06:00:00,47.0
MTMILLAR,12h,2017-05-18 02:00:00,2017-05-19 05:00:00,27.0
MTMILLAR,12h,2017-06-02 03:00:00,2017-06-05 00:00:00,69.0
MTMILLAR,12h,2017-06-06 20:00:00,2017-06-08 04:00:00,32.0
MTMILLAR,12h,2017-06-10 09:00:00,2017-06-11 16:00:00,31.0
MTMILLAR,12h,2017-06-12 09:00:00,2017-06-13 11:00:00,26.0
MTMILLAR,12h,2017-06-16 08:00:00,2017-06-19 14:00:00,78.0
MTMILLAR,12h,2017-06-20 13:00:00,2017-06-21 18:00:00,29.0
MTMILLAR,12h,2017-06-26 07:00:00,2017-06-27 19:00:00,36.0
MTMILLAR,12h,2017-08-24 18:00:00,2017-08-26 04:00:00,34.0
MTMILLAR,12h,2017-08-28 01:00:00,2017-08-30 03:00:00,50.0
MTMILLAR,12h,2018-03-30 20:00:00,2018-04-01 02:00:00,30.0
MTMILLAR,12h,2018-06-02 09:00:00,2018-06-05 07:00:00,70.0
MTMILLAR,12h,2018-06-08 19:00:00,2018-06-10 01:00:00,30.0
MTMILLAR,12h,2018-06-20 11:00:00,2018-06-24 03:00:00,88.0
MTMILLAR,12h,2018-06-25 18:00:00,2018-06-27 16:00:00,46.0
MTMILLAR,12h,2018-08-24 23:00:00,2018-08-26 02:00:00,27.0
MTMILLAR,12h,2019-04-27 20:00:00,2019-04-28 21:00:00,25.0
MTMILLAR,12h,2019-05-13 15:00:00,2019-05-15 10:00:00,43.0
MTMILLAR,12h,2019-05-21 12:00:00,2019-05-22 21:00:00,33.0
MTMILLAR,12h,2019-06-18 17:00:00,2019-06-19 20:00:00,27.0
MTMILLAR,12h,2019-07-26 17:00:00,2019-07-28 02:00:00,33.0
MTMILLAR,12h,2019-07-30 01:00:00,2019-08-01 03:00:00,50.0
MTMILLAR,12h,2019-08-02 05:00:00,2019-08-03 09:00:00,28.0
MTMILLAR,12h,2019-08-26 00:00:00,2019-08-27 22:00:00,46.0
MTMILLAR,12h,2019-09-12 18:00:00,2019-09-13 20:00:00,26.0
MTMILLAR,12h,2019-09-23 14:00:00,2019-09-25 07:00:00,41.0
MTMILLAR,12h,2020-06-04 03:00:00,2020-06-06 05:00:00,50.0
MTMILLAR,12h,2020-06-09 10:00:00,2020-06-11 12:00:00,50.0
MTMILLAR,12h,2020-07-12 23:00:00,2020-07-14 08:00:00,33.0
MTMILLAR,12h,2020-07-25 02:00:00,2020-07-26 02:00:00,24.0
MTMILLAR,12h,2021-03-06 02:00:00,2021-03-07 04:00:00,26.0
MTMILLAR,12h,2021-03-10 06:00:00,2021-03-11 18:00:00,36.0
