Windfarm,Scale,Start,End,Duration
MUSSELR1,4h,2014-05-07 18:00:00,2014-05-08 21:00:00,27.0
MUSSELR1,4h,2014-06-09 17:00:00,2014-06-11 03:00:00,34.0
MUSSELR1,4h,2014-06-12 06:00:00,2014-06-13 20:00:00,38.0
MUSSELR1,4h,2014-06-20 17:00:00,2014-06-21 19:00:00,26.0
MUSSELR1,4h,2014-07-19 10:00:00,2014-07-20 22:00:00,36.0
MUSSELR1,4h,2014-07-22 10:00:00,2014-07-23 21:00:00,35.0
MUSSELR1,4h,2014-08-27 05:00:00,2014-08-29 20:00:00,63.0
MUSSELR1,4h,2015-05-22 11:00:00,2015-05-23 16:00:00,29.0
MUSSELR1,4h,2015-08-18 22:00:00,2015-08-21 00:00:00,50.0
MUSSELR1,4h,2015-09-26 01:00:00,2015-09-27 02:00:00,25.0
MUSSELR1,4h,2016-04-23 12:00:00,2016-04-24 20:00:00,32.0
MUSSELR1,4h,2016-08-04 21:00:00,2016-08-06 16:00:00,43.0
MUSSELR1,4h,2017-05-16 20:00:00,2017-05-18 02:00:00,30.0
MUSSELR1,4h,2017-06-09 02:00:00,2017-06-10 02:00:00,24.0
MUSSELR1,4h,2017-06-26 08:00:00,2017-06-27 10:00:00,26.0
MUSSELR1,4h,2017-06-30 13:00:00,2017-07-01 20:00:00,31.0
MUSSELR1,4h,2017-07-11 12:00:00,2017-07-12 13:00:00,25.0
MUSSELR1,4h,2017-07-31 09:00:00,2017-08-02 03:00:00,42.0
MUSSELR1,4h,2018-04-20 14:00:00,2018-04-22 22:00:00,56.0
MUSSELR1,4h,2018-05-26 10:00:00,2018-05-27 17:00:00,31.0
MUSSELR1,4h,2018-06-25 15:00:00,2018-06-27 03:00:00,36.0
MUSSELR1,4h,2018-09-24 16:00:00,2018-09-26 09:00:00,41.0
MUSSELR1,4h,2019-04-10 23:00:00,2019-04-11 23:00:00,24.0
MUSSELR1,4h,2019-05-18 15:00:00,2019-05-20 04:00:00,37.0
MUSSELR1,4h,2019-06-21 18:00:00,2019-06-24 06:00:00,60.0
MUSSELR1,4h,2019-06-25 12:00:00,2019-06-27 03:00:00,39.0
MUSSELR1,4h,2020-06-17 02:00:00,2020-06-18 02:00:00,24.0
MUSSELR1,4h,2020-06-26 20:00:00,2020-06-28 03:00:00,31.0
MUSSELR1,4h,2020-07-24 08:00:00,2020-07-25 17:00:00,33.0
MUSSELR1,4h,2020-08-11 14:00:00,2020-08-12 17:00:00,27.0
MUSSELR1,4h,2021-04-06 13:00:00,2021-04-07 21:00:00,32.0
MUSSELR1,4h,2021-05-01 03:00:00,2021-05-02 14:00:00,35.0
MUSSELR1,4h,2021-05-04 06:00:00,2021-05-05 11:00:00,29.0
MUSSELR1,4h,2021-06-14 04:00:00,2021-06-15 08:00:00,28.0
MUSSELR1,4h,2021-06-20 03:00:00,2021-06-21 17:00:00,38.0
MUSSELR1,4h,2021-06-21 22:00:00,2021-06-23 05:00:00,31.0
MUSSELR1,4h,2021-07-10 05:00:00,2021-07-11 10:00:00,29.0
MUSSELR1,4h,2021-09-14 02:00:00,2021-09-15 02:00:00,24.0
MUSSELR1,4h,2021-09-15 08:00:00,2021-09-16 09:00:00,25.0
MUSSELR1,12h,2014-01-13 02:00:00,2014-01-14 06:00:00,28.0
MUSSELR1,12h,2014-03-29 09:00:00,2014-03-31 07:00:00,46.0
MUSSELR1,12h,2014-04-08 13:00:00,2014-04-09 14:00:00,25.0
MUSSELR1,12h,2014-04-16 14:00:00,2014-04-17 15:00:00,25.0
MUSSELR1,12h,2014-05-07 21:00:00,2014-05-09 02:00:00,29.0
MUSSELR1,12h,2014-06-09 11:00:00,2014-06-11 07:00:00,44.0
MUSSELR1,12h,2014-06-12 11:00:00,2014-06-13 22:00:00,35.0
MUSSELR1,12h,2014-06-20 20:00:00,2014-06-22 01:00:00,29.0
MUSSELR1,12h,2014-07-19 16:00:00,2014-07-21 15:00:00,47.0
MUSSELR1,12h,2014-07-22 03:00:00,2014-07-24 02:00:00,47.0
MUSSELR1,12h,2014-07-25 02:00:00,2014-07-26 23:00:00,45.0
MUSSELR1,12h,2014-08-26 23:00:00,2014-08-30 01:00:00,74.0
MUSSELR1,12h,2014-09-03 18:00:00,2014-09-04 23:00:00,29.0
MUSSELR1,12h,2015-04-09 13:00:00,2015-04-10 19:00:00,30.0
MUSSELR1,12h,2015-04-20 00:00:00,2015-04-21 12:00:00,36.0
MUSSELR1,12h,2015-04-23 23:00:00,2015-04-25 00:00:00,25.0
MUSSELR1,12h,2015-04-27 07:00:00,2015-04-30 09:00:00,74.0
MUSSELR1,12h,2015-05-14 21:00:00,2015-05-16 02:00:00,29.0
MUSSELR1,12h,2015-05-22 06:00:00,2015-05-23 21:00:00,39.0
MUSSELR1,12h,2015-06-02 23:00:00,2015-06-05 05:00:00,54.0
MUSSELR1,12h,2015-06-18 23:00:00,2015-06-20 04:00:00,29.0
MUSSELR1,12h,2015-07-08 09:00:00,2015-07-09 13:00:00,28.0
MUSSELR1,12h,2015-08-06 20:00:00,2015-08-08 00:00:00,28.0
MUSSELR1,12h,2015-08-18 21:00:00,2015-08-21 05:00:00,56.0
MUSSELR1,12h,2015-09-01 18:00:00,2015-09-02 21:00:00,27.0
MUSSELR1,12h,2015-09-26 06:00:00,2015-09-27 14:00:00,32.0
MUSSELR1,12h,2016-02-04 08:00:00,2016-02-05 13:00:00,29.0
MUSSELR1,12h,2016-03-05 23:00:00,2016-03-07 01:00:00,26.0
MUSSELR1,12h,2016-04-19 16:00:00,2016-04-21 00:00:00,32.0
MUSSELR1,12h,2016-04-22 18:00:00,2016-04-24 23:00:00,53.0
MUSSELR1,12h,2016-05-27 17:00:00,2016-05-29 03:00:00,34.0
MUSSELR1,12h,2016-07-08 19:00:00,2016-07-10 02:00:00,31.0
MUSSELR1,12h,2016-08-05 01:00:00,2016-08-06 22:00:00,45.0
MUSSELR1,12h,2016-08-07 06:00:00,2016-08-08 12:00:00,30.0
MUSSELR1,12h,2016-08-28 22:00:00,2016-08-29 22:00:00,24.0
MUSSELR1,12h,2017-03-10 16:00:00,2017-03-11 18:00:00,26.0
MUSSELR1,12h,2017-05-16 21:00:00,2017-05-18 03:00:00,30.0
MUSSELR1,12h,2017-06-02 19:00:00,2017-06-04 00:00:00,29.0
MUSSELR1,12h,2017-06-26 09:00:00,2017-06-28 07:00:00,46.0
MUSSELR1,12h,2017-06-30 15:00:00,2017-07-02 01:00:00,34.0
MUSSELR1,12h,2017-07-11 08:00:00,2017-07-13 01:00:00,41.0
MUSSELR1,12h,2017-07-31 05:00:00,2017-08-02 07:00:00,50.0
MUSSELR1,12h,2017-10-16 04:00:00,2017-10-18 09:00:00,53.0
MUSSELR1,12h,2018-03-01 22:00:00,2018-03-03 05:00:00,31.0
MUSSELR1,12h,2018-03-05 02:00:00,2018-03-06 05:00:00,27.0
MUSSELR1,12h,2018-04-20 03:00:00,2018-04-23 04:00:00,73.0
MUSSELR1,12h,2018-05-26 03:00:00,2018-05-28 03:00:00,48.0
MUSSELR1,12h,2018-06-03 06:00:00,2018-06-04 18:00:00,36.0
MUSSELR1,12h,2018-06-25 17:00:00,2018-06-28 09:00:00,64.0
MUSSELR1,12h,2018-08-21 23:00:00,2018-08-23 06:00:00,31.0
MUSSELR1,12h,2018-09-02 07:00:00,2018-09-04 02:00:00,43.0
MUSSELR1,12h,2018-09-24 21:00:00,2018-09-26 13:00:00,40.0
MUSSELR1,12h,2018-11-25 15:00:00,2018-11-27 02:00:00,35.0
MUSSELR1,12h,2019-05-18 19:00:00,2019-05-20 07:00:00,36.0
MUSSELR1,12h,2019-05-31 15:00:00,2019-06-01 17:00:00,26.0
MUSSELR1,12h,2019-06-15 19:00:00,2019-06-17 01:00:00,30.0
MUSSELR1,12h,2019-06-22 00:00:00,2019-06-25 04:00:00,76.0
MUSSELR1,12h,2019-06-25 08:00:00,2019-06-27 09:00:00,49.0
MUSSELR1,12h,2020-03-09 06:00:00,2020-03-11 03:00:00,45.0
MUSSELR1,12h,2020-03-23 08:00:00,2020-03-25 02:00:00,42.0
MUSSELR1,12h,2020-06-07 00:00:00,2020-06-08 02:00:00,26.0
MUSSELR1,12h,2020-06-20 15:00:00,2020-06-21 15:00:00,24.0
MUSSELR1,12h,2020-06-26 23:00:00,2020-06-28 07:00:00,32.0
MUSSELR1,12h,2020-07-07 14:00:00,2020-07-10 08:00:00,66.0
MUSSELR1,12h,2020-07-24 08:00:00,2020-07-26 11:00:00,51.0
MUSSELR1,12h,2020-08-11 17:00:00,2020-08-12 20:00:00,27.0
MUSSELR1,12h,2020-09-28 06:00:00,2020-09-29 16:00:00,34.0
MUSSELR1,12h,2020-10-22 16:00:00,2020-10-23 20:00:00,28.0
MUSSELR1,12h,2020-11-01 11:00:00,2020-11-03 04:00:00,41.0
MUSSELR1,12h,2020-11-07 17:00:00,2020-11-08 23:00:00,30.0
MUSSELR1,12h,2021-03-06 08:00:00,2021-03-07 10:00:00,26.0
MUSSELR1,12h,2021-04-05 09:00:00,2021-04-08 01:00:00,64.0
MUSSELR1,12h,2021-04-27 01:00:00,2021-04-28 02:00:00,25.0
MUSSELR1,12h,2021-04-30 04:00:00,2021-05-02 18:00:00,62.0
MUSSELR1,12h,2021-05-04 12:00:00,2021-05-05 14:00:00,26.0
MUSSELR1,12h,2021-05-29 12:00:00,2021-05-31 04:00:00,40.0
MUSSELR1,12h,2021-06-13 01:00:00,2021-06-15 13:00:00,60.0
MUSSELR1,12h,2021-06-20 03:00:00,2021-06-23 07:00:00,76.0
MUSSELR1,12h,2021-07-10 11:00:00,2021-07-11 13:00:00,26.0
MUSSELR1,12h,2021-09-14 07:00:00,2021-09-16 13:00:00,54.0
MUSSELR1,12h,2021-09-27 22:00:00,2021-09-28 22:00:00,24.0
MUSSELR1,1D,2014-01-13 11:00:00,2014-01-15 15:00:00,52.0
MUSSELR1,1D,2014-02-12 10:00:00,2014-02-14 06:00:00,44.0
MUSSELR1,1D,2014-03-29 15:00:00,2014-04-01 07:00:00,64.0
MUSSELR1,1D,2014-04-08 16:00:00,2014-04-09 20:00:00,28.0
MUSSELR1,1D,2014-04-16 15:00:00,2014-04-17 18:00:00,27.0
MUSSELR1,1D,2014-05-08 01:00:00,2014-05-09 13:00:00,36.0
