Windfarm,Scale,Start,End,Duration
MUWAWF1,1h,2016-07-07 11:00:00,2016-07-09 06:00:00,43.0
MUWAWF1,1h,2017-05-09 22:00:00,2017-05-12 06:00:00,56.0
MUWAWF1,1h,2017-06-02 21:00:00,2017-06-04 10:00:00,37.0
MUWAWF1,1h,2018-06-20 16:00:00,2018-06-22 03:00:00,35.0
MUWAWF1,1h,2020-06-04 02:00:00,2020-06-05 14:00:00,36.0
MUWAWF1,1h,2020-06-09 23:00:00,2020-06-11 10:00:00,35.0
MUWAWF1,1h,2021-06-12 01:00:00,2021-06-13 08:00:00,31.0
MUWAWF1,4h,2014-05-11 00:00:00,2014-05-12 06:00:00,30.0
MUWAWF1,4h,2014-06-01 02:00:00,2014-06-02 10:00:00,32.0
MUWAWF1,4h,2014-08-02 22:00:00,2014-08-04 10:00:00,36.0
MUWAWF1,4h,2016-07-07 11:00:00,2016-07-09 07:00:00,44.0
MUWAWF1,4h,2017-04-21 10:00:00,2017-04-22 11:00:00,25.0
MUWAWF1,4h,2017-05-10 00:00:00,2017-05-12 07:00:00,55.0
MUWAWF1,4h,2017-06-02 22:00:00,2017-06-04 13:00:00,39.0
MUWAWF1,4h,2017-06-15 19:00:00,2017-06-16 19:00:00,24.0
MUWAWF1,4h,2018-06-20 18:00:00,2018-06-22 05:00:00,35.0
MUWAWF1,4h,2019-07-26 02:00:00,2019-07-27 04:00:00,26.0
MUWAWF1,4h,2020-06-04 03:00:00,2020-06-05 17:00:00,38.0
MUWAWF1,4h,2020-06-10 01:00:00,2020-06-11 12:00:00,35.0
MUWAWF1,4h,2020-08-24 23:00:00,2020-08-26 01:00:00,26.0
MUWAWF1,4h,2021-06-12 02:00:00,2021-06-13 09:00:00,31.0
MUWAWF1,4h,2021-07-05 02:00:00,2021-07-06 12:00:00,34.0
MUWAWF1,12h,2014-03-27 01:00:00,2014-03-28 08:00:00,31.0
MUWAWF1,12h,2014-03-28 21:00:00,2014-03-30 18:00:00,45.0
MUWAWF1,12h,2014-04-16 04:00:00,2014-04-17 10:00:00,30.0
MUWAWF1,12h,2014-05-11 04:00:00,2014-05-12 12:00:00,32.0
MUWAWF1,12h,2014-06-01 07:00:00,2014-06-03 14:00:00,55.0
MUWAWF1,12h,2014-06-17 03:00:00,2014-06-18 13:00:00,34.0
MUWAWF1,12h,2014-07-01 01:00:00,2014-07-02 11:00:00,34.0
MUWAWF1,12h,2014-07-19 20:00:00,2014-07-21 13:00:00,41.0
MUWAWF1,12h,2014-07-21 22:00:00,2014-07-22 22:00:00,24.0
MUWAWF1,12h,2014-08-02 07:00:00,2014-08-04 17:00:00,58.0
MUWAWF1,12h,2014-08-07 03:00:00,2014-08-08 08:00:00,29.0
MUWAWF1,12h,2014-08-27 22:00:00,2014-08-29 10:00:00,36.0
MUWAWF1,12h,2015-03-28 00:00:00,2015-03-29 08:00:00,32.0
MUWAWF1,12h,2015-06-25 20:00:00,2015-06-30 21:00:00,121.0
MUWAWF1,12h,2015-07-06 19:00:00,2015-07-07 21:00:00,26.0
MUWAWF1,12h,2015-08-07 10:00:00,2015-08-08 16:00:00,30.0
MUWAWF1,12h,2015-08-17 23:00:00,2015-08-19 00:00:00,25.0
MUWAWF1,12h,2016-04-07 01:00:00,2016-04-09 05:00:00,52.0
MUWAWF1,12h,2016-07-07 13:00:00,2016-07-09 10:00:00,45.0
MUWAWF1,12h,2016-07-15 10:00:00,2016-07-16 12:00:00,26.0
MUWAWF1,12h,2016-07-18 23:00:00,2016-07-20 15:00:00,40.0
MUWAWF1,12h,2017-04-21 06:00:00,2017-04-22 13:00:00,31.0
MUWAWF1,12h,2017-05-10 03:00:00,2017-05-12 09:00:00,54.0
MUWAWF1,12h,2017-05-31 17:00:00,2017-06-05 02:00:00,105.0
MUWAWF1,12h,2017-06-10 08:00:00,2017-06-11 12:00:00,28.0
MUWAWF1,12h,2017-06-12 18:00:00,2017-06-14 12:00:00,42.0
MUWAWF1,12h,2017-06-15 03:00:00,2017-06-19 17:00:00,110.0
MUWAWF1,12h,2017-06-21 02:00:00,2017-06-22 03:00:00,25.0
MUWAWF1,12h,2017-06-26 03:00:00,2017-06-27 04:00:00,25.0
MUWAWF1,12h,2017-07-30 18:00:00,2017-08-01 13:00:00,43.0
MUWAWF1,12h,2017-09-09 05:00:00,2017-09-10 11:00:00,30.0
MUWAWF1,12h,2018-04-18 06:00:00,2018-04-19 11:00:00,29.0
MUWAWF1,12h,2018-06-01 07:00:00,2018-06-02 23:00:00,40.0
MUWAWF1,12h,2018-06-20 19:00:00,2018-06-22 12:00:00,41.0
MUWAWF1,12h,2018-06-30 20:00:00,2018-07-02 04:00:00,32.0
MUWAWF1,12h,2019-06-06 06:00:00,2019-06-07 15:00:00,33.0
MUWAWF1,12h,2019-06-16 03:00:00,2019-06-17 03:00:00,24.0
MUWAWF1,12h,2019-07-26 07:00:00,2019-07-28 19:00:00,60.0
MUWAWF1,12h,2019-08-12 17:00:00,2019-08-13 19:00:00,26.0
MUWAWF1,12h,2019-09-24 21:00:00,2019-09-26 04:00:00,31.0
MUWAWF1,12h,2020-05-03 23:00:00,2020-05-05 00:00:00,25.0
MUWAWF1,12h,2020-05-16 10:00:00,2020-05-17 14:00:00,28.0
MUWAWF1,12h,2020-05-27 22:00:00,2020-05-29 00:00:00,26.0
MUWAWF1,12h,2020-06-04 08:00:00,2020-06-06 13:00:00,53.0
MUWAWF1,12h,2020-06-10 03:00:00,2020-06-11 15:00:00,36.0
MUWAWF1,12h,2020-06-26 01:00:00,2020-06-28 19:00:00,66.0
MUWAWF1,12h,2020-07-07 07:00:00,2020-07-08 12:00:00,29.0
MUWAWF1,12h,2020-07-10 13:00:00,2020-07-11 22:00:00,33.0
MUWAWF1,12h,2020-07-15 05:00:00,2020-07-16 12:00:00,31.0
MUWAWF1,12h,2020-08-24 21:00:00,2020-08-26 07:00:00,34.0
MUWAWF1,12h,2021-06-12 00:00:00,2021-06-13 13:00:00,37.0
MUWAWF1,12h,2021-07-05 04:00:00,2021-07-06 15:00:00,35.0
MUWAWF1,12h,2021-08-17 17:00:00,2021-08-18 17:00:00,24.0
MUWAWF1,12h,2021-10-13 18:00:00,2021-10-14 18:00:00,24.0
MUWAWF1,12h,2021-10-17 00:00:00,2021-10-18 03:00:00,27.0
MUWAWF1,1D,2014-03-27 09:00:00,2014-03-31 07:00:00,94.0
MUWAWF1,1D,2014-04-16 10:00:00,2014-04-17 20:00:00,34.0
MUWAWF1,1D,2014-04-19 09:00:00,2014-04-20 11:00:00,26.0
MUWAWF1,1D,2014-05-10 23:00:00,2014-05-12 16:00:00,41.0
MUWAWF1,1D,2014-06-01 09:00:00,2014-06-05 09:00:00,96.0
MUWAWF1,1D,2014-06-17 11:00:00,2014-06-18 17:00:00,30.0
MUWAWF1,1D,2014-07-01 08:00:00,2014-07-02 14:00:00,30.0
MUWAWF1,1D,2014-07-13 06:00:00,2014-07-14 06:00:00,24.0
MUWAWF1,1D,2014-07-19 14:00:00,2014-07-23 09:00:00,91.0
MUWAWF1,1D,2014-08-02 13:00:00,2014-08-06 01:00:00,84.0
MUWAWF1,1D,2014-08-07 08:00:00,2014-08-08 13:00:00,29.0
MUWAWF1,1D,2014-08-26 17:00:00,2014-08-29 13:00:00,68.0
MUWAWF1,1D,2014-09-12 07:00:00,2014-09-14 10:00:00,51.0
MUWAWF1,1D,2014-12-31 13:00:00,2015-01-01 15:00:00,26.0
MUWAWF1,1D,2015-03-28 07:00:00,2015-03-30 13:00:00,54.0
MUWAWF1,1D,2015-04-16 19:00:00,2015-04-18 03:00:00,32.0
