Windfarm,Scale,Start,End,Duration
MWF_MUMBIDA_WF1,4h,2014-06-18 17:00:00,2014-06-20 00:00:00,31.0
MWF_MUMBIDA_WF1,4h,2014-07-23 18:00:00,2014-07-24 23:00:00,29.0
MWF_MUMBIDA_WF1,4h,2014-07-28 12:00:00,2014-07-29 12:00:00,24.0
MWF_MUMBIDA_WF1,4h,2016-04-10 02:00:00,2016-04-11 08:00:00,30.0
MWF_MUMBIDA_WF1,4h,2016-08-09 12:00:00,2016-08-11 05:00:00,41.0
MWF_MUMBIDA_WF1,4h,2017-07-02 09:00:00,2017-07-04 08:00:00,47.0
MWF_MUMBIDA_WF1,4h,2018-06-07 16:00:00,2018-06-08 16:00:00,24.0
MWF_MUMBIDA_WF1,4h,2018-06-10 15:00:00,2018-06-12 05:00:00,38.0
MWF_MUMBIDA_WF1,4h,2018-07-18 16:00:00,2018-07-19 18:00:00,26.0
MWF_MUMBIDA_WF1,4h,2018-07-23 15:00:00,2018-07-24 16:00:00,25.0
MWF_MUMBIDA_WF1,4h,2019-06-11 14:00:00,2019-06-14 04:00:00,62.0
MWF_MUMBIDA_WF1,4h,2019-06-30 07:00:00,2019-07-01 09:00:00,26.0
MWF_MUMBIDA_WF1,4h,2020-06-13 06:00:00,2020-06-14 08:00:00,26.0
MWF_MUMBIDA_WF1,4h,2020-08-13 12:00:00,2020-08-14 17:00:00,29.0
MWF_MUMBIDA_WF1,4h,2021-06-14 18:00:00,2021-06-16 00:00:00,30.0
MWF_MUMBIDA_WF1,12h,2014-05-09 04:00:00,2014-05-13 11:00:00,103.0
MWF_MUMBIDA_WF1,12h,2014-05-18 00:00:00,2014-05-20 10:00:00,58.0
MWF_MUMBIDA_WF1,12h,2014-06-18 22:00:00,2014-06-20 21:00:00,47.0
MWF_MUMBIDA_WF1,12h,2014-07-23 19:00:00,2014-07-25 02:00:00,31.0
MWF_MUMBIDA_WF1,12h,2014-07-26 21:00:00,2014-07-31 01:00:00,100.0
MWF_MUMBIDA_WF1,12h,2014-08-23 22:00:00,2014-08-25 13:00:00,39.0
MWF_MUMBIDA_WF1,12h,2015-06-05 02:00:00,2015-06-06 09:00:00,31.0
MWF_MUMBIDA_WF1,12h,2015-07-03 20:00:00,2015-07-05 12:00:00,40.0
MWF_MUMBIDA_WF1,12h,2015-07-05 19:00:00,2015-07-07 16:00:00,45.0
MWF_MUMBIDA_WF1,12h,2015-07-21 14:00:00,2015-07-23 05:00:00,39.0
MWF_MUMBIDA_WF1,12h,2015-10-09 00:00:00,2015-10-10 06:00:00,30.0
MWF_MUMBIDA_WF1,12h,2016-04-09 19:00:00,2016-04-11 11:00:00,40.0
MWF_MUMBIDA_WF1,12h,2016-04-12 21:00:00,2016-04-13 22:00:00,25.0
MWF_MUMBIDA_WF1,12h,2016-06-04 20:00:00,2016-06-06 02:00:00,30.0
MWF_MUMBIDA_WF1,12h,2016-06-09 08:00:00,2016-06-10 12:00:00,28.0
MWF_MUMBIDA_WF1,12h,2016-06-14 22:00:00,2016-06-15 22:00:00,24.0
MWF_MUMBIDA_WF1,12h,2016-06-22 00:00:00,2016-06-23 13:00:00,37.0
MWF_MUMBIDA_WF1,12h,2016-08-04 17:00:00,2016-08-06 06:00:00,37.0
MWF_MUMBIDA_WF1,12h,2016-08-09 05:00:00,2016-08-11 22:00:00,65.0
MWF_MUMBIDA_WF1,12h,2016-08-29 16:00:00,2016-08-31 00:00:00,32.0
MWF_MUMBIDA_WF1,12h,2016-09-24 03:00:00,2016-09-25 06:00:00,27.0
MWF_MUMBIDA_WF1,12h,2017-03-01 00:00:00,2017-03-02 13:00:00,37.0
MWF_MUMBIDA_WF1,12h,2017-07-02 02:00:00,2017-07-05 02:00:00,72.0
MWF_MUMBIDA_WF1,12h,2017-07-16 17:00:00,2017-07-17 17:00:00,24.0
MWF_MUMBIDA_WF1,12h,2017-07-24 20:00:00,2017-07-26 04:00:00,32.0
MWF_MUMBIDA_WF1,12h,2017-08-04 14:00:00,2017-08-06 12:00:00,46.0
MWF_MUMBIDA_WF1,12h,2017-08-17 08:00:00,2017-08-18 08:00:00,24.0
MWF_MUMBIDA_WF1,12h,2017-08-27 09:00:00,2017-08-28 15:00:00,30.0
MWF_MUMBIDA_WF1,12h,2017-09-08 11:00:00,2017-09-09 12:00:00,25.0
MWF_MUMBIDA_WF1,12h,2018-04-19 22:00:00,2018-04-21 10:00:00,36.0
MWF_MUMBIDA_WF1,12h,2018-06-07 06:00:00,2018-06-08 20:00:00,38.0
MWF_MUMBIDA_WF1,12h,2018-06-10 22:00:00,2018-06-12 09:00:00,35.0
MWF_MUMBIDA_WF1,12h,2018-06-18 21:00:00,2018-06-20 15:00:00,42.0
MWF_MUMBIDA_WF1,12h,2018-07-09 12:00:00,2018-07-10 17:00:00,29.0
MWF_MUMBIDA_WF1,12h,2018-07-16 23:00:00,2018-07-20 01:00:00,74.0
MWF_MUMBIDA_WF1,12h,2018-07-23 19:00:00,2018-07-24 20:00:00,25.0
MWF_MUMBIDA_WF1,12h,2018-07-28 02:00:00,2018-07-30 13:00:00,59.0
MWF_MUMBIDA_WF1,12h,2018-08-05 20:00:00,2018-08-08 04:00:00,56.0
MWF_MUMBIDA_WF1,12h,2018-09-06 01:00:00,2018-09-07 06:00:00,29.0
MWF_MUMBIDA_WF1,12h,2019-06-11 20:00:00,2019-06-14 11:00:00,63.0
MWF_MUMBIDA_WF1,12h,2019-06-14 17:00:00,2019-06-16 12:00:00,43.0
MWF_MUMBIDA_WF1,12h,2019-06-29 11:00:00,2019-07-02 17:00:00,78.0
MWF_MUMBIDA_WF1,12h,2019-07-05 20:00:00,2019-07-06 21:00:00,25.0
MWF_MUMBIDA_WF1,12h,2019-07-18 00:00:00,2019-07-19 01:00:00,25.0
MWF_MUMBIDA_WF1,12h,2020-05-07 02:00:00,2020-05-08 08:00:00,30.0
MWF_MUMBIDA_WF1,12h,2020-05-26 04:00:00,2020-05-28 04:00:00,48.0
MWF_MUMBIDA_WF1,12h,2020-05-30 19:00:00,2020-05-31 20:00:00,25.0
MWF_MUMBIDA_WF1,12h,2020-06-13 09:00:00,2020-06-14 17:00:00,32.0
MWF_MUMBIDA_WF1,12h,2020-07-25 19:00:00,2020-07-26 22:00:00,27.0
MWF_MUMBIDA_WF1,12h,2020-08-12 22:00:00,2020-08-14 21:00:00,47.0
MWF_MUMBIDA_WF1,12h,2020-09-02 20:00:00,2020-09-04 10:00:00,38.0
MWF_MUMBIDA_WF1,12h,2021-05-17 13:00:00,2021-05-19 10:00:00,45.0
MWF_MUMBIDA_WF1,12h,2021-06-10 18:00:00,2021-06-13 11:00:00,65.0
MWF_MUMBIDA_WF1,12h,2021-06-14 23:00:00,2021-06-16 10:00:00,35.0
MWF_MUMBIDA_WF1,12h,2021-07-15 22:00:00,2021-07-19 05:00:00,79.0
MWF_MUMBIDA_WF1,12h,2021-07-21 23:00:00,2021-07-23 01:00:00,26.0
MWF_MUMBIDA_WF1,12h,2021-07-24 02:00:00,2021-07-25 21:00:00,43.0
MWF_MUMBIDA_WF1,12h,2021-09-27 22:00:00,2021-09-29 02:00:00,28.0
MWF_MUMBIDA_WF1,1D,2014-04-24 10:00:00,2014-04-25 16:00:00,30.0
MWF_MUMBIDA_WF1,1D,2014-05-09 13:00:00,2014-05-13 18:00:00,101.0
MWF_MUMBIDA_WF1,1D,2014-05-17 14:00:00,2014-05-22 08:00:00,114.0
MWF_MUMBIDA_WF1,1D,2014-05-26 11:00:00,2014-05-27 16:00:00,29.0
MWF_MUMBIDA_WF1,1D,2014-06-01 03:00:00,2014-06-02 09:00:00,30.0
MWF_MUMBIDA_WF1,1D,2014-06-19 07:00:00,2014-06-20 23:00:00,40.0
MWF_MUMBIDA_WF1,1D,2014-07-15 13:00:00,2014-07-16 18:00:00,29.0
MWF_MUMBIDA_WF1,1D,2014-07-23 07:00:00,2014-07-25 06:00:00,47.0
MWF_MUMBIDA_WF1,1D,2014-07-27 07:00:00,2014-07-31 13:00:00,102.0
MWF_MUMBIDA_WF1,1D,2014-08-15 02:00:00,2014-08-17 01:00:00,47.0
MWF_MUMBIDA_WF1,1D,2014-08-23 22:00:00,2014-08-26 16:00:00,66.0
MWF_MUMBIDA_WF1,1D,2014-08-27 05:00:00,2014-08-28 05:00:00,24.0
MWF_MUMBIDA_WF1,1D,2015-02-25 05:00:00,2015-02-26 07:00:00,26.0
MWF_MUMBIDA_WF1,1D,2015-03-16 02:00:00,2015-03-17 08:00:00,30.0
MWF_MUMBIDA_WF1,1D,2015-04-11 01:00:00,2015-04-12 07:00:00,30.0
MWF_MUMBIDA_WF1,1D,2015-04-13 08:00:00,2015-04-14 08:00:00,24.0
MWF_MUMBIDA_WF1,1D,2015-06-03 12:00:00,2015-06-06 13:00:00,73.0
MWF_MUMBIDA_WF1,1D,2015-07-02 20:00:00,2015-07-07 19:00:00,119.0
MWF_MUMBIDA_WF1,1D,2015-07-21 22:00:00,2015-07-23 10:00:00,36.0
MWF_MUMBIDA_WF1,1D,2015-07-29 14:00:00,2015-07-30 15:00:00,25.0
MWF_MUMBIDA_WF1,1D,2015-09-29 16:00:00,2015-09-30 19:00:00,27.0
MWF_MUMBIDA_WF1,1D,2015-10-02 03:00:00,2015-10-04 06:00:00,51.0
MWF_MUMBIDA_WF1,1D,2015-10-09 06:00:00,2015-10-10 09:00:00,27.0
MWF_MUMBIDA_WF1,1D,2015-10-29 05:00:00,2015-10-30 07:00:00,26.0
MWF_MUMBIDA_WF1,1D,2016-01-03 08:00:00,2016-01-05 05:00:00,45.0
MWF_MUMBIDA_WF1,1D,2016-01-05 19:00:00,2016-01-08 04:00:00,57.0
MWF_MUMBIDA_WF1,1D,2016-01-08 12:00:00,2016-01-09 17:00:00,29.0
MWF_MUMBIDA_WF1,1D,2016-03-21 10:00:00,2016-03-22 17:00:00,31.0
MWF_MUMBIDA_WF1,1D,2016-04-10 01:00:00,2016-04-11 21:00:00,44.0
MWF_MUMBIDA_WF1,1D,2016-04-13 00:00:00,2016-04-14 08:00:00,32.0
MWF_MUMBIDA_WF1,1D,2016-04-16 20:00:00,2016-04-18 12:00:00,40.0
MWF_MUMBIDA_WF1,1D,2016-04-24 01:00:00,2016-04-25 14:00:00,37.0
MWF_MUMBIDA_WF1,1D,2016-05-12 18:00:00,2016-05-15 08:00:00,62.0
MWF_MUMBIDA_WF1,1D,2016-05-25 17:00:00,2016-05-28 03:00:00,58.0
MWF_MUMBIDA_WF1,1D,2016-06-04 22:00:00,2016-06-06 06:00:00,32.0
MWF_MUMBIDA_WF1,1D,2016-06-09 06:00:00,2016-06-10 16:00:00,34.0
MWF_MUMBIDA_WF1,1D,2016-06-14 11:00:00,2016-06-16 13:00:00,50.0
MWF_MUMBIDA_WF1,1D,2016-06-21 11:00:00,2016-06-23 17:00:00,54.0
MWF_MUMBIDA_WF1,1D,2016-07-11 09:00:00,2016-07-12 13:00:00,28.0
MWF_MUMBIDA_WF1,1D,2016-08-05 01:00:00,2016-08-06 12:00:00,35.0
MWF_MUMBIDA_WF1,1D,2016-08-09 14:00:00,2016-08-12 08:00:00,66.0
MWF_MUMBIDA_WF1,1D,2016-08-19 16:00:00,2016-08-21 10:00:00,42.0
MWF_MUMBIDA_WF1,1D,2016-08-29 08:00:00,2016-08-31 02:00:00,42.0
MWF_MUMBIDA_WF1,1D,2017-02-12 21:00:00,2017-02-14 19:00:00,46.0
MWF_MUMBIDA_WF1,1D,2017-03-01 09:00:00,2017-03-02 22:00:00,37.0
MWF_MUMBIDA_WF1,1D,2017-05-22 08:00:00,2017-05-23 23:00:00,39.0
MWF_MUMBIDA_WF1,1D,2017-06-01 01:00:00,2017-06-02 18:00:00,41.0
MWF_MUMBIDA_WF1,1D,2017-06-14 08:00:00,2017-06-15 19:00:00,35.0
MWF_MUMBIDA_WF1,1D,2017-07-02 13:00:00,2017-07-05 04:00:00,63.0
MWF_MUMBIDA_WF1,1D,2017-07-13 08:00:00,2017-07-15 05:00:00,45.0
MWF_MUMBIDA_WF1,1D,2017-07-16 13:00:00,2017-07-17 18:00:00,29.0
MWF_MUMBIDA_WF1,1D,2017-07-24 11:00:00,2017-07-26 22:00:00,59.0
MWF_MUMBIDA_WF1,1D,2017-08-04 16:00:00,2017-08-07 20:00:00,76.0
MWF_MUMBIDA_WF1,1D,2017-08-17 09:00:00,2017-08-18 13:00:00,28.0
MWF_MUMBIDA_WF1,1D,2017-08-27 17:00:00,2017-08-30 08:00:00,63.0
MWF_MUMBIDA_WF1,1D,2017-09-08 19:00:00,2017-09-10 10:00:00,39.0
MWF_MUMBIDA_WF1,1D,2017-09-15 11:00:00,2017-09-16 11:00:00,24.0
MWF_MUMBIDA_WF1,1D,2017-11-08 09:00:00,2017-11-09 11:00:00,26.0
MWF_MUMBIDA_WF1,1D,2018-04-05 22:00:00,2018-04-06 23:00:00,25.0
MWF_MUMBIDA_WF1,1D,2018-04-19 18:00:00,2018-04-22 06:00:00,60.0
MWF_MUMBIDA_WF1,1D,2018-06-06 21:00:00,2018-06-09 00:00:00,51.0
MWF_MUMBIDA_WF1,1D,2018-06-11 08:00:00,2018-06-14 20:00:00,84.0
MWF_MUMBIDA_WF1,1D,2018-06-19 07:00:00,2018-06-22 19:00:00,84.0
MWF_MUMBIDA_WF1,1D,2018-07-09 22:00:00,2018-07-12 11:00:00,61.0
MWF_MUMBIDA_WF1,1D,2018-07-17 08:00:00,2018-07-20 12:00:00,76.0
MWF_MUMBIDA_WF1,1D,2018-07-28 09:00:00,2018-07-31 20:00:00,83.0
MWF_MUMBIDA_WF1,1D,2018-08-06 05:00:00,2018-08-08 06:00:00,49.0
MWF_MUMBIDA_WF1,1D,2018-08-16 13:00:00,2018-08-17 16:00:00,27.0
MWF_MUMBIDA_WF1,1D,2018-08-31 09:00:00,2018-09-01 19:00:00,34.0
MWF_MUMBIDA_WF1,1D,2018-09-06 08:00:00,2018-09-09 08:00:00,72.0
MWF_MUMBIDA_WF1,1D,2018-09-22 19:00:00,2018-09-24 11:00:00,40.0
MWF_MUMBIDA_WF1,1D,2019-03-20 07:00:00,2019-03-22 05:00:00,46.0
MWF_MUMBIDA_WF1,1D,2019-05-21 02:00:00,2019-05-22 10:00:00,32.0
MWF_MUMBIDA_WF1,1D,2019-06-12 06:00:00,2019-06-16 20:00:00,110.0
MWF_MUMBIDA_WF1,1D,2019-06-24 13:00:00,2019-06-25 21:00:00,32.0
MWF_MUMBIDA_WF1,1D,2019-06-28 21:00:00,2019-07-02 19:00:00,94.0
MWF_MUMBIDA_WF1,1D,2019-07-06 03:00:00,2019-07-07 13:00:00,34.0
MWF_MUMBIDA_WF1,1D,2019-07-10 11:00:00,2019-07-11 15:00:00,28.0
MWF_MUMBIDA_WF1,1D,2019-07-18 01:00:00,2019-07-19 03:00:00,26.0
MWF_MUMBIDA_WF1,1D,2019-08-04 06:00:00,2019-08-05 07:00:00,25.0
MWF_MUMBIDA_WF1,1D,2019-09-11 09:00:00,2019-09-12 20:00:00,35.0
MWF_MUMBIDA_WF1,1D,2019-11-16 03:00:00,2019-11-17 04:00:00,25.0
MWF_MUMBIDA_WF1,1D,2020-02-04 12:00:00,2020-02-06 14:00:00,50.0
MWF_MUMBIDA_WF1,1D,2020-02-24 21:00:00,2020-02-25 21:00:00,24.0
MWF_MUMBIDA_WF1,1D,2020-04-05 02:00:00,2020-04-09 10:00:00,104.0
MWF_MUMBIDA_WF1,1D,2020-04-20 11:00:00,2020-04-22 07:00:00,44.0
MWF_MUMBIDA_WF1,1D,2020-04-22 09:00:00,2020-04-23 09:00:00,24.0
MWF_MUMBIDA_WF1,1D,2020-05-07 10:00:00,2020-05-08 11:00:00,25.0
MWF_MUMBIDA_WF1,1D,2020-05-26 14:00:00,2020-05-28 14:00:00,48.0
MWF_MUMBIDA_WF1,1D,2020-05-30 19:00:00,2020-06-01 04:00:00,33.0
MWF_MUMBIDA_WF1,1D,2020-06-13 17:00:00,2020-06-15 22:00:00,53.0
MWF_MUMBIDA_WF1,1D,2020-07-07 06:00:00,2020-07-08 15:00:00,33.0
MWF_MUMBIDA_WF1,1D,2020-07-18 09:00:00,2020-07-19 13:00:00,28.0
MWF_MUMBIDA_WF1,1D,2020-07-26 03:00:00,2020-07-27 05:00:00,26.0
MWF_MUMBIDA_WF1,1D,2020-08-13 07:00:00,2020-08-15 02:00:00,43.0
MWF_MUMBIDA_WF1,1D,2020-08-22 00:00:00,2020-08-23 07:00:00,31.0
MWF_MUMBIDA_WF1,1D,2020-09-03 06:00:00,2020-09-04 16:00:00,34.0
MWF_MUMBIDA_WF1,1D,2021-03-29 10:00:00,2021-03-30 14:00:00,28.0
MWF_MUMBIDA_WF1,1D,2021-04-23 02:00:00,2021-04-24 10:00:00,32.0
MWF_MUMBIDA_WF1,1D,2021-05-17 23:00:00,2021-05-19 19:00:00,44.0
MWF_MUMBIDA_WF1,1D,2021-06-05 01:00:00,2021-06-06 09:00:00,32.0
MWF_MUMBIDA_WF1,1D,2021-06-11 05:00:00,2021-06-14 01:00:00,68.0
MWF_MUMBIDA_WF1,1D,2021-06-15 09:00:00,2021-06-16 17:00:00,32.0
MWF_MUMBIDA_WF1,1D,2021-06-22 06:00:00,2021-06-23 12:00:00,30.0
MWF_MUMBIDA_WF1,1D,2021-06-30 07:00:00,2021-07-01 13:00:00,30.0
MWF_MUMBIDA_WF1,1D,2021-07-16 08:00:00,2021-07-19 12:00:00,76.0
MWF_MUMBIDA_WF1,1D,2021-07-24 11:00:00,2021-07-26 01:00:00,38.0
MWF_MUMBIDA_WF1,1D,2021-08-02 14:00:00,2021-08-03 14:00:00,24.0
MWF_MUMBIDA_WF1,1D,2021-08-17 05:00:00,2021-08-19 03:00:00,46.0
MWF_MUMBIDA_WF1,1D,2021-08-21 08:00:00,2021-08-22 11:00:00,27.0
MWF_MUMBIDA_WF1,2D,2014-03-22 23:00:00,2014-03-24 00:00:00,25.0
MWF_MUMBIDA_WF1,2D,2014-04-24 19:00:00,2014-04-25 21:00:00,26.0
MWF_MUMBIDA_WF1,2D,2014-05-10 07:00:00,2014-05-15 00:00:00,113.0
MWF_MUMBIDA_WF1,2D,2014-05-17 13:00:00,2014-05-22 17:00:00,124.0
MWF_MUMBIDA_WF1,2D,2014-05-26 23:00:00,2014-05-28 17:00:00,42.0
MWF_MUMBIDA_WF1,2D,2014-06-20 01:00:00,2014-06-21 03:00:00,26.0
MWF_MUMBIDA_WF1,2D,2014-07-24 03:00:00,2014-07-25 20:00:00,41.0
MWF_MUMBIDA_WF1,2D,2014-07-28 04:00:00,2014-07-31 17:00:00,85.0
MWF_MUMBIDA_WF1,2D,2014-08-16 00:00:00,2014-08-17 04:00:00,28.0
MWF_MUMBIDA_WF1,2D,2014-08-24 13:00:00,2014-08-29 04:00:00,111.0
MWF_MUMBIDA_WF1,2D,2015-01-19 12:00:00,2015-01-20 13:00:00,25.0
MWF_MUMBIDA_WF1,2D,2015-02-03 23:00:00,2015-02-05 03:00:00,28.0
MWF_MUMBIDA_WF1,2D,2015-02-25 22:00:00,2015-02-27 01:00:00,27.0
MWF_MUMBIDA_WF1,2D,2015-03-16 16:00:00,2015-03-18 01:00:00,33.0
MWF_MUMBIDA_WF1,2D,2015-04-11 21:00:00,2015-04-14 13:00:00,64.0
MWF_MUMBIDA_WF1,2D,2015-06-04 02:00:00,2015-06-06 21:00:00,67.0
MWF_MUMBIDA_WF1,2D,2015-07-03 16:00:00,2015-07-07 23:00:00,103.0
MWF_MUMBIDA_WF1,2D,2015-07-22 17:00:00,2015-07-24 01:00:00,32.0
MWF_MUMBIDA_WF1,2D,2015-07-30 10:00:00,2015-08-01 07:00:00,45.0
MWF_MUMBIDA_WF1,2D,2015-09-29 13:00:00,2015-10-01 02:00:00,37.0
MWF_MUMBIDA_WF1,2D,2015-10-02 10:00:00,2015-10-04 22:00:00,60.0
MWF_MUMBIDA_WF1,2D,2015-10-09 10:00:00,2015-10-10 22:00:00,36.0
MWF_MUMBIDA_WF1,2D,2015-10-29 10:00:00,2015-11-01 08:00:00,70.0
MWF_MUMBIDA_WF1,2D,2015-11-23 02:00:00,2015-11-24 02:00:00,24.0
MWF_MUMBIDA_WF1,2D,2016-01-03 16:00:00,2016-01-11 05:00:00,181.0
MWF_MUMBIDA_WF1,2D,2016-03-21 01:00:00,2016-03-22 22:00:00,45.0
MWF_MUMBIDA_WF1,2D,2016-04-10 21:00:00,2016-04-15 14:00:00,113.0
MWF_MUMBIDA_WF1,2D,2016-04-17 16:00:00,2016-04-19 07:00:00,39.0
MWF_MUMBIDA_WF1,2D,2016-04-28 05:00:00,2016-04-29 15:00:00,34.0
MWF_MUMBIDA_WF1,2D,2016-05-13 00:00:00,2016-05-16 16:00:00,88.0
MWF_MUMBIDA_WF1,2D,2016-05-26 04:00:00,2016-05-29 23:00:00,91.0
MWF_MUMBIDA_WF1,2D,2016-05-30 03:00:00,2016-05-31 11:00:00,32.0
MWF_MUMBIDA_WF1,2D,2016-06-04 05:00:00,2016-06-06 13:00:00,56.0
MWF_MUMBIDA_WF1,2D,2016-06-09 10:00:00,2016-06-10 20:00:00,34.0
MWF_MUMBIDA_WF1,2D,2016-06-15 07:00:00,2016-06-16 22:00:00,39.0
MWF_MUMBIDA_WF1,2D,2016-06-21 20:00:00,2016-06-24 02:00:00,54.0
MWF_MUMBIDA_WF1,2D,2016-06-24 07:00:00,2016-06-25 07:00:00,24.0
MWF_MUMBIDA_WF1,2D,2016-06-25 18:00:00,2016-06-26 18:00:00,24.0
MWF_MUMBIDA_WF1,2D,2016-08-10 09:00:00,2016-08-12 17:00:00,56.0
MWF_MUMBIDA_WF1,2D,2016-08-19 17:00:00,2016-08-21 17:00:00,48.0
MWF_MUMBIDA_WF1,2D,2016-08-30 04:00:00,2016-08-31 06:00:00,26.0
MWF_MUMBIDA_WF1,2D,2017-02-13 18:00:00,2017-02-15 10:00:00,40.0
MWF_MUMBIDA_WF1,2D,2017-03-01 16:00:00,2017-03-03 13:00:00,45.0
MWF_MUMBIDA_WF1,2D,2017-03-05 10:00:00,2017-03-10 08:00:00,118.0
MWF_MUMBIDA_WF1,2D,2017-05-23 05:00:00,2017-05-24 17:00:00,36.0
MWF_MUMBIDA_WF1,2D,2017-06-01 22:00:00,2017-06-03 13:00:00,39.0
MWF_MUMBIDA_WF1,2D,2017-06-15 01:00:00,2017-06-16 13:00:00,36.0
MWF_MUMBIDA_WF1,2D,2017-06-20 02:00:00,2017-06-21 10:00:00,32.0
MWF_MUMBIDA_WF1,2D,2017-07-03 08:00:00,2017-07-05 07:00:00,47.0
MWF_MUMBIDA_WF1,2D,2017-07-14 04:00:00,2017-07-15 15:00:00,35.0
MWF_MUMBIDA_WF1,2D,2017-07-22 13:00:00,2017-07-27 06:00:00,113.0
MWF_MUMBIDA_WF1,2D,2017-08-03 23:00:00,2017-08-08 00:00:00,97.0
MWF_MUMBIDA_WF1,2D,2017-08-18 04:00:00,2017-08-19 05:00:00,25.0
MWF_MUMBIDA_WF1,2D,2017-08-27 19:00:00,2017-09-01 05:00:00,106.0
MWF_MUMBIDA_WF1,2D,2017-09-09 16:00:00,2017-09-11 02:00:00,34.0
MWF_MUMBIDA_WF1,2D,2017-09-15 23:00:00,2017-09-17 07:00:00,32.0
MWF_MUMBIDA_WF1,2D,2017-11-08 22:00:00,2017-11-10 07:00:00,33.0
MWF_MUMBIDA_WF1,2D,2018-04-20 10:00:00,2018-04-22 13:00:00,51.0
MWF_MUMBIDA_WF1,2D,2018-06-07 11:00:00,2018-06-09 07:00:00,44.0
MWF_MUMBIDA_WF1,2D,2018-06-12 04:00:00,2018-06-15 15:00:00,83.0
MWF_MUMBIDA_WF1,2D,2018-06-20 02:00:00,2018-06-22 22:00:00,68.0
MWF_MUMBIDA_WF1,2D,2018-07-10 13:00:00,2018-07-14 07:00:00,90.0
MWF_MUMBIDA_WF1,2D,2018-07-18 03:00:00,2018-07-20 20:00:00,65.0
MWF_MUMBIDA_WF1,2D,2018-07-28 06:00:00,2018-08-01 00:00:00,90.0
MWF_MUMBIDA_WF1,2D,2018-08-06 18:00:00,2018-08-08 13:00:00,43.0
MWF_MUMBIDA_WF1,2D,2018-08-15 22:00:00,2018-08-17 20:00:00,46.0
MWF_MUMBIDA_WF1,2D,2018-08-26 20:00:00,2018-08-27 20:00:00,24.0
MWF_MUMBIDA_WF1,2D,2018-09-01 05:00:00,2018-09-02 15:00:00,34.0
MWF_MUMBIDA_WF1,2D,2018-09-07 04:00:00,2018-09-10 02:00:00,70.0
MWF_MUMBIDA_WF1,2D,2018-09-22 16:00:00,2018-09-24 20:00:00,52.0
MWF_MUMBIDA_WF1,2D,2019-03-18 14:00:00,2019-03-22 10:00:00,92.0
MWF_MUMBIDA_WF1,2D,2019-04-13 19:00:00,2019-04-15 10:00:00,39.0
MWF_MUMBIDA_WF1,2D,2019-05-21 01:00:00,2019-05-22 22:00:00,45.0
MWF_MUMBIDA_WF1,2D,2019-06-13 00:00:00,2019-06-17 11:00:00,107.0
MWF_MUMBIDA_WF1,2D,2019-06-29 18:00:00,2019-07-02 23:00:00,77.0
MWF_MUMBIDA_WF1,2D,2019-07-06 21:00:00,2019-07-11 21:00:00,120.0
MWF_MUMBIDA_WF1,2D,2019-07-18 02:00:00,2019-07-19 05:00:00,27.0
MWF_MUMBIDA_WF1,2D,2019-08-04 07:00:00,2019-08-06 07:00:00,48.0
MWF_MUMBIDA_WF1,2D,2019-09-11 02:00:00,2019-09-14 08:00:00,78.0
MWF_MUMBIDA_WF1,2D,2019-10-10 00:00:00,2019-10-11 17:00:00,41.0
MWF_MUMBIDA_WF1,2D,2019-11-16 02:00:00,2019-11-17 11:00:00,33.0
MWF_MUMBIDA_WF1,2D,2020-02-05 02:00:00,2020-02-07 09:00:00,55.0
MWF_MUMBIDA_WF1,2D,2020-02-24 06:00:00,2020-02-26 02:00:00,44.0
MWF_MUMBIDA_WF1,2D,2020-04-05 23:00:00,2020-04-10 03:00:00,100.0
MWF_MUMBIDA_WF1,2D,2020-04-21 00:00:00,2020-04-23 15:00:00,63.0
MWF_MUMBIDA_WF1,2D,2020-05-27 10:00:00,2020-05-29 00:00:00,38.0
MWF_MUMBIDA_WF1,2D,2020-06-14 09:00:00,2020-06-16 02:00:00,41.0
MWF_MUMBIDA_WF1,2D,2020-07-08 00:00:00,2020-07-09 13:00:00,37.0
MWF_MUMBIDA_WF1,2D,2020-08-13 04:00:00,2020-08-15 06:00:00,50.0
MWF_MUMBIDA_WF1,2D,2020-08-19 08:00:00,2020-08-20 15:00:00,31.0
MWF_MUMBIDA_WF1,2D,2020-08-22 20:00:00,2020-08-24 17:00:00,45.0
MWF_MUMBIDA_WF1,2D,2020-09-04 00:00:00,2020-09-06 03:00:00,51.0
MWF_MUMBIDA_WF1,2D,2020-12-31 22:00:00,2021-01-01 23:00:00,25.0
MWF_MUMBIDA_WF1,2D,2021-03-29 12:00:00,2021-03-31 06:00:00,42.0
MWF_MUMBIDA_WF1,2D,2021-04-23 23:00:00,2021-04-25 10:00:00,35.0
MWF_MUMBIDA_WF1,2D,2021-04-26 16:00:00,2021-04-29 10:00:00,66.0
MWF_MUMBIDA_WF1,2D,2021-05-18 18:00:00,2021-05-20 12:00:00,42.0
MWF_MUMBIDA_WF1,2D,2021-06-12 01:00:00,2021-06-14 05:00:00,52.0
