Windfarm,Scale,Start,End,Duration
OAKLAND1,4h,2014-06-01 08:00:00,2014-06-02 08:00:00,24.0
OAKLAND1,4h,2014-07-19 16:00:00,2014-07-20 19:00:00,27.0
OAKLAND1,4h,2014-07-21 17:00:00,2014-07-22 18:00:00,25.0
OAKLAND1,4h,2014-08-26 04:00:00,2014-08-27 04:00:00,24.0
OAKLAND1,4h,2015-06-02 04:00:00,2015-06-03 11:00:00,31.0
OAKLAND1,4h,2015-06-20 02:00:00,2015-06-21 02:00:00,24.0
OAKLAND1,4h,2015-06-28 14:00:00,2015-06-29 15:00:00,25.0
OAKLAND1,4h,2015-08-07 12:00:00,2015-08-08 14:00:00,26.0
OAKLAND1,4h,2016-07-19 07:00:00,2016-07-20 09:00:00,26.0
OAKLAND1,4h,2017-05-02 17:00:00,2017-05-04 08:00:00,39.0
OAKLAND1,4h,2017-05-09 00:00:00,2017-05-10 03:00:00,27.0
OAKLAND1,4h,2017-05-10 09:00:00,2017-05-11 15:00:00,30.0
OAKLAND1,4h,2017-05-31 21:00:00,2017-06-02 23:00:00,50.0
OAKLAND1,4h,2017-06-09 16:00:00,2017-06-10 17:00:00,25.0
OAKLAND1,4h,2017-07-30 18:00:00,2017-08-01 08:00:00,38.0
OAKLAND1,4h,2018-04-29 17:00:00,2018-04-30 18:00:00,25.0
OAKLAND1,4h,2018-06-24 22:00:00,2018-06-26 05:00:00,31.0
OAKLAND1,4h,2019-05-14 12:00:00,2019-05-15 16:00:00,28.0
OAKLAND1,4h,2019-06-19 03:00:00,2019-06-20 05:00:00,26.0
OAKLAND1,4h,2019-10-21 18:00:00,2019-10-22 18:00:00,24.0
OAKLAND1,4h,2020-05-13 23:00:00,2020-05-15 11:00:00,36.0
OAKLAND1,4h,2020-06-05 03:00:00,2020-06-06 06:00:00,27.0
OAKLAND1,4h,2020-06-07 15:00:00,2020-06-08 22:00:00,31.0
OAKLAND1,4h,2020-06-27 18:00:00,2020-06-28 18:00:00,24.0
OAKLAND1,4h,2020-07-06 15:00:00,2020-07-08 01:00:00,34.0
OAKLAND1,4h,2021-04-27 16:00:00,2021-04-29 15:00:00,47.0
OAKLAND1,4h,2021-06-12 14:00:00,2021-06-13 17:00:00,27.0
OAKLAND1,4h,2021-07-08 22:00:00,2021-07-10 02:00:00,28.0
OAKLAND1,12h,2014-03-27 16:00:00,2014-03-29 08:00:00,40.0
OAKLAND1,12h,2014-06-01 10:00:00,2014-06-02 11:00:00,25.0
OAKLAND1,12h,2014-07-19 07:00:00,2014-07-21 11:00:00,52.0
OAKLAND1,12h,2014-07-21 16:00:00,2014-07-22 23:00:00,31.0
OAKLAND1,12h,2014-08-14 03:00:00,2014-08-15 08:00:00,29.0
OAKLAND1,12h,2014-08-26 03:00:00,2014-08-29 09:00:00,78.0
OAKLAND1,12h,2014-09-12 08:00:00,2014-09-13 12:00:00,28.0
OAKLAND1,12h,2015-06-02 07:00:00,2015-06-03 14:00:00,31.0
OAKLAND1,12h,2015-06-20 02:00:00,2015-06-21 03:00:00,25.0
