Windfarm,Scale,Start,End,Duration
SALTCRK1,12h,2014-03-27 19:00:00,2014-03-29 09:00:00,38.0
SALTCRK1,12h,2014-04-16 00:00:00,2014-04-17 05:00:00,29.0
SALTCRK1,12h,2014-06-04 15:00:00,2014-06-06 09:00:00,42.0
SALTCRK1,12h,2014-07-19 06:00:00,2014-07-23 03:00:00,93.0
SALTCRK1,12h,2014-08-14 01:00:00,2014-08-16 12:00:00,59.0
SALTCRK1,12h,2014-08-26 01:00:00,2014-08-29 10:00:00,81.0
SALTCRK1,12h,2014-09-12 08:00:00,2014-09-13 10:00:00,26.0
SALTCRK1,12h,2015-05-15 21:00:00,2015-05-16 21:00:00,24.0
SALTCRK1,12h,2015-06-02 07:00:00,2015-06-03 14:00:00,31.0
SALTCRK1,12h,2015-06-19 18:00:00,2015-06-21 03:00:00,33.0
SALTCRK1,12h,2015-06-28 15:00:00,2015-06-30 16:00:00,49.0
SALTCRK1,12h,2015-07-18 04:00:00,2015-07-19 18:00:00,38.0
SALTCRK1,12h,2015-08-07 15:00:00,2015-08-08 16:00:00,25.0
SALTCRK1,12h,2015-08-18 04:00:00,2015-08-19 06:00:00,26.0
SALTCRK1,12h,2016-06-04 03:00:00,2016-06-05 03:00:00,24.0
SALTCRK1,12h,2016-07-19 10:00:00,2016-07-20 15:00:00,29.0
SALTCRK1,12h,2017-04-23 19:00:00,2017-04-24 19:00:00,24.0
SALTCRK1,12h,2017-05-02 18:00:00,2017-05-04 12:00:00,42.0
SALTCRK1,12h,2017-05-08 20:00:00,2017-05-11 18:00:00,70.0
SALTCRK1,12h,2017-06-01 04:00:00,2017-06-04 11:00:00,79.0
SALTCRK1,12h,2017-06-09 19:00:00,2017-06-10 19:00:00,24.0
SALTCRK1,12h,2017-06-12 19:00:00,2017-06-13 19:00:00,24.0
SALTCRK1,12h,2017-06-15 16:00:00,2017-06-17 09:00:00,41.0
SALTCRK1,12h,2017-07-31 01:00:00,2017-08-01 08:00:00,31.0
SALTCRK1,12h,2017-10-22 21:00:00,2017-10-24 09:00:00,36.0
SALTCRK1,12h,2018-03-30 22:00:00,2018-04-01 02:00:00,28.0
SALTCRK1,12h,2018-04-18 10:00:00,2018-04-19 10:00:00,24.0
SALTCRK1,12h,2018-06-03 04:00:00,2018-06-04 05:00:00,25.0
SALTCRK1,12h,2018-06-25 06:00:00,2018-06-26 14:00:00,32.0
SALTCRK1,12h,2018-06-26 20:00:00,2018-06-28 14:00:00,42.0
