Windfarm,Scale,Start,End,Duration
SAPHWF1,12h,2014-04-22 18:00:00,2014-04-24 01:00:00,31.0
SAPHWF1,12h,2014-04-29 19:00:00,2014-05-01 03:00:00,32.0
SAPHWF1,12h,2014-05-19 02:00:00,2014-05-20 18:00:00,40.0
SAPHWF1,12h,2014-06-21 17:00:00,2014-06-23 02:00:00,33.0
SAPHWF1,12h,2014-07-03 00:00:00,2014-07-04 01:00:00,25.0
SAPHWF1,12h,2014-08-30 13:00:00,2014-09-01 00:00:00,35.0
SAPHWF1,12h,2015-01-11 04:00:00,2015-01-12 06:00:00,26.0
SAPHWF1,12h,2015-04-15 05:00:00,2015-04-16 11:00:00,30.0
SAPHWF1,12h,2015-05-02 17:00:00,2015-05-05 01:00:00,56.0
SAPHWF1,12h,2015-05-25 10:00:00,2015-05-29 00:00:00,86.0
SAPHWF1,12h,2015-06-03 02:00:00,2015-06-04 04:00:00,26.0
SAPHWF1,12h,2015-06-07 20:00:00,2015-06-09 01:00:00,29.0
SAPHWF1,12h,2015-06-27 10:00:00,2015-06-28 11:00:00,25.0
SAPHWF1,12h,2015-07-30 21:00:00,2015-08-01 03:00:00,30.0
SAPHWF1,12h,2015-08-07 01:00:00,2015-08-08 12:00:00,35.0
SAPHWF1,12h,2016-01-11 06:00:00,2016-01-12 19:00:00,37.0
SAPHWF1,12h,2016-05-01 15:00:00,2016-05-02 16:00:00,25.0
SAPHWF1,12h,2016-05-04 19:00:00,2016-05-06 11:00:00,40.0
SAPHWF1,12h,2016-05-13 05:00:00,2016-05-14 06:00:00,25.0
SAPHWF1,12h,2016-07-18 10:00:00,2016-07-20 02:00:00,40.0
SAPHWF1,12h,2016-07-29 19:00:00,2016-07-31 02:00:00,31.0
SAPHWF1,12h,2016-11-03 06:00:00,2016-11-04 09:00:00,27.0
SAPHWF1,12h,2017-03-22 03:00:00,2017-03-23 08:00:00,29.0
SAPHWF1,12h,2017-04-16 07:00:00,2017-04-17 09:00:00,26.0
SAPHWF1,12h,2017-05-20 05:00:00,2017-05-21 13:00:00,32.0
SAPHWF1,12h,2017-05-25 05:00:00,2017-05-26 12:00:00,31.0
SAPHWF1,12h,2017-07-09 19:00:00,2017-07-11 08:00:00,37.0
SAPHWF1,12h,2017-07-15 13:00:00,2017-07-16 13:00:00,24.0
SAPHWF1,12h,2017-09-01 06:00:00,2017-09-02 22:00:00,40.0
SAPHWF1,12h,2018-03-03 18:00:00,2018-03-05 10:00:00,40.0
SAPHWF1,12h,2018-07-14 02:00:00,2018-07-15 04:00:00,26.0
SAPHWF1,12h,2018-10-05 00:00:00,2018-10-06 08:00:00,32.0
SAPHWF1,12h,2019-04-06 20:00:00,2019-04-08 16:00:00,44.0
SAPHWF1,12h,2019-06-08 18:00:00,2019-06-10 00:00:00,30.0
SAPHWF1,12h,2019-07-01 10:00:00,2019-07-02 14:00:00,28.0
SAPHWF1,12h,2020-01-28 04:00:00,2020-01-29 08:00:00,28.0
SAPHWF1,12h,2020-04-20 17:00:00,2020-04-21 23:00:00,30.0
SAPHWF1,12h,2020-06-05 07:00:00,2020-06-08 07:00:00,72.0
SAPHWF1,12h,2020-06-30 12:00:00,2020-07-01 18:00:00,30.0
SAPHWF1,12h,2020-08-01 03:00:00,2020-08-02 13:00:00,34.0
SAPHWF1,12h,2020-10-15 08:00:00,2020-10-16 08:00:00,24.0
SAPHWF1,12h,2021-03-01 01:00:00,2021-03-02 02:00:00,25.0
SAPHWF1,12h,2021-04-23 22:00:00,2021-04-25 07:00:00,33.0
SAPHWF1,12h,2021-05-07 18:00:00,2021-05-10 02:00:00,56.0
SAPHWF1,12h,2021-05-11 17:00:00,2021-05-13 00:00:00,31.0
SAPHWF1,12h,2021-06-01 02:00:00,2021-06-02 12:00:00,34.0
SAPHWF1,12h,2021-06-05 06:00:00,2021-06-06 11:00:00,29.0
SAPHWF1,12h,2021-06-13 17:00:00,2021-06-16 04:00:00,59.0
SAPHWF1,12h,2021-12-19 19:00:00,2021-12-22 07:00:00,60.0
SAPHWF1,1D,2014-04-02 14:00:00,2014-04-06 05:00:00,87.0
SAPHWF1,1D,2014-04-23 02:00:00,2014-04-25 08:00:00,54.0
SAPHWF1,1D,2014-04-29 19:00:00,2014-05-02 03:00:00,56.0
SAPHWF1,1D,2014-05-10 18:00:00,2014-05-11 18:00:00,24.0
SAPHWF1,1D,2014-05-19 12:00:00,2014-05-21 07:00:00,43.0
SAPHWF1,1D,2014-05-22 18:00:00,2014-05-26 12:00:00,90.0
SAPHWF1,1D,2014-06-03 01:00:00,2014-06-04 15:00:00,38.0
SAPHWF1,1D,2014-06-21 19:00:00,2014-06-23 03:00:00,32.0
SAPHWF1,1D,2014-07-01 20:00:00,2014-07-04 03:00:00,55.0
SAPHWF1,1D,2014-08-06 10:00:00,2014-08-07 14:00:00,28.0
SAPHWF1,1D,2014-08-30 16:00:00,2014-09-01 03:00:00,35.0
SAPHWF1,1D,2014-09-28 20:00:00,2014-09-30 05:00:00,33.0
SAPHWF1,1D,2014-10-05 04:00:00,2014-10-06 06:00:00,26.0
SAPHWF1,1D,2015-04-15 13:00:00,2015-04-17 06:00:00,41.0
SAPHWF1,1D,2015-04-20 00:00:00,2015-04-21 01:00:00,25.0
SAPHWF1,1D,2015-04-22 16:00:00,2015-04-24 02:00:00,34.0
SAPHWF1,1D,2015-05-03 03:00:00,2015-05-05 04:00:00,49.0
SAPHWF1,1D,2015-05-19 22:00:00,2015-05-21 06:00:00,32.0
SAPHWF1,1D,2015-05-25 17:00:00,2015-05-29 02:00:00,81.0
SAPHWF1,1D,2015-06-02 10:00:00,2015-06-05 01:00:00,63.0
SAPHWF1,1D,2015-06-08 00:00:00,2015-06-09 04:00:00,28.0
SAPHWF1,1D,2015-06-30 18:00:00,2015-07-02 00:00:00,30.0
SAPHWF1,1D,2015-07-30 17:00:00,2015-08-01 19:00:00,50.0
SAPHWF1,1D,2015-08-07 10:00:00,2015-08-08 14:00:00,28.0
SAPHWF1,1D,2015-08-29 04:00:00,2015-08-30 08:00:00,28.0
SAPHWF1,1D,2016-01-11 15:00:00,2016-01-14 05:00:00,62.0
SAPHWF1,1D,2016-01-20 12:00:00,2016-01-21 22:00:00,34.0
SAPHWF1,1D,2016-04-08 20:00:00,2016-04-10 05:00:00,33.0
SAPHWF1,1D,2016-05-04 17:00:00,2016-05-07 07:00:00,62.0
SAPHWF1,1D,2016-05-13 15:00:00,2016-05-15 05:00:00,38.0
SAPHWF1,1D,2016-05-16 03:00:00,2016-05-18 04:00:00,49.0
SAPHWF1,1D,2016-07-18 19:00:00,2016-07-20 04:00:00,33.0
SAPHWF1,1D,2016-07-28 17:00:00,2016-08-01 18:00:00,97.0
SAPHWF1,1D,2016-08-06 19:00:00,2016-08-08 11:00:00,40.0
SAPHWF1,1D,2016-08-27 19:00:00,2016-08-29 11:00:00,40.0
SAPHWF1,1D,2016-09-11 14:00:00,2016-09-12 16:00:00,26.0
SAPHWF1,1D,2016-10-25 03:00:00,2016-10-27 13:00:00,58.0
SAPHWF1,1D,2016-11-03 13:00:00,2016-11-04 21:00:00,32.0
SAPHWF1,1D,2016-12-29 14:00:00,2016-12-30 18:00:00,28.0
SAPHWF1,1D,2017-01-30 16:00:00,2017-02-02 01:00:00,57.0
SAPHWF1,1D,2017-02-05 11:00:00,2017-02-06 11:00:00,24.0
SAPHWF1,1D,2017-03-22 02:00:00,2017-03-23 10:00:00,32.0
SAPHWF1,1D,2017-05-01 17:00:00,2017-05-03 08:00:00,39.0
SAPHWF1,1D,2017-05-20 15:00:00,2017-05-21 19:00:00,28.0
SAPHWF1,1D,2017-05-22 14:00:00,2017-05-24 02:00:00,36.0
SAPHWF1,1D,2017-05-25 14:00:00,2017-05-27 01:00:00,35.0
SAPHWF1,1D,2017-06-04 18:00:00,2017-06-06 01:00:00,31.0
SAPHWF1,1D,2017-06-25 08:00:00,2017-06-26 15:00:00,31.0
SAPHWF1,1D,2017-07-01 19:00:00,2017-07-03 01:00:00,30.0
SAPHWF1,1D,2017-07-09 11:00:00,2017-07-11 10:00:00,47.0
SAPHWF1,1D,2017-07-15 22:00:00,2017-07-17 02:00:00,28.0
SAPHWF1,1D,2017-08-28 22:00:00,2017-08-30 01:00:00,27.0
SAPHWF1,1D,2017-09-01 15:00:00,2017-09-03 00:00:00,33.0
SAPHWF1,1D,2017-12-04 03:00:00,2017-12-05 06:00:00,27.0
SAPHWF1,1D,2017-12-18 18:00:00,2017-12-19 21:00:00,27.0
SAPHWF1,1D,2018-03-04 01:00:00,2018-03-05 11:00:00,34.0
SAPHWF1,1D,2018-04-24 19:00:00,2018-04-25 23:00:00,28.0
SAPHWF1,1D,2018-05-02 19:00:00,2018-05-03 19:00:00,24.0
SAPHWF1,1D,2018-06-22 20:00:00,2018-06-24 12:00:00,40.0
SAPHWF1,1D,2018-06-28 17:00:00,2018-06-30 21:00:00,52.0
SAPHWF1,1D,2018-07-14 11:00:00,2018-07-16 00:00:00,37.0
SAPHWF1,1D,2018-10-05 03:00:00,2018-10-06 14:00:00,35.0
SAPHWF1,1D,2018-10-07 09:00:00,2018-10-08 12:00:00,27.0
SAPHWF1,1D,2019-04-07 04:00:00,2019-04-08 19:00:00,39.0
SAPHWF1,1D,2019-05-24 17:00:00,2019-05-26 00:00:00,31.0
SAPHWF1,1D,2019-06-09 03:00:00,2019-06-10 03:00:00,24.0
SAPHWF1,1D,2019-07-08 16:00:00,2019-07-09 23:00:00,31.0
SAPHWF1,1D,2019-07-22 02:00:00,2019-07-23 02:00:00,24.0
SAPHWF1,1D,2020-02-26 14:00:00,2020-02-28 09:00:00,43.0
SAPHWF1,1D,2020-03-01 16:00:00,2020-03-03 02:00:00,34.0
SAPHWF1,1D,2020-04-14 14:00:00,2020-04-16 03:00:00,37.0
SAPHWF1,1D,2020-04-20 07:00:00,2020-04-22 01:00:00,42.0
SAPHWF1,1D,2020-05-13 01:00:00,2020-05-14 11:00:00,34.0
SAPHWF1,1D,2020-05-26 07:00:00,2020-05-28 19:00:00,60.0
SAPHWF1,1D,2020-06-05 14:00:00,2020-06-08 09:00:00,67.0
SAPHWF1,1D,2020-06-15 06:00:00,2020-06-16 22:00:00,40.0
SAPHWF1,1D,2020-06-30 21:00:00,2020-07-02 00:00:00,27.0
SAPHWF1,1D,2020-08-01 13:00:00,2020-08-03 21:00:00,56.0
SAPHWF1,1D,2021-02-28 14:00:00,2021-03-02 08:00:00,42.0
SAPHWF1,1D,2021-04-13 20:00:00,2021-04-16 08:00:00,60.0
SAPHWF1,1D,2021-04-23 19:00:00,2021-04-25 11:00:00,40.0
SAPHWF1,1D,2021-05-07 07:00:00,2021-05-11 00:00:00,89.0
SAPHWF1,1D,2021-05-12 01:00:00,2021-05-13 05:00:00,28.0
SAPHWF1,1D,2021-05-31 14:00:00,2021-06-02 23:00:00,57.0
SAPHWF1,1D,2021-06-05 15:00:00,2021-06-06 15:00:00,24.0
SAPHWF1,1D,2021-06-13 21:00:00,2021-06-16 08:00:00,59.0
SAPHWF1,1D,2021-07-02 18:00:00,2021-07-05 03:00:00,57.0
SAPHWF1,1D,2021-08-13 18:00:00,2021-08-15 02:00:00,32.0
SAPHWF1,1D,2021-09-08 22:00:00,2021-09-10 03:00:00,29.0
SAPHWF1,1D,2021-12-19 13:00:00,2021-12-22 10:00:00,69.0
SAPHWF1,2D,2014-04-02 18:00:00,2014-04-06 10:00:00,88.0
SAPHWF1,2D,2014-04-23 01:00:00,2014-04-25 10:00:00,57.0
SAPHWF1,2D,2014-04-30 12:00:00,2014-05-02 07:00:00,43.0
SAPHWF1,2D,2014-05-19 21:00:00,2014-05-21 13:00:00,40.0
SAPHWF1,2D,2014-05-23 12:00:00,2014-05-26 23:00:00,83.0
SAPHWF1,2D,2014-06-03 13:00:00,2014-06-04 19:00:00,30.0
SAPHWF1,2D,2014-06-22 02:00:00,2014-06-23 11:00:00,33.0
SAPHWF1,2D,2014-07-02 17:00:00,2014-07-05 02:00:00,57.0
SAPHWF1,2D,2014-07-29 01:00:00,2014-07-31 12:00:00,59.0
SAPHWF1,2D,2014-08-06 16:00:00,2014-08-07 19:00:00,27.0
SAPHWF1,2D,2014-08-31 04:00:00,2014-09-01 16:00:00,36.0
SAPHWF1,2D,2014-09-29 14:00:00,2014-09-30 14:00:00,24.0
SAPHWF1,2D,2015-04-15 14:00:00,2015-04-17 10:00:00,44.0
SAPHWF1,2D,2015-04-23 05:00:00,2015-04-25 03:00:00,46.0
SAPHWF1,2D,2015-05-03 23:00:00,2015-05-06 03:00:00,52.0
SAPHWF1,2D,2015-05-20 16:00:00,2015-05-21 20:00:00,28.0
SAPHWF1,2D,2015-05-25 19:00:00,2015-05-31 00:00:00,125.0
SAPHWF1,2D,2015-06-03 08:00:00,2015-06-05 09:00:00,49.0
SAPHWF1,2D,2015-06-08 20:00:00,2015-06-10 01:00:00,29.0
SAPHWF1,2D,2015-06-23 19:00:00,2015-06-25 14:00:00,43.0
SAPHWF1,2D,2015-07-04 15:00:00,2015-07-06 00:00:00,33.0
SAPHWF1,2D,2015-07-30 13:00:00,2015-08-02 03:00:00,62.0
SAPHWF1,2D,2015-08-29 23:00:00,2015-09-01 03:00:00,52.0
SAPHWF1,2D,2015-09-01 11:00:00,2015-09-02 11:00:00,24.0
SAPHWF1,2D,2015-09-05 20:00:00,2015-09-07 03:00:00,31.0
SAPHWF1,2D,2015-09-28 00:00:00,2015-09-29 02:00:00,26.0
SAPHWF1,2D,2015-11-18 17:00:00,2015-11-21 01:00:00,56.0
SAPHWF1,2D,2015-12-15 12:00:00,2015-12-16 16:00:00,28.0
SAPHWF1,2D,2016-01-12 10:00:00,2016-01-15 06:00:00,68.0
SAPHWF1,2D,2016-01-20 12:00:00,2016-01-22 09:00:00,45.0
SAPHWF1,2D,2016-04-09 14:00:00,2016-04-12 10:00:00,68.0
SAPHWF1,2D,2016-05-01 15:00:00,2016-05-03 05:00:00,38.0
SAPHWF1,2D,2016-05-05 08:00:00,2016-05-07 15:00:00,55.0
SAPHWF1,2D,2016-05-14 11:00:00,2016-05-19 07:00:00,116.0
SAPHWF1,2D,2016-07-09 01:00:00,2016-07-10 13:00:00,36.0
SAPHWF1,2D,2016-07-19 15:00:00,2016-07-21 07:00:00,40.0
SAPHWF1,2D,2016-07-29 14:00:00,2016-08-02 01:00:00,83.0
SAPHWF1,2D,2016-08-07 14:00:00,2016-08-09 19:00:00,53.0
SAPHWF1,2D,2016-08-13 03:00:00,2016-08-14 08:00:00,29.0
SAPHWF1,2D,2016-08-28 07:00:00,2016-08-29 16:00:00,33.0
SAPHWF1,2D,2016-09-12 06:00:00,2016-09-13 11:00:00,29.0
SAPHWF1,2D,2016-10-25 04:00:00,2016-10-28 09:00:00,77.0
SAPHWF1,2D,2016-11-03 22:00:00,2016-11-04 23:00:00,25.0
SAPHWF1,2D,2016-12-30 10:00:00,2016-12-31 16:00:00,30.0
SAPHWF1,2D,2017-01-10 13:00:00,2017-01-12 09:00:00,44.0
SAPHWF1,2D,2017-01-31 10:00:00,2017-02-02 10:00:00,48.0
SAPHWF1,2D,2017-02-05 14:00:00,2017-02-06 19:00:00,29.0
SAPHWF1,2D,2017-03-11 09:00:00,2017-03-12 10:00:00,25.0
SAPHWF1,2D,2017-03-22 20:00:00,2017-03-24 08:00:00,36.0
