Windfarm,Scale,Start,End,Duration
SNOWSTH1,4h,2015-06-15 06:00:00,2015-06-16 08:00:00,26.0
SNOWSTH1,4h,2015-07-27 12:00:00,2015-07-28 13:00:00,25.0
SNOWSTH1,4h,2015-08-06 12:00:00,2015-08-07 13:00:00,25.0
SNOWSTH1,4h,2016-05-19 12:00:00,2016-05-20 12:00:00,24.0
SNOWSTH1,4h,2016-07-06 18:00:00,2016-07-07 20:00:00,26.0
SNOWSTH1,4h,2017-04-28 13:00:00,2017-04-29 18:00:00,29.0
SNOWSTH1,4h,2017-05-10 03:00:00,2017-05-11 09:00:00,30.0
SNOWSTH1,4h,2017-06-03 04:00:00,2017-06-05 05:00:00,49.0
SNOWSTH1,4h,2018-06-02 02:00:00,2018-06-03 02:00:00,24.0
SNOWSTH1,4h,2019-05-11 14:00:00,2019-05-12 15:00:00,25.0
SNOWSTH1,4h,2019-06-18 10:00:00,2019-06-19 14:00:00,28.0
SNOWSTH1,4h,2020-06-09 03:00:00,2020-06-10 11:00:00,32.0
SNOWSTH1,4h,2021-07-04 12:00:00,2021-07-05 13:00:00,25.0
SNOWSTH1,4h,2021-08-06 13:00:00,2021-08-07 17:00:00,28.0
SNOWSTH1,4h,2021-08-12 11:00:00,2021-08-13 15:00:00,28.0
SNOWSTH1,12h,2014-04-19 07:00:00,2014-04-20 12:00:00,29.0
SNOWSTH1,12h,2014-04-22 23:00:00,2014-04-24 06:00:00,31.0
SNOWSTH1,12h,2014-04-30 02:00:00,2014-05-01 02:00:00,24.0
SNOWSTH1,12h,2014-05-10 15:00:00,2014-05-12 00:00:00,33.0
SNOWSTH1,12h,2014-05-22 23:00:00,2014-05-24 01:00:00,26.0
SNOWSTH1,12h,2014-06-30 17:00:00,2014-07-02 12:00:00,43.0
SNOWSTH1,12h,2014-08-01 20:00:00,2014-08-05 08:00:00,84.0
SNOWSTH1,12h,2014-08-06 22:00:00,2014-08-08 01:00:00,27.0
SNOWSTH1,12h,2015-06-15 03:00:00,2015-06-16 13:00:00,34.0
SNOWSTH1,12h,2015-06-26 15:00:00,2015-06-28 11:00:00,44.0
SNOWSTH1,12h,2015-07-02 23:00:00,2015-07-04 04:00:00,29.0
SNOWSTH1,12h,2015-07-07 01:00:00,2015-07-08 03:00:00,26.0
SNOWSTH1,12h,2015-07-26 23:00:00,2015-07-28 15:00:00,40.0
SNOWSTH1,12h,2015-08-06 09:00:00,2015-08-07 21:00:00,36.0
SNOWSTH1,12h,2015-08-13 16:00:00,2015-08-15 11:00:00,43.0
SNOWSTH1,12h,2015-08-15 21:00:00,2015-08-17 05:00:00,32.0
SNOWSTH1,12h,2016-04-07 00:00:00,2016-04-08 10:00:00,34.0
SNOWSTH1,12h,2016-05-17 00:00:00,2016-05-18 12:00:00,36.0
SNOWSTH1,12h,2016-07-06 22:00:00,2016-07-08 16:00:00,42.0
SNOWSTH1,12h,2016-09-03 23:00:00,2016-09-05 03:00:00,28.0
SNOWSTH1,12h,2016-09-10 01:00:00,2016-09-11 03:00:00,26.0
SNOWSTH1,12h,2017-04-27 18:00:00,2017-04-30 03:00:00,57.0
SNOWSTH1,12h,2017-05-10 09:00:00,2017-05-12 07:00:00,46.0
SNOWSTH1,12h,2017-06-03 06:00:00,2017-06-05 10:00:00,52.0
SNOWSTH1,12h,2017-06-06 23:00:00,2017-06-08 09:00:00,34.0
SNOWSTH1,12h,2017-06-11 19:00:00,2017-06-13 12:00:00,41.0
SNOWSTH1,12h,2017-06-15 02:00:00,2017-06-16 03:00:00,25.0
SNOWSTH1,12h,2017-06-17 22:00:00,2017-06-19 16:00:00,42.0
SNOWSTH1,12h,2017-06-20 11:00:00,2017-06-21 11:00:00,24.0
SNOWSTH1,12h,2017-06-25 19:00:00,2017-06-28 06:00:00,59.0
SNOWSTH1,12h,2018-06-02 02:00:00,2018-06-03 07:00:00,29.0
SNOWSTH1,12h,2018-06-20 20:00:00,2018-06-21 23:00:00,27.0
SNOWSTH1,12h,2018-06-22 04:00:00,2018-06-23 17:00:00,37.0
SNOWSTH1,12h,2018-06-30 11:00:00,2018-07-01 15:00:00,28.0
SNOWSTH1,12h,2018-09-20 20:00:00,2018-09-21 20:00:00,24.0
SNOWSTH1,12h,2019-05-21 10:00:00,2019-05-22 15:00:00,29.0
SNOWSTH1,12h,2019-06-18 15:00:00,2019-06-19 20:00:00,29.0
SNOWSTH1,12h,2019-07-07 19:00:00,2019-07-08 23:00:00,28.0
SNOWSTH1,12h,2020-05-09 23:00:00,2020-05-11 12:00:00,37.0
SNOWSTH1,12h,2020-06-05 07:00:00,2020-06-06 10:00:00,27.0
