Windfarm,Scale,Start,End,Duration
STARHLWF,12h,2014-02-16 22:00:00,2014-02-17 23:00:00,25.0
STARHLWF,12h,2014-03-27 03:00:00,2014-03-28 03:00:00,24.0
STARHLWF,12h,2014-04-18 21:00:00,2014-04-20 00:00:00,27.0
STARHLWF,12h,2014-06-04 11:00:00,2014-06-06 20:00:00,57.0
STARHLWF,12h,2014-06-30 23:00:00,2014-07-02 00:00:00,25.0
STARHLWF,12h,2014-07-21 05:00:00,2014-07-22 13:00:00,32.0
STARHLWF,12h,2014-08-03 16:00:00,2014-08-06 00:00:00,56.0
STARHLWF,12h,2014-08-06 19:00:00,2014-08-08 16:00:00,45.0
STARHLWF,12h,2014-08-18 00:00:00,2014-08-19 00:00:00,24.0
STARHLWF,12h,2014-08-27 01:00:00,2014-08-28 04:00:00,27.0
STARHLWF,12h,2014-09-11 19:00:00,2014-09-13 02:00:00,31.0
STARHLWF,12h,2015-03-09 23:00:00,2015-03-10 23:00:00,24.0
STARHLWF,12h,2015-03-27 17:00:00,2015-03-30 09:00:00,64.0
STARHLWF,12h,2015-06-12 14:00:00,2015-06-14 01:00:00,35.0
STARHLWF,12h,2015-06-15 14:00:00,2015-06-16 19:00:00,29.0
STARHLWF,12h,2015-06-26 17:00:00,2015-06-30 22:00:00,101.0
STARHLWF,12h,2015-08-06 16:00:00,2015-08-08 00:00:00,32.0
STARHLWF,12h,2015-08-14 13:00:00,2015-08-16 01:00:00,36.0
STARHLWF,12h,2015-10-30 00:00:00,2015-11-01 05:00:00,53.0
STARHLWF,12h,2016-04-06 23:00:00,2016-04-09 03:00:00,52.0
STARHLWF,12h,2016-04-14 05:00:00,2016-04-15 06:00:00,25.0
STARHLWF,12h,2016-06-01 01:00:00,2016-06-02 09:00:00,32.0
STARHLWF,12h,2016-07-07 02:00:00,2016-07-08 03:00:00,25.0
STARHLWF,12h,2016-08-05 12:00:00,2016-08-06 13:00:00,25.0
STARHLWF,12h,2016-08-21 19:00:00,2016-08-23 00:00:00,29.0
STARHLWF,12h,2016-09-05 12:00:00,2016-09-06 12:00:00,24.0
STARHLWF,12h,2017-04-20 13:00:00,2017-04-22 05:00:00,40.0
STARHLWF,12h,2017-04-28 19:00:00,2017-04-30 00:00:00,29.0
STARHLWF,12h,2017-05-10 14:00:00,2017-05-11 22:00:00,32.0
STARHLWF,12h,2017-05-31 23:00:00,2017-06-04 22:00:00,95.0
STARHLWF,12h,2017-06-06 16:00:00,2017-06-08 04:00:00,36.0
STARHLWF,12h,2017-06-09 20:00:00,2017-06-11 02:00:00,30.0
STARHLWF,12h,2017-06-12 15:00:00,2017-06-13 15:00:00,24.0
STARHLWF,12h,2017-06-14 21:00:00,2017-06-16 05:00:00,32.0
STARHLWF,12h,2017-06-16 22:00:00,2017-06-19 22:00:00,72.0
STARHLWF,12h,2017-06-23 10:00:00,2017-06-24 18:00:00,32.0
STARHLWF,12h,2017-06-26 01:00:00,2017-06-27 05:00:00,28.0
STARHLWF,12h,2017-06-27 16:00:00,2017-06-28 16:00:00,24.0
STARHLWF,12h,2017-07-04 20:00:00,2017-07-05 21:00:00,25.0
STARHLWF,12h,2017-08-24 22:00:00,2017-08-26 02:00:00,28.0
STARHLWF,12h,2017-08-28 00:00:00,2017-08-30 08:00:00,56.0
STARHLWF,12h,2017-09-09 01:00:00,2017-09-10 02:00:00,25.0
STARHLWF,12h,2017-10-01 08:00:00,2017-10-02 09:00:00,25.0
STARHLWF,12h,2018-03-30 20:00:00,2018-04-01 06:00:00,34.0
STARHLWF,12h,2018-04-18 07:00:00,2018-04-19 08:00:00,25.0
STARHLWF,12h,2018-05-13 23:00:00,2018-05-14 23:00:00,24.0
STARHLWF,12h,2018-06-01 15:00:00,2018-06-04 04:00:00,61.0
STARHLWF,12h,2018-06-20 17:00:00,2018-06-22 03:00:00,34.0
STARHLWF,12h,2018-07-12 08:00:00,2018-07-13 13:00:00,29.0
STARHLWF,12h,2018-09-21 14:00:00,2018-09-22 22:00:00,32.0
STARHLWF,12h,2019-03-26 19:00:00,2019-03-28 00:00:00,29.0
STARHLWF,12h,2019-05-13 21:00:00,2019-05-15 13:00:00,40.0
STARHLWF,12h,2019-06-05 03:00:00,2019-06-06 21:00:00,42.0
STARHLWF,12h,2019-07-27 13:00:00,2019-07-28 16:00:00,27.0
STARHLWF,12h,2019-08-02 19:00:00,2019-08-03 22:00:00,27.0
STARHLWF,12h,2019-08-25 20:00:00,2019-08-27 02:00:00,30.0
STARHLWF,12h,2019-09-03 15:00:00,2019-09-04 21:00:00,30.0
STARHLWF,12h,2019-09-12 15:00:00,2019-09-14 03:00:00,36.0
STARHLWF,12h,2019-09-23 14:00:00,2019-09-25 08:00:00,42.0
STARHLWF,12h,2019-09-28 02:00:00,2019-09-29 05:00:00,27.0
STARHLWF,12h,2019-11-23 23:00:00,2019-11-25 03:00:00,28.0
STARHLWF,12h,2019-12-14 02:00:00,2019-12-15 04:00:00,26.0
STARHLWF,12h,2020-04-06 01:00:00,2020-04-07 03:00:00,26.0
STARHLWF,12h,2020-05-03 03:00:00,2020-05-04 11:00:00,32.0
STARHLWF,12h,2020-05-13 18:00:00,2020-05-15 17:00:00,47.0
STARHLWF,12h,2020-06-03 19:00:00,2020-06-06 03:00:00,56.0
STARHLWF,12h,2020-06-09 01:00:00,2020-06-11 19:00:00,66.0
STARHLWF,12h,2020-07-05 13:00:00,2020-07-07 11:00:00,46.0
STARHLWF,12h,2020-07-13 01:00:00,2020-07-14 11:00:00,34.0
STARHLWF,12h,2020-07-20 14:00:00,2020-07-23 04:00:00,62.0
STARHLWF,12h,2020-07-29 14:00:00,2020-07-30 22:00:00,32.0
STARHLWF,12h,2020-08-23 21:00:00,2020-08-25 10:00:00,37.0
STARHLWF,12h,2021-03-27 18:00:00,2021-03-29 07:00:00,37.0
STARHLWF,12h,2021-04-24 10:00:00,2021-04-26 12:00:00,50.0
STARHLWF,12h,2021-04-27 03:00:00,2021-04-30 00:00:00,69.0
STARHLWF,12h,2021-06-11 02:00:00,2021-06-12 04:00:00,26.0
STARHLWF,12h,2021-06-12 16:00:00,2021-06-13 23:00:00,31.0
STARHLWF,12h,2021-06-19 18:00:00,2021-06-21 01:00:00,31.0
STARHLWF,12h,2021-08-17 02:00:00,2021-08-18 19:00:00,41.0
STARHLWF,12h,2021-11-08 01:00:00,2021-11-09 04:00:00,27.0
STARHLWF,1D,2014-04-08 17:00:00,2014-04-09 21:00:00,28.0
STARHLWF,1D,2014-04-16 11:00:00,2014-04-17 12:00:00,25.0
STARHLWF,1D,2014-04-19 06:00:00,2014-04-20 14:00:00,32.0
STARHLWF,1D,2014-05-19 19:00:00,2014-05-21 02:00:00,31.0
STARHLWF,1D,2014-05-22 19:00:00,2014-05-24 03:00:00,32.0
STARHLWF,1D,2014-06-04 20:00:00,2014-06-07 03:00:00,55.0
STARHLWF,1D,2014-07-18 20:00:00,2014-07-22 16:00:00,92.0
STARHLWF,1D,2014-08-04 01:00:00,2014-08-06 06:00:00,53.0
STARHLWF,1D,2014-08-07 01:00:00,2014-08-09 05:00:00,52.0
STARHLWF,1D,2014-08-18 08:00:00,2014-08-19 12:00:00,28.0
STARHLWF,1D,2014-08-26 17:00:00,2014-08-29 23:00:00,78.0
STARHLWF,1D,2014-09-12 02:00:00,2014-09-13 13:00:00,35.0
STARHLWF,1D,2014-10-15 08:00:00,2014-10-16 08:00:00,24.0
STARHLWF,1D,2014-10-29 06:00:00,2014-10-30 20:00:00,38.0
STARHLWF,1D,2015-03-27 19:00:00,2015-03-30 11:00:00,64.0
STARHLWF,1D,2015-05-24 10:00:00,2015-05-26 16:00:00,54.0
STARHLWF,1D,2015-06-01 14:00:00,2015-06-02 19:00:00,29.0
STARHLWF,1D,2015-06-12 16:00:00,2015-06-14 06:00:00,38.0
STARHLWF,1D,2015-06-15 21:00:00,2015-06-17 05:00:00,32.0
STARHLWF,1D,2015-06-27 03:00:00,2015-07-01 01:00:00,94.0
STARHLWF,1D,2015-07-03 02:00:00,2015-07-04 20:00:00,42.0
STARHLWF,1D,2015-08-06 22:00:00,2015-08-08 02:00:00,28.0
STARHLWF,1D,2015-08-14 16:00:00,2015-08-16 11:00:00,43.0
STARHLWF,1D,2015-09-04 08:00:00,2015-09-05 14:00:00,30.0
STARHLWF,1D,2015-09-17 14:00:00,2015-09-19 19:00:00,53.0
STARHLWF,1D,2015-09-26 18:00:00,2015-09-28 00:00:00,30.0
STARHLWF,1D,2015-09-30 22:00:00,2015-10-01 22:00:00,24.0
STARHLWF,1D,2015-10-30 06:00:00,2015-11-02 03:00:00,69.0
STARHLWF,1D,2015-11-07 07:00:00,2015-11-08 18:00:00,35.0
STARHLWF,1D,2015-11-27 12:00:00,2015-11-29 11:00:00,47.0
STARHLWF,1D,2016-03-30 07:00:00,2016-03-31 18:00:00,35.0
STARHLWF,1D,2016-04-07 08:00:00,2016-04-09 12:00:00,52.0
STARHLWF,1D,2016-04-14 14:00:00,2016-04-15 21:00:00,31.0
STARHLWF,1D,2016-04-18 11:00:00,2016-04-19 11:00:00,24.0
STARHLWF,1D,2016-06-01 05:00:00,2016-06-02 12:00:00,31.0
STARHLWF,1D,2016-07-07 11:00:00,2016-07-09 01:00:00,38.0
STARHLWF,1D,2016-08-04 08:00:00,2016-08-06 16:00:00,56.0
STARHLWF,1D,2016-08-22 04:00:00,2016-08-23 10:00:00,30.0
STARHLWF,1D,2016-09-05 05:00:00,2016-09-06 15:00:00,34.0
STARHLWF,1D,2017-02-02 11:00:00,2017-02-03 14:00:00,27.0
STARHLWF,1D,2017-04-20 22:00:00,2017-04-22 08:00:00,34.0
STARHLWF,1D,2017-05-10 13:00:00,2017-05-12 04:00:00,39.0
STARHLWF,1D,2017-05-31 09:00:00,2017-06-05 02:00:00,113.0
STARHLWF,1D,2017-06-06 18:00:00,2017-06-08 05:00:00,35.0
STARHLWF,1D,2017-06-10 04:00:00,2017-06-11 07:00:00,27.0
STARHLWF,1D,2017-06-12 17:00:00,2017-06-13 19:00:00,26.0
STARHLWF,1D,2017-06-15 03:00:00,2017-06-16 07:00:00,28.0
STARHLWF,1D,2017-06-17 07:00:00,2017-06-20 04:00:00,69.0
STARHLWF,1D,2017-06-20 23:00:00,2017-06-22 02:00:00,27.0
STARHLWF,1D,2017-06-23 03:00:00,2017-06-24 22:00:00,43.0
STARHLWF,1D,2017-06-26 10:00:00,2017-06-28 17:00:00,55.0
STARHLWF,1D,2017-08-25 04:00:00,2017-08-26 05:00:00,25.0
STARHLWF,1D,2017-08-28 08:00:00,2017-08-30 10:00:00,50.0
STARHLWF,1D,2017-09-09 08:00:00,2017-09-10 09:00:00,25.0
STARHLWF,1D,2017-10-01 01:00:00,2017-10-02 11:00:00,34.0
STARHLWF,1D,2017-12-21 10:00:00,2017-12-23 07:00:00,45.0
STARHLWF,1D,2018-02-12 11:00:00,2018-02-13 14:00:00,27.0
STARHLWF,1D,2018-03-30 23:00:00,2018-04-01 13:00:00,38.0
STARHLWF,1D,2018-05-23 06:00:00,2018-05-24 09:00:00,27.0
STARHLWF,1D,2018-06-01 21:00:00,2018-06-04 22:00:00,73.0
STARHLWF,1D,2018-06-21 01:00:00,2018-06-23 13:00:00,60.0
STARHLWF,1D,2018-07-09 14:00:00,2018-07-10 14:00:00,24.0
STARHLWF,1D,2018-09-21 06:00:00,2018-09-22 23:00:00,41.0
STARHLWF,1D,2018-11-09 07:00:00,2018-11-10 12:00:00,29.0
STARHLWF,1D,2019-03-26 21:00:00,2019-03-28 02:00:00,29.0
STARHLWF,1D,2019-05-04 22:00:00,2019-05-06 12:00:00,38.0
STARHLWF,1D,2019-05-14 06:00:00,2019-05-16 14:00:00,56.0
STARHLWF,1D,2019-05-22 00:00:00,2019-05-23 02:00:00,26.0
STARHLWF,1D,2019-06-05 11:00:00,2019-06-07 01:00:00,38.0
STARHLWF,1D,2019-07-27 00:00:00,2019-07-28 19:00:00,43.0
STARHLWF,1D,2019-07-30 04:00:00,2019-08-01 06:00:00,50.0
STARHLWF,1D,2019-08-02 02:00:00,2019-08-04 03:00:00,49.0
STARHLWF,1D,2019-08-25 20:00:00,2019-08-27 06:00:00,34.0
STARHLWF,1D,2019-09-03 06:00:00,2019-09-04 23:00:00,41.0
STARHLWF,1D,2019-09-09 20:00:00,2019-09-10 20:00:00,24.0
STARHLWF,1D,2019-09-12 20:00:00,2019-09-14 16:00:00,44.0
STARHLWF,1D,2019-09-23 23:00:00,2019-09-25 10:00:00,35.0
STARHLWF,1D,2019-10-14 18:00:00,2019-10-15 21:00:00,27.0
STARHLWF,1D,2019-12-14 10:00:00,2019-12-16 10:00:00,48.0
STARHLWF,1D,2020-04-12 08:00:00,2020-04-14 06:00:00,46.0
STARHLWF,1D,2020-04-18 01:00:00,2020-04-19 01:00:00,24.0
STARHLWF,1D,2020-05-03 10:00:00,2020-05-04 16:00:00,30.0
STARHLWF,1D,2020-05-14 01:00:00,2020-05-16 00:00:00,47.0
STARHLWF,1D,2020-06-04 02:00:00,2020-06-06 05:00:00,51.0
STARHLWF,1D,2020-06-07 21:00:00,2020-06-12 00:00:00,99.0
STARHLWF,1D,2020-06-26 05:00:00,2020-06-28 20:00:00,63.0
STARHLWF,1D,2020-07-05 12:00:00,2020-07-07 19:00:00,55.0
STARHLWF,1D,2020-07-13 07:00:00,2020-07-15 06:00:00,47.0
STARHLWF,1D,2020-07-20 19:00:00,2020-07-23 13:00:00,66.0
STARHLWF,1D,2020-07-25 15:00:00,2020-07-26 19:00:00,28.0
STARHLWF,1D,2020-07-28 11:00:00,2020-07-31 03:00:00,64.0
STARHLWF,1D,2020-08-02 05:00:00,2020-08-03 06:00:00,25.0
STARHLWF,1D,2020-08-24 06:00:00,2020-08-25 13:00:00,31.0
STARHLWF,1D,2020-09-14 02:00:00,2020-09-15 21:00:00,43.0
STARHLWF,1D,2021-03-28 02:00:00,2021-03-29 11:00:00,33.0
STARHLWF,1D,2021-04-16 08:00:00,2021-04-18 20:00:00,60.0
STARHLWF,1D,2021-04-23 18:00:00,2021-04-30 02:00:00,152.0
STARHLWF,1D,2021-05-07 15:00:00,2021-05-09 01:00:00,34.0
STARHLWF,1D,2021-05-20 16:00:00,2021-05-21 18:00:00,26.0
STARHLWF,1D,2021-06-11 12:00:00,2021-06-14 01:00:00,61.0
