Windfarm,Scale,Start,End,Duration
STWF1,1h,2015-08-30 15:00:00,2015-08-31 15:00:00,24.0
STWF1,1h,2016-06-16 23:00:00,2016-06-18 00:00:00,25.0
STWF1,1h,2016-06-27 12:00:00,2016-06-28 15:00:00,27.0
STWF1,4h,2014-04-16 14:00:00,2014-04-17 14:00:00,24.0
STWF1,4h,2015-03-29 01:00:00,2015-03-30 05:00:00,28.0
STWF1,4h,2015-05-30 01:00:00,2015-05-31 02:00:00,25.0
STWF1,4h,2015-06-15 14:00:00,2015-06-16 15:00:00,25.0
STWF1,4h,2015-08-13 21:00:00,2015-08-15 09:00:00,36.0
STWF1,4h,2015-08-30 06:00:00,2015-08-31 17:00:00,35.0
STWF1,4h,2016-03-10 11:00:00,2016-03-11 11:00:00,24.0
STWF1,4h,2016-06-17 00:00:00,2016-06-18 01:00:00,25.0
STWF1,4h,2016-06-27 14:00:00,2016-06-28 17:00:00,27.0
STWF1,4h,2017-04-21 17:00:00,2017-04-23 06:00:00,37.0
STWF1,4h,2017-05-20 00:00:00,2017-05-21 05:00:00,29.0
STWF1,4h,2019-05-21 07:00:00,2019-05-22 18:00:00,35.0
STWF1,4h,2019-06-13 09:00:00,2019-06-15 10:00:00,49.0
STWF1,4h,2020-07-15 01:00:00,2020-07-16 08:00:00,31.0
STWF1,4h,2021-05-08 05:00:00,2021-05-09 08:00:00,27.0
STWF1,4h,2021-08-06 04:00:00,2021-08-07 10:00:00,30.0
STWF1,12h,2014-04-16 03:00:00,2014-04-17 17:00:00,38.0
STWF1,12h,2014-05-05 11:00:00,2014-05-06 11:00:00,24.0
STWF1,12h,2014-05-19 15:00:00,2014-05-20 15:00:00,24.0
STWF1,12h,2014-06-01 05:00:00,2014-06-02 05:00:00,24.0
STWF1,12h,2014-06-02 07:00:00,2014-06-05 05:00:00,70.0
STWF1,12h,2014-06-30 15:00:00,2014-07-02 12:00:00,45.0
STWF1,12h,2014-08-28 19:00:00,2014-08-30 18:00:00,47.0
STWF1,12h,2014-09-13 06:00:00,2014-09-14 12:00:00,30.0
STWF1,12h,2015-03-07 11:00:00,2015-03-08 14:00:00,27.0
STWF1,12h,2015-03-29 06:00:00,2015-03-30 08:00:00,26.0
STWF1,12h,2015-05-29 01:00:00,2015-05-31 07:00:00,54.0
STWF1,12h,2015-06-15 01:00:00,2015-06-16 20:00:00,43.0
STWF1,12h,2015-06-29 16:00:00,2015-07-01 16:00:00,48.0
