Windfarm,Scale,Start,End,Duration
TARALGA1,12h,2014-03-31 22:00:00,2014-04-02 21:00:00,47.0
TARALGA1,12h,2014-04-16 06:00:00,2014-04-17 17:00:00,35.0
TARALGA1,12h,2014-05-12 20:00:00,2014-05-15 02:00:00,54.0
TARALGA1,12h,2014-06-04 09:00:00,2014-06-05 09:00:00,24.0
TARALGA1,12h,2014-06-10 22:00:00,2014-06-13 13:00:00,63.0
TARALGA1,12h,2014-06-18 01:00:00,2014-06-19 02:00:00,25.0
TARALGA1,12h,2014-07-20 11:00:00,2014-07-23 09:00:00,70.0
TARALGA1,12h,2014-08-24 00:00:00,2014-08-25 06:00:00,30.0
TARALGA1,12h,2015-05-16 20:00:00,2015-05-19 00:00:00,52.0
TARALGA1,12h,2015-05-23 07:00:00,2015-05-24 21:00:00,38.0
TARALGA1,12h,2015-06-02 20:00:00,2015-06-04 03:00:00,31.0
TARALGA1,12h,2015-06-13 19:00:00,2015-06-15 04:00:00,33.0
TARALGA1,12h,2015-06-19 18:00:00,2015-06-22 01:00:00,55.0
TARALGA1,12h,2015-06-28 02:00:00,2015-06-29 03:00:00,25.0
TARALGA1,12h,2015-07-07 17:00:00,2015-07-09 07:00:00,38.0
TARALGA1,12h,2015-07-18 21:00:00,2015-07-20 03:00:00,30.0
TARALGA1,12h,2015-08-08 03:00:00,2015-08-09 06:00:00,27.0
TARALGA1,12h,2015-09-12 18:00:00,2015-09-14 01:00:00,31.0
TARALGA1,12h,2015-11-08 21:00:00,2015-11-10 03:00:00,30.0
TARALGA1,12h,2016-06-12 02:00:00,2016-06-13 18:00:00,40.0
TARALGA1,12h,2016-07-08 23:00:00,2016-07-10 02:00:00,27.0
TARALGA1,12h,2016-08-06 22:00:00,2016-08-08 09:00:00,35.0
TARALGA1,12h,2017-03-25 04:00:00,2017-03-26 07:00:00,27.0
TARALGA1,12h,2017-04-12 22:00:00,2017-04-14 07:00:00,33.0
TARALGA1,12h,2017-04-22 01:00:00,2017-04-24 06:00:00,53.0
TARALGA1,12h,2017-05-08 19:00:00,2017-05-12 07:00:00,84.0
TARALGA1,12h,2017-05-13 00:00:00,2017-05-14 07:00:00,31.0
TARALGA1,12h,2017-06-03 08:00:00,2017-06-05 06:00:00,46.0
TARALGA1,12h,2017-06-13 16:00:00,2017-06-14 19:00:00,27.0
TARALGA1,12h,2017-06-15 18:00:00,2017-06-18 00:00:00,54.0
TARALGA1,12h,2017-06-18 20:00:00,2017-06-20 07:00:00,35.0
TARALGA1,12h,2017-07-01 05:00:00,2017-07-02 17:00:00,36.0
TARALGA1,12h,2018-04-05 03:00:00,2018-04-06 03:00:00,24.0
TARALGA1,12h,2018-04-23 21:00:00,2018-04-25 15:00:00,42.0
TARALGA1,12h,2018-04-30 08:00:00,2018-05-01 09:00:00,25.0
TARALGA1,12h,2018-05-25 22:00:00,2018-05-28 06:00:00,56.0
TARALGA1,12h,2018-06-24 04:00:00,2018-06-26 02:00:00,46.0
TARALGA1,12h,2019-05-14 19:00:00,2019-05-16 07:00:00,36.0
TARALGA1,12h,2019-05-17 20:00:00,2019-05-19 04:00:00,32.0
TARALGA1,12h,2020-04-13 01:00:00,2020-04-14 06:00:00,29.0
TARALGA1,12h,2020-05-04 18:00:00,2020-05-05 19:00:00,25.0
TARALGA1,12h,2020-05-28 22:00:00,2020-05-30 07:00:00,33.0
TARALGA1,12h,2020-06-06 04:00:00,2020-06-07 07:00:00,27.0
TARALGA1,12h,2020-06-19 01:00:00,2020-06-20 08:00:00,31.0
TARALGA1,12h,2020-07-08 23:00:00,2020-07-11 12:00:00,61.0
TARALGA1,12h,2020-07-12 04:00:00,2020-07-13 07:00:00,27.0
TARALGA1,12h,2020-07-22 21:00:00,2020-07-24 07:00:00,34.0
TARALGA1,12h,2021-03-31 21:00:00,2021-04-02 02:00:00,29.0
TARALGA1,12h,2021-04-27 22:00:00,2021-04-29 07:00:00,33.0
TARALGA1,12h,2021-05-21 14:00:00,2021-05-23 05:00:00,39.0
TARALGA1,12h,2021-05-30 08:00:00,2021-05-31 16:00:00,32.0
TARALGA1,12h,2021-06-02 08:00:00,2021-06-03 11:00:00,27.0
TARALGA1,12h,2021-06-14 08:00:00,2021-06-16 05:00:00,45.0
TARALGA1,12h,2021-07-07 16:00:00,2021-07-09 05:00:00,37.0
TARALGA1,12h,2021-07-11 05:00:00,2021-07-12 13:00:00,32.0
TARALGA1,1D,2014-03-29 14:00:00,2014-04-03 03:00:00,109.0
TARALGA1,1D,2014-04-16 12:00:00,2014-04-17 19:00:00,31.0
TARALGA1,1D,2014-05-08 13:00:00,2014-05-10 02:00:00,37.0
TARALGA1,1D,2014-05-12 00:00:00,2014-05-15 07:00:00,79.0
TARALGA1,1D,2014-05-29 20:00:00,2014-05-30 21:00:00,25.0
TARALGA1,1D,2014-06-11 02:00:00,2014-06-13 21:00:00,67.0
TARALGA1,1D,2014-07-14 04:00:00,2014-07-15 20:00:00,40.0
TARALGA1,1D,2014-07-20 19:00:00,2014-07-24 22:00:00,99.0
TARALGA1,1D,2014-08-07 21:00:00,2014-08-09 01:00:00,28.0
TARALGA1,1D,2014-08-13 07:00:00,2014-08-15 08:00:00,49.0
TARALGA1,1D,2014-08-23 07:00:00,2014-08-25 13:00:00,54.0
TARALGA1,1D,2014-09-20 10:00:00,2014-09-21 11:00:00,25.0
TARALGA1,1D,2015-03-07 12:00:00,2015-03-08 22:00:00,34.0
TARALGA1,1D,2015-03-29 12:00:00,2015-03-31 04:00:00,40.0
TARALGA1,1D,2015-04-13 03:00:00,2015-04-14 10:00:00,31.0
TARALGA1,1D,2015-05-16 16:00:00,2015-05-19 08:00:00,64.0
TARALGA1,1D,2015-05-23 15:00:00,2015-05-25 04:00:00,37.0
TARALGA1,1D,2015-06-03 02:00:00,2015-06-04 06:00:00,28.0
TARALGA1,1D,2015-06-11 06:00:00,2015-06-12 11:00:00,29.0
TARALGA1,1D,2015-06-13 12:00:00,2015-06-15 10:00:00,46.0
TARALGA1,1D,2015-06-20 02:00:00,2015-06-22 02:00:00,48.0
TARALGA1,1D,2015-06-25 02:00:00,2015-06-26 20:00:00,42.0
TARALGA1,1D,2015-06-28 09:00:00,2015-06-30 03:00:00,42.0
TARALGA1,1D,2015-07-08 00:00:00,2015-07-10 00:00:00,48.0
TARALGA1,1D,2015-07-19 05:00:00,2015-07-20 09:00:00,28.0
TARALGA1,1D,2015-08-08 11:00:00,2015-08-09 13:00:00,26.0
TARALGA1,1D,2015-08-20 07:00:00,2015-08-21 07:00:00,24.0
TARALGA1,1D,2015-09-13 03:00:00,2015-09-14 03:00:00,24.0
TARALGA1,1D,2016-03-11 10:00:00,2016-03-12 22:00:00,36.0
TARALGA1,1D,2016-04-15 12:00:00,2016-04-17 02:00:00,38.0
TARALGA1,1D,2016-04-19 01:00:00,2016-04-20 08:00:00,31.0
TARALGA1,1D,2016-06-01 10:00:00,2016-06-03 09:00:00,47.0
TARALGA1,1D,2016-06-12 13:00:00,2016-06-13 19:00:00,30.0
TARALGA1,1D,2016-07-08 15:00:00,2016-07-10 04:00:00,37.0
TARALGA1,1D,2016-08-05 15:00:00,2016-08-09 02:00:00,83.0
TARALGA1,1D,2016-08-14 22:00:00,2016-08-15 23:00:00,25.0
TARALGA1,1D,2017-04-13 01:00:00,2017-04-14 09:00:00,32.0
TARALGA1,1D,2017-04-22 07:00:00,2017-04-24 21:00:00,62.0
TARALGA1,1D,2017-04-30 00:00:00,2017-05-01 00:00:00,24.0
