Windfarm,Scale,Start,End,Duration
WATERLWF,1h,2019-05-13 11:00:00,2019-05-14 12:00:00,25.0
WATERLWF,1h,2019-06-18 14:00:00,2019-06-19 20:00:00,30.0
WATERLWF,1h,2021-07-04 14:00:00,2021-07-05 14:00:00,24.0
WATERLWF,4h,2014-07-01 08:00:00,2014-07-02 08:00:00,24.0
WATERLWF,4h,2015-06-29 16:00:00,2015-07-01 01:00:00,33.0
WATERLWF,4h,2016-04-07 05:00:00,2016-04-08 08:00:00,27.0
WATERLWF,4h,2017-04-29 02:00:00,2017-04-30 02:00:00,24.0
WATERLWF,4h,2017-05-10 12:00:00,2017-05-11 16:00:00,28.0
WATERLWF,4h,2018-06-20 08:00:00,2018-06-21 10:00:00,26.0
WATERLWF,4h,2019-05-13 12:00:00,2019-05-14 15:00:00,27.0
WATERLWF,4h,2019-06-18 16:00:00,2019-06-19 21:00:00,29.0
WATERLWF,4h,2020-06-10 01:00:00,2020-06-11 02:00:00,25.0
WATERLWF,4h,2021-07-04 15:00:00,2021-07-05 17:00:00,26.0
WATERLWF,12h,2014-03-27 08:00:00,2014-03-29 04:00:00,44.0
WATERLWF,12h,2014-07-01 04:00:00,2014-07-02 10:00:00,30.0
WATERLWF,12h,2014-08-03 04:00:00,2014-08-06 08:00:00,76.0
WATERLWF,12h,2014-08-27 05:00:00,2014-08-28 09:00:00,28.0
WATERLWF,12h,2014-08-28 19:00:00,2014-08-30 01:00:00,30.0
WATERLWF,12h,2014-09-11 22:00:00,2014-09-12 23:00:00,25.0
WATERLWF,12h,2015-03-28 12:00:00,2015-03-30 10:00:00,46.0
WATERLWF,12h,2015-04-10 10:00:00,2015-04-11 17:00:00,31.0
WATERLWF,12h,2015-06-15 09:00:00,2015-06-16 13:00:00,28.0
WATERLWF,12h,2015-06-25 15:00:00,2015-06-28 12:00:00,69.0
WATERLWF,12h,2015-06-29 11:00:00,2015-07-01 06:00:00,43.0
WATERLWF,12h,2015-07-02 23:00:00,2015-07-04 16:00:00,41.0
WATERLWF,12h,2015-08-14 16:00:00,2015-08-16 02:00:00,34.0
WATERLWF,12h,2015-09-03 22:00:00,2015-09-05 16:00:00,42.0
WATERLWF,12h,2015-10-27 08:00:00,2015-10-28 09:00:00,25.0
WATERLWF,12h,2016-04-07 04:00:00,2016-04-08 11:00:00,31.0
WATERLWF,12h,2016-04-14 05:00:00,2016-04-15 08:00:00,27.0
WATERLWF,12h,2016-06-02 05:00:00,2016-06-04 00:00:00,43.0
WATERLWF,12h,2016-07-07 01:00:00,2016-07-08 14:00:00,37.0
WATERLWF,12h,2016-07-14 16:00:00,2016-07-15 20:00:00,28.0
WATERLWF,12h,2016-08-22 22:00:00,2016-08-24 15:00:00,41.0
WATERLWF,12h,2016-09-04 10:00:00,2016-09-05 21:00:00,35.0
WATERLWF,12h,2017-01-08 14:00:00,2017-01-10 05:00:00,39.0
WATERLWF,12h,2017-04-21 05:00:00,2017-04-22 11:00:00,30.0
WATERLWF,12h,2017-04-29 03:00:00,2017-04-30 09:00:00,30.0
WATERLWF,12h,2017-05-10 08:00:00,2017-05-12 06:00:00,46.0
WATERLWF,12h,2017-06-03 08:00:00,2017-06-04 23:00:00,39.0
WATERLWF,12h,2017-06-14 23:00:00,2017-06-17 06:00:00,55.0
WATERLWF,12h,2017-06-18 02:00:00,2017-06-19 06:00:00,28.0
WATERLWF,12h,2017-06-27 01:00:00,2017-06-28 06:00:00,29.0
WATERLWF,12h,2017-08-25 02:00:00,2017-08-26 04:00:00,26.0
WATERLWF,12h,2017-08-28 05:00:00,2017-08-30 09:00:00,52.0
WATERLWF,12h,2018-06-02 02:00:00,2018-06-03 07:00:00,29.0
WATERLWF,12h,2018-06-20 13:00:00,2018-06-22 17:00:00,52.0
WATERLWF,12h,2018-06-23 07:00:00,2018-06-24 12:00:00,29.0
WATERLWF,12h,2018-06-26 10:00:00,2018-06-28 03:00:00,41.0
WATERLWF,12h,2018-07-09 07:00:00,2018-07-10 12:00:00,29.0
WATERLWF,12h,2018-09-20 19:00:00,2018-09-21 20:00:00,25.0
WATERLWF,12h,2019-05-13 15:00:00,2019-05-15 12:00:00,45.0
WATERLWF,12h,2019-05-21 16:00:00,2019-05-22 17:00:00,25.0
WATERLWF,12h,2019-06-18 20:00:00,2019-06-20 03:00:00,31.0
WATERLWF,12h,2019-08-02 01:00:00,2019-08-03 19:00:00,42.0
WATERLWF,12h,2019-08-12 11:00:00,2019-08-13 13:00:00,26.0
WATERLWF,12h,2020-04-06 05:00:00,2020-04-07 11:00:00,30.0
WATERLWF,12h,2020-05-03 02:00:00,2020-05-04 10:00:00,32.0
WATERLWF,12h,2020-05-10 13:00:00,2020-05-11 14:00:00,25.0
WATERLWF,12h,2020-05-13 20:00:00,2020-05-15 10:00:00,38.0
WATERLWF,12h,2020-06-05 03:00:00,2020-06-06 12:00:00,33.0
WATERLWF,12h,2020-06-10 03:00:00,2020-06-11 14:00:00,35.0
WATERLWF,12h,2020-06-27 07:00:00,2020-06-28 10:00:00,27.0
WATERLWF,12h,2020-07-24 10:00:00,2020-07-25 12:00:00,26.0
WATERLWF,12h,2020-10-20 05:00:00,2020-10-21 11:00:00,30.0
WATERLWF,12h,2021-06-11 21:00:00,2021-06-13 12:00:00,39.0
WATERLWF,12h,2021-06-19 16:00:00,2021-06-20 17:00:00,25.0
WATERLWF,12h,2021-07-04 18:00:00,2021-07-05 22:00:00,28.0
WATERLWF,12h,2021-08-07 08:00:00,2021-08-08 13:00:00,29.0
WATERLWF,12h,2021-08-17 03:00:00,2021-08-18 13:00:00,34.0
WATERLWF,1D,2014-03-13 00:00:00,2014-03-14 02:00:00,26.0
WATERLWF,1D,2014-03-27 12:00:00,2014-03-29 07:00:00,43.0
WATERLWF,1D,2014-04-08 22:00:00,2014-04-10 09:00:00,35.0
WATERLWF,1D,2014-04-15 18:00:00,2014-04-17 14:00:00,44.0
WATERLWF,1D,2014-04-19 07:00:00,2014-04-20 15:00:00,32.0
WATERLWF,1D,2014-06-04 21:00:00,2014-06-06 08:00:00,35.0
WATERLWF,1D,2014-07-01 14:00:00,2014-07-02 14:00:00,24.0
WATERLWF,1D,2014-08-02 07:00:00,2014-08-08 02:00:00,139.0
WATERLWF,1D,2014-08-26 20:00:00,2014-08-30 14:00:00,90.0
WATERLWF,1D,2014-09-12 04:00:00,2014-09-13 17:00:00,37.0
WATERLWF,1D,2015-03-27 08:00:00,2015-03-30 14:00:00,78.0
WATERLWF,1D,2015-04-10 17:00:00,2015-04-12 12:00:00,43.0
WATERLWF,1D,2015-06-01 11:00:00,2015-06-02 17:00:00,30.0
WATERLWF,1D,2015-06-15 17:00:00,2015-06-16 21:00:00,28.0
WATERLWF,1D,2015-06-25 15:00:00,2015-06-28 19:00:00,76.0
WATERLWF,1D,2015-06-29 16:00:00,2015-07-01 12:00:00,44.0
WATERLWF,1D,2015-07-03 01:00:00,2015-07-04 19:00:00,42.0
WATERLWF,1D,2015-07-18 08:00:00,2015-07-19 18:00:00,34.0
WATERLWF,1D,2015-07-27 17:00:00,2015-07-28 17:00:00,24.0
WATERLWF,1D,2015-08-07 01:00:00,2015-08-08 15:00:00,38.0
WATERLWF,1D,2015-08-14 19:00:00,2015-08-16 05:00:00,34.0
WATERLWF,1D,2015-08-28 14:00:00,2015-08-31 19:00:00,77.0
WATERLWF,1D,2015-09-04 06:00:00,2015-09-05 18:00:00,36.0
WATERLWF,1D,2015-09-18 08:00:00,2015-09-19 17:00:00,33.0
WATERLWF,1D,2015-09-26 07:00:00,2015-09-28 03:00:00,44.0
WATERLWF,1D,2015-09-30 10:00:00,2015-10-01 20:00:00,34.0
WATERLWF,1D,2015-11-07 00:00:00,2015-11-08 16:00:00,40.0
WATERLWF,1D,2016-03-21 17:00:00,2016-03-22 22:00:00,29.0
WATERLWF,1D,2016-04-07 06:00:00,2016-04-09 22:00:00,64.0
WATERLWF,1D,2016-04-13 19:00:00,2016-04-15 10:00:00,39.0
WATERLWF,1D,2016-06-02 08:00:00,2016-06-04 05:00:00,45.0
WATERLWF,1D,2016-07-06 21:00:00,2016-07-08 19:00:00,46.0
WATERLWF,1D,2016-07-15 00:00:00,2016-07-16 09:00:00,33.0
WATERLWF,1D,2016-07-19 07:00:00,2016-07-20 18:00:00,35.0
WATERLWF,1D,2016-08-21 22:00:00,2016-08-25 09:00:00,83.0
WATERLWF,1D,2016-09-04 16:00:00,2016-09-06 10:00:00,42.0
WATERLWF,1D,2016-09-10 19:00:00,2016-09-12 11:00:00,40.0
WATERLWF,1D,2016-12-05 19:00:00,2016-12-07 01:00:00,30.0
WATERLWF,1D,2017-01-08 16:00:00,2017-01-10 07:00:00,39.0
WATERLWF,1D,2017-02-02 08:00:00,2017-02-04 00:00:00,40.0
WATERLWF,1D,2017-04-15 10:00:00,2017-04-16 12:00:00,26.0
WATERLWF,1D,2017-04-21 07:00:00,2017-04-22 14:00:00,31.0
WATERLWF,1D,2017-04-29 03:00:00,2017-04-30 14:00:00,35.0
WATERLWF,1D,2017-05-03 01:00:00,2017-05-04 19:00:00,42.0
WATERLWF,1D,2017-05-10 01:00:00,2017-05-12 13:00:00,60.0
WATERLWF,1D,2017-06-03 04:00:00,2017-06-05 06:00:00,50.0
WATERLWF,1D,2017-06-07 00:00:00,2017-06-08 09:00:00,33.0
WATERLWF,1D,2017-06-10 15:00:00,2017-06-11 17:00:00,26.0
WATERLWF,1D,2017-06-12 18:00:00,2017-06-13 18:00:00,24.0
WATERLWF,1D,2017-06-14 22:00:00,2017-06-19 15:00:00,113.0
WATERLWF,1D,2017-06-20 18:00:00,2017-06-21 20:00:00,26.0
WATERLWF,1D,2017-06-26 16:00:00,2017-06-28 20:00:00,52.0
WATERLWF,1D,2017-07-10 09:00:00,2017-07-11 13:00:00,28.0
