Windfarm,Scale,Start,End,Duration
WGWF1,1h,2015-08-06 14:00:00,2015-08-07 15:00:00,25.0
WGWF1,1h,2018-06-20 06:00:00,2018-06-21 08:00:00,26.0
WGWF1,1h,2021-07-04 12:00:00,2021-07-05 14:00:00,26.0
WGWF1,4h,2014-03-27 14:00:00,2014-03-28 18:00:00,28.0
WGWF1,4h,2015-08-06 15:00:00,2015-08-07 17:00:00,26.0
WGWF1,4h,2016-04-07 07:00:00,2016-04-08 10:00:00,27.0
WGWF1,4h,2016-04-14 03:00:00,2016-04-15 05:00:00,26.0
WGWF1,4h,2016-07-07 00:00:00,2016-07-08 11:00:00,35.0
WGWF1,4h,2017-04-28 19:00:00,2017-04-29 23:00:00,28.0
WGWF1,4h,2017-05-10 04:00:00,2017-05-11 10:00:00,30.0
WGWF1,4h,2017-06-03 03:00:00,2017-06-04 09:00:00,30.0
WGWF1,4h,2017-06-15 00:00:00,2017-06-16 01:00:00,25.0
WGWF1,4h,2017-06-27 00:00:00,2017-06-28 06:00:00,30.0
WGWF1,4h,2018-05-07 23:00:00,2018-05-09 00:00:00,25.0
WGWF1,4h,2018-06-20 07:00:00,2018-06-21 11:00:00,28.0
WGWF1,4h,2019-06-18 17:00:00,2019-06-19 21:00:00,28.0
WGWF1,4h,2021-07-04 14:00:00,2021-07-05 16:00:00,26.0
WGWF1,12h,2014-03-27 07:00:00,2014-03-28 21:00:00,38.0
WGWF1,12h,2014-06-03 16:00:00,2014-06-05 11:00:00,43.0
WGWF1,12h,2014-07-01 04:00:00,2014-07-02 11:00:00,31.0
WGWF1,12h,2014-08-03 04:00:00,2014-08-04 18:00:00,38.0
WGWF1,12h,2015-04-11 03:00:00,2015-04-12 09:00:00,30.0
WGWF1,12h,2015-06-15 12:00:00,2015-06-16 13:00:00,25.0
WGWF1,12h,2015-06-26 13:00:00,2015-06-27 16:00:00,27.0
WGWF1,12h,2015-06-29 22:00:00,2015-07-01 04:00:00,30.0
WGWF1,12h,2015-07-03 16:00:00,2015-07-04 22:00:00,30.0
WGWF1,12h,2015-08-06 16:00:00,2015-08-07 21:00:00,29.0
WGWF1,12h,2015-08-14 15:00:00,2015-08-16 03:00:00,36.0
WGWF1,12h,2015-09-30 07:00:00,2015-10-01 07:00:00,24.0
WGWF1,12h,2016-04-07 09:00:00,2016-04-10 04:00:00,67.0
WGWF1,12h,2016-04-14 07:00:00,2016-04-15 09:00:00,26.0
WGWF1,12h,2016-06-02 22:00:00,2016-06-04 04:00:00,30.0
WGWF1,12h,2016-07-06 12:00:00,2016-07-08 13:00:00,49.0
WGWF1,12h,2016-07-14 09:00:00,2016-07-15 20:00:00,35.0
WGWF1,12h,2016-08-23 02:00:00,2016-08-24 09:00:00,31.0
WGWF1,12h,2017-01-08 17:00:00,2017-01-10 05:00:00,36.0
WGWF1,12h,2017-04-28 21:00:00,2017-04-30 08:00:00,35.0
WGWF1,12h,2017-05-10 10:00:00,2017-05-11 14:00:00,28.0
WGWF1,12h,2017-06-03 08:00:00,2017-06-05 06:00:00,46.0
WGWF1,12h,2017-06-07 02:00:00,2017-06-08 02:00:00,24.0
WGWF1,12h,2017-06-14 14:00:00,2017-06-16 06:00:00,40.0
WGWF1,12h,2017-06-27 03:00:00,2017-06-28 11:00:00,32.0
WGWF1,12h,2017-08-28 04:00:00,2017-08-29 16:00:00,36.0
WGWF1,12h,2018-05-08 02:00:00,2018-05-09 03:00:00,25.0
WGWF1,12h,2018-06-01 23:00:00,2018-06-03 07:00:00,32.0
WGWF1,12h,2018-06-20 10:00:00,2018-06-23 16:00:00,78.0
WGWF1,12h,2018-06-26 21:00:00,2018-06-28 00:00:00,27.0
WGWF1,12h,2018-09-20 17:00:00,2018-09-21 20:00:00,27.0
WGWF1,12h,2019-05-21 18:00:00,2019-05-22 18:00:00,24.0
WGWF1,12h,2019-06-18 21:00:00,2019-06-20 10:00:00,37.0
WGWF1,12h,2019-08-02 13:00:00,2019-08-03 17:00:00,28.0
WGWF1,12h,2019-08-12 04:00:00,2019-08-13 12:00:00,32.0
WGWF1,12h,2020-04-01 10:00:00,2020-04-02 17:00:00,31.0
WGWF1,12h,2020-05-03 01:00:00,2020-05-04 08:00:00,31.0
WGWF1,12h,2020-05-10 04:00:00,2020-05-11 16:00:00,36.0
WGWF1,12h,2020-06-05 04:00:00,2020-06-06 09:00:00,29.0
WGWF1,12h,2020-06-09 11:00:00,2020-06-11 16:00:00,53.0
WGWF1,12h,2020-06-25 18:00:00,2020-06-26 19:00:00,25.0
WGWF1,12h,2020-07-16 08:00:00,2020-07-17 10:00:00,26.0
WGWF1,12h,2020-08-23 18:00:00,2020-08-24 20:00:00,26.0
WGWF1,12h,2021-05-16 20:00:00,2021-05-17 22:00:00,26.0
WGWF1,12h,2021-06-11 03:00:00,2021-06-12 17:00:00,38.0
WGWF1,12h,2021-06-19 15:00:00,2021-06-20 15:00:00,24.0
WGWF1,12h,2021-07-04 18:00:00,2021-07-05 19:00:00,25.0
WGWF1,12h,2021-09-06 02:00:00,2021-09-07 17:00:00,39.0
WGWF1,1D,2014-03-27 17:00:00,2014-03-29 04:00:00,35.0
WGWF1,1D,2014-04-16 09:00:00,2014-04-17 13:00:00,28.0
WGWF1,1D,2014-04-19 09:00:00,2014-04-20 15:00:00,30.0
WGWF1,1D,2014-05-11 02:00:00,2014-05-12 02:00:00,24.0
WGWF1,1D,2014-06-02 20:00:00,2014-06-05 22:00:00,74.0
WGWF1,1D,2014-07-01 12:00:00,2014-07-02 15:00:00,27.0
WGWF1,1D,2014-08-02 07:00:00,2014-08-08 02:00:00,139.0
WGWF1,1D,2014-08-24 08:00:00,2014-08-25 22:00:00,38.0
WGWF1,1D,2014-09-12 01:00:00,2014-09-13 02:00:00,25.0
WGWF1,1D,2014-10-10 21:00:00,2014-10-12 04:00:00,31.0
WGWF1,1D,2014-11-17 20:00:00,2014-11-18 23:00:00,27.0
WGWF1,1D,2015-03-28 14:00:00,2015-03-30 16:00:00,50.0
WGWF1,1D,2015-04-10 15:00:00,2015-04-12 12:00:00,45.0
