Windfarm,Scale,Start,End,Duration
WOODLWN1,4h,2015-02-06 18:00:00,2015-02-07 23:00:00,29.0
WOODLWN1,4h,2015-05-16 18:00:00,2015-05-18 08:00:00,38.0
WOODLWN1,4h,2015-05-22 21:00:00,2015-05-24 14:00:00,41.0
WOODLWN1,4h,2015-06-02 18:00:00,2015-06-03 19:00:00,25.0
WOODLWN1,4h,2016-08-06 15:00:00,2016-08-08 01:00:00,34.0
WOODLWN1,4h,2017-05-21 02:00:00,2017-05-22 08:00:00,30.0
WOODLWN1,4h,2017-06-03 14:00:00,2017-06-05 02:00:00,36.0
WOODLWN1,4h,2019-06-15 03:00:00,2019-06-16 04:00:00,25.0
WOODLWN1,4h,2020-07-10 03:00:00,2020-07-11 14:00:00,35.0
WOODLWN1,4h,2021-03-31 15:00:00,2021-04-01 19:00:00,28.0
WOODLWN1,4h,2021-06-14 01:00:00,2021-06-15 16:00:00,39.0
WOODLWN1,12h,2014-03-27 23:00:00,2014-03-29 06:00:00,31.0
WOODLWN1,12h,2014-03-29 19:00:00,2014-04-02 01:00:00,78.0
WOODLWN1,12h,2014-04-07 20:00:00,2014-04-09 13:00:00,41.0
WOODLWN1,12h,2014-04-16 06:00:00,2014-04-17 17:00:00,35.0
WOODLWN1,12h,2014-05-12 20:00:00,2014-05-14 01:00:00,29.0
WOODLWN1,12h,2014-06-04 08:00:00,2014-06-05 09:00:00,25.0
WOODLWN1,12h,2014-07-20 06:00:00,2014-07-23 19:00:00,85.0
WOODLWN1,12h,2014-08-02 13:00:00,2014-08-03 18:00:00,29.0
WOODLWN1,12h,2014-09-21 23:00:00,2014-09-23 09:00:00,34.0
WOODLWN1,12h,2015-02-06 23:00:00,2015-02-08 01:00:00,26.0
WOODLWN1,12h,2015-03-30 01:00:00,2015-03-31 04:00:00,27.0
WOODLWN1,12h,2015-05-16 14:00:00,2015-05-18 11:00:00,45.0
WOODLWN1,12h,2015-05-22 23:00:00,2015-05-24 17:00:00,42.0
WOODLWN1,12h,2015-06-02 11:00:00,2015-06-04 00:00:00,37.0
WOODLWN1,12h,2015-06-11 00:00:00,2015-06-12 10:00:00,34.0
WOODLWN1,12h,2015-06-19 13:00:00,2015-06-21 03:00:00,38.0
WOODLWN1,12h,2015-06-28 02:00:00,2015-06-29 11:00:00,33.0
WOODLWN1,12h,2015-07-07 16:00:00,2015-07-09 09:00:00,41.0
WOODLWN1,12h,2015-07-18 18:00:00,2015-07-20 10:00:00,40.0
WOODLWN1,12h,2015-08-08 06:00:00,2015-08-09 06:00:00,24.0
WOODLWN1,12h,2015-11-08 21:00:00,2015-11-10 05:00:00,32.0
WOODLWN1,12h,2016-04-18 19:00:00,2016-04-20 09:00:00,38.0
WOODLWN1,12h,2016-07-08 20:00:00,2016-07-10 02:00:00,30.0
WOODLWN1,12h,2016-08-05 07:00:00,2016-08-08 10:00:00,75.0
WOODLWN1,12h,2017-03-25 00:00:00,2017-03-26 07:00:00,31.0
WOODLWN1,12h,2017-04-22 09:00:00,2017-04-24 09:00:00,48.0
WOODLWN1,12h,2017-04-29 09:00:00,2017-04-30 10:00:00,25.0
WOODLWN1,12h,2017-05-08 12:00:00,2017-05-11 11:00:00,71.0
WOODLWN1,12h,2017-05-21 05:00:00,2017-05-22 12:00:00,31.0
WOODLWN1,12h,2017-06-03 14:00:00,2017-06-05 05:00:00,39.0
WOODLWN1,12h,2017-06-12 11:00:00,2017-06-14 03:00:00,40.0
