Windfarm,Scale,Start,End,Duration
WOOLNTH1,1h,2014-03-28 22:00:00,2014-03-30 11:00:00,37.0
WOOLNTH1,1h,2014-07-21 11:00:00,2014-07-23 02:00:00,39.0
WOOLNTH1,1h,2015-04-23 07:00:00,2015-04-24 08:00:00,25.0
WOOLNTH1,1h,2015-06-02 17:00:00,2015-06-03 20:00:00,27.0
WOOLNTH1,1h,2015-06-11 21:00:00,2015-06-13 10:00:00,37.0
WOOLNTH1,1h,2015-08-30 15:00:00,2015-09-01 13:00:00,46.0
WOOLNTH1,1h,2017-05-14 03:00:00,2017-05-15 16:00:00,37.0
WOOLNTH1,1h,2017-07-31 01:00:00,2017-08-01 05:00:00,28.0
WOOLNTH1,1h,2018-04-17 15:00:00,2018-04-18 17:00:00,26.0
WOOLNTH1,1h,2018-05-13 01:00:00,2018-05-14 02:00:00,25.0
WOOLNTH1,1h,2018-05-31 11:00:00,2018-06-01 11:00:00,24.0
WOOLNTH1,1h,2018-06-01 15:00:00,2018-06-03 23:00:00,56.0
WOOLNTH1,1h,2018-06-25 11:00:00,2018-06-27 14:00:00,51.0
WOOLNTH1,1h,2018-08-23 03:00:00,2018-08-25 02:00:00,47.0
WOOLNTH1,1h,2018-11-26 20:00:00,2018-11-28 00:00:00,28.0
WOOLNTH1,1h,2019-03-12 18:00:00,2019-03-13 19:00:00,25.0
WOOLNTH1,1h,2019-10-22 10:00:00,2019-10-23 15:00:00,29.0
WOOLNTH1,1h,2020-05-21 19:00:00,2020-05-22 19:00:00,24.0
WOOLNTH1,1h,2020-06-26 14:00:00,2020-06-28 01:00:00,35.0
WOOLNTH1,1h,2020-07-27 18:00:00,2020-07-28 18:00:00,24.0
WOOLNTH1,1h,2021-07-09 12:00:00,2021-07-10 16:00:00,28.0
WOOLNTH1,1h,2021-09-25 15:00:00,2021-09-26 15:00:00,24.0
WOOLNTH1,4h,2014-03-28 23:00:00,2014-03-30 12:00:00,37.0
WOOLNTH1,4h,2014-07-05 15:00:00,2014-07-06 23:00:00,32.0
WOOLNTH1,4h,2014-07-21 03:00:00,2014-07-23 03:00:00,48.0
WOOLNTH1,4h,2014-08-28 07:00:00,2014-08-29 07:00:00,24.0
WOOLNTH1,4h,2014-09-05 15:00:00,2014-09-06 17:00:00,26.0
WOOLNTH1,4h,2015-03-20 17:00:00,2015-03-21 22:00:00,29.0
WOOLNTH1,4h,2015-04-23 09:00:00,2015-04-24 10:00:00,25.0
WOOLNTH1,4h,2015-06-02 15:00:00,2015-06-03 22:00:00,31.0
WOOLNTH1,4h,2015-06-11 23:00:00,2015-06-13 13:00:00,38.0
WOOLNTH1,4h,2015-08-07 16:00:00,2015-08-08 17:00:00,25.0
WOOLNTH1,4h,2015-08-30 16:00:00,2015-09-01 15:00:00,47.0
WOOLNTH1,4h,2015-09-17 19:00:00,2015-09-19 03:00:00,32.0
WOOLNTH1,4h,2016-10-27 17:00:00,2016-10-28 21:00:00,28.0
WOOLNTH1,4h,2017-05-14 03:00:00,2017-05-15 18:00:00,39.0
WOOLNTH1,4h,2017-07-30 22:00:00,2017-08-01 08:00:00,34.0
WOOLNTH1,4h,2018-04-17 16:00:00,2018-04-19 03:00:00,35.0
WOOLNTH1,4h,2018-05-13 03:00:00,2018-05-14 07:00:00,28.0
WOOLNTH1,4h,2018-05-24 20:00:00,2018-05-26 05:00:00,33.0
WOOLNTH1,4h,2018-05-31 12:00:00,2018-06-01 13:00:00,25.0
WOOLNTH1,4h,2018-06-01 15:00:00,2018-06-04 00:00:00,57.0
WOOLNTH1,4h,2018-06-25 13:00:00,2018-06-27 17:00:00,52.0
WOOLNTH1,4h,2018-08-21 16:00:00,2018-08-25 04:00:00,84.0
WOOLNTH1,4h,2018-08-28 00:00:00,2018-08-29 12:00:00,36.0
WOOLNTH1,4h,2018-09-02 15:00:00,2018-09-03 22:00:00,31.0
WOOLNTH1,4h,2018-11-26 22:00:00,2018-11-28 01:00:00,27.0
WOOLNTH1,4h,2019-03-12 18:00:00,2019-03-14 01:00:00,31.0
WOOLNTH1,4h,2019-10-22 02:00:00,2019-10-23 16:00:00,38.0
WOOLNTH1,4h,2020-04-14 01:00:00,2020-04-15 02:00:00,25.0
WOOLNTH1,4h,2020-05-21 20:00:00,2020-05-22 20:00:00,24.0
WOOLNTH1,4h,2020-06-26 15:00:00,2020-06-28 02:00:00,35.0
WOOLNTH1,4h,2020-07-07 04:00:00,2020-07-08 11:00:00,31.0
WOOLNTH1,4h,2020-07-24 10:00:00,2020-07-25 19:00:00,33.0
WOOLNTH1,4h,2020-07-27 19:00:00,2020-07-28 20:00:00,25.0
WOOLNTH1,4h,2021-06-13 21:00:00,2021-06-14 23:00:00,26.0
WOOLNTH1,4h,2021-06-19 22:00:00,2021-06-21 00:00:00,26.0
WOOLNTH1,4h,2021-07-09 13:00:00,2021-07-10 18:00:00,29.0
WOOLNTH1,4h,2021-09-25 17:00:00,2021-09-26 17:00:00,24.0
WOOLNTH1,4h,2021-12-30 14:00:00,2021-12-31 20:00:00,30.0
WOOLNTH1,12h,2014-02-17 19:00:00,2014-02-19 07:00:00,36.0
WOOLNTH1,12h,2014-03-29 00:00:00,2014-03-30 15:00:00,39.0
WOOLNTH1,12h,2014-04-05 13:00:00,2014-04-06 14:00:00,25.0
WOOLNTH1,12h,2014-04-13 05:00:00,2014-04-14 05:00:00,24.0
WOOLNTH1,12h,2014-07-05 10:00:00,2014-07-07 02:00:00,40.0
WOOLNTH1,12h,2014-07-20 01:00:00,2014-07-23 09:00:00,80.0
WOOLNTH1,12h,2014-08-14 07:00:00,2014-08-16 08:00:00,49.0
WOOLNTH1,12h,2014-08-27 15:00:00,2014-08-29 13:00:00,46.0
WOOLNTH1,12h,2014-09-05 17:00:00,2014-09-06 23:00:00,30.0
WOOLNTH1,12h,2014-12-14 23:00:00,2014-12-16 00:00:00,25.0
WOOLNTH1,12h,2014-12-24 02:00:00,2014-12-25 02:00:00,24.0
WOOLNTH1,12h,2015-03-20 23:00:00,2015-03-22 01:00:00,26.0
WOOLNTH1,12h,2015-04-21 13:00:00,2015-04-24 15:00:00,74.0
WOOLNTH1,12h,2015-04-29 07:00:00,2015-04-30 08:00:00,25.0
WOOLNTH1,12h,2015-05-23 22:00:00,2015-05-25 03:00:00,29.0
WOOLNTH1,12h,2015-06-02 18:00:00,2015-06-03 23:00:00,29.0
WOOLNTH1,12h,2015-06-12 04:00:00,2015-06-14 15:00:00,59.0
WOOLNTH1,12h,2015-08-07 21:00:00,2015-08-08 22:00:00,25.0
WOOLNTH1,12h,2015-08-30 21:00:00,2015-09-01 19:00:00,46.0
WOOLNTH1,12h,2015-09-18 00:00:00,2015-09-19 12:00:00,36.0
WOOLNTH1,12h,2015-09-25 01:00:00,2015-09-27 18:00:00,65.0
WOOLNTH1,12h,2016-02-21 19:00:00,2016-02-22 19:00:00,24.0
WOOLNTH1,12h,2016-04-13 21:00:00,2016-04-15 03:00:00,30.0
WOOLNTH1,12h,2016-04-24 01:00:00,2016-04-25 06:00:00,29.0
WOOLNTH1,12h,2016-05-29 22:00:00,2016-05-30 22:00:00,24.0
WOOLNTH1,12h,2016-08-04 09:00:00,2016-08-06 02:00:00,41.0
WOOLNTH1,12h,2016-09-01 18:00:00,2016-09-03 02:00:00,32.0
WOOLNTH1,12h,2016-09-25 22:00:00,2016-09-27 03:00:00,29.0
WOOLNTH1,12h,2016-10-27 22:00:00,2016-10-29 00:00:00,26.0
WOOLNTH1,12h,2017-04-16 22:00:00,2017-04-18 21:00:00,47.0
WOOLNTH1,12h,2017-04-22 04:00:00,2017-04-25 00:00:00,68.0
WOOLNTH1,12h,2017-05-03 14:00:00,2017-05-05 01:00:00,35.0
WOOLNTH1,12h,2017-05-14 06:00:00,2017-05-15 22:00:00,40.0
WOOLNTH1,12h,2017-07-06 15:00:00,2017-07-07 21:00:00,30.0
WOOLNTH1,12h,2017-07-31 02:00:00,2017-08-02 21:00:00,67.0
WOOLNTH1,12h,2018-01-16 11:00:00,2018-01-17 15:00:00,28.0
WOOLNTH1,12h,2018-02-02 08:00:00,2018-02-03 09:00:00,25.0
WOOLNTH1,12h,2018-04-17 21:00:00,2018-04-19 07:00:00,34.0
WOOLNTH1,12h,2018-04-22 09:00:00,2018-04-23 09:00:00,24.0
WOOLNTH1,12h,2018-04-27 09:00:00,2018-04-28 11:00:00,26.0
WOOLNTH1,12h,2018-05-25 00:00:00,2018-05-26 11:00:00,35.0
WOOLNTH1,12h,2018-05-31 18:00:00,2018-06-04 03:00:00,81.0
WOOLNTH1,12h,2018-06-25 17:00:00,2018-06-28 00:00:00,55.0
WOOLNTH1,12h,2018-07-11 17:00:00,2018-07-13 00:00:00,31.0
WOOLNTH1,12h,2018-08-21 22:00:00,2018-08-25 07:00:00,81.0
WOOLNTH1,12h,2018-08-28 01:00:00,2018-08-29 14:00:00,37.0
WOOLNTH1,12h,2018-09-02 20:00:00,2018-09-04 00:00:00,28.0
WOOLNTH1,12h,2018-10-10 14:00:00,2018-10-11 14:00:00,24.0
WOOLNTH1,12h,2018-11-27 02:00:00,2018-11-28 03:00:00,25.0
WOOLNTH1,12h,2019-03-13 00:00:00,2019-03-14 05:00:00,29.0
WOOLNTH1,12h,2019-03-18 17:00:00,2019-03-19 20:00:00,27.0
WOOLNTH1,12h,2019-03-20 05:00:00,2019-03-21 14:00:00,33.0
WOOLNTH1,12h,2019-04-01 04:00:00,2019-04-02 04:00:00,24.0
WOOLNTH1,12h,2019-04-22 16:00:00,2019-04-24 01:00:00,33.0
WOOLNTH1,12h,2019-05-16 09:00:00,2019-05-19 02:00:00,65.0
WOOLNTH1,12h,2019-06-15 09:00:00,2019-06-16 12:00:00,27.0
WOOLNTH1,12h,2019-06-23 01:00:00,2019-06-24 03:00:00,26.0
WOOLNTH1,12h,2019-08-29 01:00:00,2019-08-30 09:00:00,32.0
WOOLNTH1,12h,2019-09-16 21:00:00,2019-09-18 03:00:00,30.0
WOOLNTH1,12h,2019-09-30 20:00:00,2019-10-01 22:00:00,26.0
WOOLNTH1,12h,2019-10-22 06:00:00,2019-10-23 17:00:00,35.0
WOOLNTH1,12h,2019-12-15 23:00:00,2019-12-17 07:00:00,32.0
WOOLNTH1,12h,2020-04-14 05:00:00,2020-04-15 08:00:00,27.0
WOOLNTH1,12h,2020-05-21 23:00:00,2020-05-23 00:00:00,25.0
WOOLNTH1,12h,2020-06-06 16:00:00,2020-06-07 16:00:00,24.0
WOOLNTH1,12h,2020-06-26 20:00:00,2020-06-29 09:00:00,61.0
WOOLNTH1,12h,2020-07-07 07:00:00,2020-07-08 19:00:00,36.0
WOOLNTH1,12h,2020-07-10 16:00:00,2020-07-11 19:00:00,27.0
WOOLNTH1,12h,2020-07-13 07:00:00,2020-07-14 13:00:00,30.0
WOOLNTH1,12h,2020-07-15 17:00:00,2020-07-17 08:00:00,39.0
WOOLNTH1,12h,2020-07-24 15:00:00,2020-07-25 23:00:00,32.0
WOOLNTH1,12h,2020-10-19 21:00:00,2020-10-21 04:00:00,31.0
WOOLNTH1,12h,2021-02-27 08:00:00,2021-02-28 19:00:00,35.0
WOOLNTH1,12h,2021-03-10 15:00:00,2021-03-12 01:00:00,34.0
WOOLNTH1,12h,2021-04-06 07:00:00,2021-04-07 19:00:00,36.0
WOOLNTH1,12h,2021-06-01 22:00:00,2021-06-02 23:00:00,25.0
WOOLNTH1,12h,2021-06-13 22:00:00,2021-06-15 03:00:00,29.0
WOOLNTH1,12h,2021-06-20 01:00:00,2021-06-21 04:00:00,27.0
WOOLNTH1,12h,2021-07-06 15:00:00,2021-07-07 15:00:00,24.0
WOOLNTH1,12h,2021-07-09 16:00:00,2021-07-10 21:00:00,29.0
WOOLNTH1,12h,2021-09-13 21:00:00,2021-09-15 05:00:00,32.0
WOOLNTH1,12h,2021-09-25 22:00:00,2021-09-27 01:00:00,27.0
WOOLNTH1,12h,2021-09-27 08:00:00,2021-09-29 02:00:00,42.0
WOOLNTH1,12h,2021-12-30 16:00:00,2021-12-31 23:00:00,31.0
WOOLNTH1,1D,2014-02-17 19:00:00,2014-02-19 11:00:00,40.0
WOOLNTH1,1D,2014-03-13 12:00:00,2014-03-14 13:00:00,25.0
WOOLNTH1,1D,2014-03-29 05:00:00,2014-03-30 18:00:00,37.0
WOOLNTH1,1D,2014-04-05 13:00:00,2014-04-06 17:00:00,28.0
WOOLNTH1,1D,2014-06-08 10:00:00,2014-06-09 14:00:00,28.0
WOOLNTH1,1D,2014-07-05 18:00:00,2014-07-07 06:00:00,36.0
WOOLNTH1,1D,2014-07-20 06:00:00,2014-07-23 14:00:00,80.0
WOOLNTH1,1D,2014-08-14 16:00:00,2014-08-16 14:00:00,46.0
WOOLNTH1,1D,2014-08-19 17:00:00,2014-08-21 00:00:00,31.0
WOOLNTH1,1D,2014-08-28 00:00:00,2014-08-29 19:00:00,43.0
WOOLNTH1,1D,2014-09-05 09:00:00,2014-09-07 04:00:00,43.0
WOOLNTH1,1D,2015-03-21 07:00:00,2015-03-22 08:00:00,25.0
WOOLNTH1,1D,2015-04-20 05:00:00,2015-04-24 20:00:00,111.0
WOOLNTH1,1D,2015-04-29 09:00:00,2015-04-30 15:00:00,30.0
WOOLNTH1,1D,2015-05-16 11:00:00,2015-05-18 12:00:00,49.0
WOOLNTH1,1D,2015-05-24 06:00:00,2015-05-26 16:00:00,58.0
WOOLNTH1,1D,2015-06-02 12:00:00,2015-06-04 02:00:00,38.0
WOOLNTH1,1D,2015-06-12 11:00:00,2015-06-14 19:00:00,56.0
WOOLNTH1,1D,2015-06-18 07:00:00,2015-06-20 07:00:00,48.0
WOOLNTH1,1D,2015-08-18 21:00:00,2015-08-20 00:00:00,27.0
WOOLNTH1,1D,2015-08-30 22:00:00,2015-09-01 23:00:00,49.0
WOOLNTH1,1D,2015-09-18 09:00:00,2015-09-19 23:00:00,38.0
WOOLNTH1,1D,2015-09-25 09:00:00,2015-09-27 23:00:00,62.0
WOOLNTH1,1D,2015-11-15 14:00:00,2015-11-16 17:00:00,27.0
WOOLNTH1,1D,2016-02-21 05:00:00,2016-02-22 21:00:00,40.0
WOOLNTH1,1D,2016-03-03 12:00:00,2016-03-04 15:00:00,27.0
WOOLNTH1,1D,2016-03-20 15:00:00,2016-03-22 11:00:00,44.0
WOOLNTH1,1D,2016-03-28 10:00:00,2016-03-30 03:00:00,41.0
WOOLNTH1,1D,2016-04-13 23:00:00,2016-04-15 06:00:00,31.0
WOOLNTH1,1D,2016-04-24 08:00:00,2016-04-25 14:00:00,30.0
