Windfarm,Scale,Start,End,Duration
WPWF,4h,2014-08-03 04:00:00,2014-08-04 17:00:00,37.0
WPWF,4h,2014-09-11 16:00:00,2014-09-13 08:00:00,40.0
WPWF,4h,2015-06-15 07:00:00,2015-06-16 07:00:00,24.0
WPWF,4h,2015-06-26 23:00:00,2015-06-28 10:00:00,35.0
WPWF,4h,2015-06-29 07:00:00,2015-06-30 19:00:00,36.0
WPWF,4h,2015-08-14 06:00:00,2015-08-15 21:00:00,39.0
WPWF,4h,2016-04-06 18:00:00,2016-04-07 20:00:00,26.0
WPWF,4h,2016-04-08 01:00:00,2016-04-09 09:00:00,32.0
WPWF,4h,2016-07-07 04:00:00,2016-07-08 06:00:00,26.0
WPWF,4h,2016-08-21 11:00:00,2016-08-22 11:00:00,24.0
WPWF,4h,2017-05-10 13:00:00,2017-05-11 13:00:00,24.0
WPWF,4h,2017-06-03 01:00:00,2017-06-04 20:00:00,43.0
WPWF,4h,2017-06-06 18:00:00,2017-06-07 22:00:00,28.0
WPWF,4h,2017-06-10 01:00:00,2017-06-11 01:00:00,24.0
WPWF,4h,2017-06-17 15:00:00,2017-06-18 22:00:00,31.0
WPWF,4h,2017-06-25 23:00:00,2017-06-27 16:00:00,41.0
WPWF,4h,2017-08-27 21:00:00,2017-08-30 02:00:00,53.0
WPWF,4h,2018-06-02 02:00:00,2018-06-03 10:00:00,32.0
WPWF,4h,2018-06-20 12:00:00,2018-06-21 21:00:00,33.0
WPWF,4h,2018-07-09 09:00:00,2018-07-10 11:00:00,26.0
WPWF,4h,2018-11-08 04:00:00,2018-11-09 07:00:00,27.0
WPWF,4h,2019-05-04 08:00:00,2019-05-05 08:00:00,24.0
WPWF,4h,2019-05-13 23:00:00,2019-05-15 04:00:00,29.0
WPWF,4h,2019-06-05 13:00:00,2019-06-06 15:00:00,26.0
WPWF,4h,2019-07-02 05:00:00,2019-07-03 09:00:00,28.0
WPWF,4h,2019-07-26 10:00:00,2019-07-27 19:00:00,33.0
WPWF,4h,2019-09-23 16:00:00,2019-09-25 01:00:00,33.0
WPWF,4h,2020-05-02 23:00:00,2020-05-04 04:00:00,29.0
WPWF,4h,2020-05-13 15:00:00,2020-05-14 22:00:00,31.0
WPWF,4h,2020-06-04 07:00:00,2020-06-06 03:00:00,44.0
WPWF,4h,2020-06-09 04:00:00,2020-06-11 13:00:00,57.0
