Windfarm,Scale,Start,End,Duration
WRWF1,4h,2017-03-22 08:00:00,2017-03-23 08:00:00,24.0
WRWF1,4h,2017-05-20 09:00:00,2017-05-21 11:00:00,26.0
WRWF1,4h,2017-07-10 03:00:00,2017-07-11 06:00:00,27.0
WRWF1,4h,2019-06-08 13:00:00,2019-06-09 14:00:00,25.0
WRWF1,4h,2021-05-08 11:00:00,2021-05-09 23:00:00,36.0
WRWF1,12h,2014-01-11 03:00:00,2014-01-12 06:00:00,27.0
WRWF1,12h,2014-04-15 00:00:00,2014-04-17 03:00:00,51.0
WRWF1,12h,2014-05-03 05:00:00,2014-05-04 05:00:00,24.0
WRWF1,12h,2014-05-25 05:00:00,2014-05-28 20:00:00,87.0
WRWF1,12h,2014-06-03 01:00:00,2014-06-04 04:00:00,27.0
WRWF1,12h,2014-06-07 14:00:00,2014-06-08 16:00:00,26.0
WRWF1,12h,2014-10-06 01:00:00,2014-10-07 03:00:00,26.0
WRWF1,12h,2015-01-11 03:00:00,2015-01-12 06:00:00,27.0
WRWF1,12h,2015-04-15 00:00:00,2015-04-17 03:00:00,51.0
WRWF1,12h,2015-05-03 05:00:00,2015-05-04 05:00:00,24.0
WRWF1,12h,2015-05-25 05:00:00,2015-05-28 20:00:00,87.0
WRWF1,12h,2015-06-03 01:00:00,2015-06-04 04:00:00,27.0
WRWF1,12h,2015-06-07 14:00:00,2015-06-08 16:00:00,26.0
WRWF1,12h,2015-10-06 01:00:00,2015-10-07 03:00:00,26.0
WRWF1,12h,2016-05-04 20:00:00,2016-05-07 06:00:00,58.0
WRWF1,12h,2016-05-13 05:00:00,2016-05-14 06:00:00,25.0
WRWF1,12h,2016-07-29 21:00:00,2016-07-30 21:00:00,24.0
WRWF1,12h,2016-11-03 02:00:00,2016-11-04 04:00:00,26.0
WRWF1,12h,2017-03-21 20:00:00,2017-03-23 09:00:00,37.0
WRWF1,12h,2017-05-20 05:00:00,2017-05-21 18:00:00,37.0
WRWF1,12h,2017-05-22 00:00:00,2017-05-23 00:00:00,24.0
WRWF1,12h,2017-05-25 06:00:00,2017-05-26 17:00:00,35.0
WRWF1,12h,2017-07-09 20:00:00,2017-07-11 08:00:00,36.0
WRWF1,12h,2017-10-03 07:00:00,2017-10-04 09:00:00,26.0
WRWF1,12h,2018-03-04 00:00:00,2018-03-05 09:00:00,33.0
WRWF1,12h,2019-04-07 16:00:00,2019-04-08 16:00:00,24.0
WRWF1,12h,2019-05-20 08:00:00,2019-05-21 11:00:00,27.0
WRWF1,12h,2019-05-24 04:00:00,2019-05-25 21:00:00,41.0
WRWF1,12h,2019-06-08 18:00:00,2019-06-09 23:00:00,29.0
WRWF1,12h,2019-10-30 02:00:00,2019-10-31 02:00:00,24.0
WRWF1,12h,2020-01-28 01:00:00,2020-01-29 04:00:00,27.0
WRWF1,12h,2020-04-14 18:00:00,2020-04-16 00:00:00,30.0
WRWF1,12h,2020-05-12 20:00:00,2020-05-14 09:00:00,37.0
WRWF1,12h,2020-06-05 03:00:00,2020-06-07 08:00:00,53.0
WRWF1,12h,2020-06-15 06:00:00,2020-06-16 18:00:00,36.0
WRWF1,12h,2020-08-01 00:00:00,2020-08-02 13:00:00,37.0
WRWF1,12h,2021-04-23 23:00:00,2021-04-25 10:00:00,35.0
WRWF1,12h,2021-05-08 12:00:00,2021-05-10 01:00:00,37.0
WRWF1,12h,2021-05-11 17:00:00,2021-05-12 23:00:00,30.0
WRWF1,12h,2021-05-31 18:00:00,2021-06-02 06:00:00,36.0
WRWF1,12h,2021-06-13 17:00:00,2021-06-15 07:00:00,38.0
WRWF1,1D,2014-04-14 16:00:00,2014-04-17 06:00:00,62.0
WRWF1,1D,2014-05-03 04:00:00,2014-05-05 02:00:00,46.0
WRWF1,1D,2014-05-25 09:00:00,2014-05-29 01:00:00,88.0
WRWF1,1D,2014-06-03 10:00:00,2014-06-04 20:00:00,34.0
WRWF1,1D,2014-06-07 23:00:00,2014-06-08 23:00:00,24.0
WRWF1,1D,2014-06-22 20:00:00,2014-06-25 11:00:00,63.0
WRWF1,1D,2014-06-27 16:00:00,2014-06-28 18:00:00,26.0
WRWF1,1D,2014-08-07 13:00:00,2014-08-08 15:00:00,26.0
WRWF1,1D,2014-10-03 17:00:00,2014-10-05 08:00:00,39.0
WRWF1,1D,2014-12-15 12:00:00,2014-12-16 14:00:00,26.0
WRWF1,1D,2015-04-14 16:00:00,2015-04-17 06:00:00,62.0
WRWF1,1D,2015-05-03 04:00:00,2015-05-05 02:00:00,46.0
WRWF1,1D,2015-05-25 09:00:00,2015-05-29 01:00:00,88.0
WRWF1,1D,2015-06-03 10:00:00,2015-06-04 20:00:00,34.0
WRWF1,1D,2015-06-07 23:00:00,2015-06-08 23:00:00,24.0
WRWF1,1D,2015-06-22 20:00:00,2015-06-25 11:00:00,63.0
WRWF1,1D,2015-06-27 16:00:00,2015-06-28 18:00:00,26.0
WRWF1,1D,2015-08-07 13:00:00,2015-08-08 15:00:00,26.0
WRWF1,1D,2015-10-03 17:00:00,2015-10-05 08:00:00,39.0
WRWF1,1D,2015-12-15 12:00:00,2015-12-16 14:00:00,26.0
WRWF1,1D,2016-01-11 12:00:00,2016-01-14 06:00:00,66.0
WRWF1,1D,2016-04-08 19:00:00,2016-04-10 00:00:00,29.0
WRWF1,1D,2016-05-04 22:00:00,2016-05-07 08:00:00,58.0
WRWF1,1D,2016-05-13 15:00:00,2016-05-15 02:00:00,35.0
WRWF1,1D,2016-07-02 13:00:00,2016-07-03 23:00:00,34.0
WRWF1,1D,2016-07-18 15:00:00,2016-07-20 04:00:00,37.0
WRWF1,1D,2016-07-30 03:00:00,2016-07-31 04:00:00,25.0
WRWF1,1D,2016-08-06 17:00:00,2016-08-08 15:00:00,46.0
WRWF1,1D,2016-08-16 20:00:00,2016-08-18 04:00:00,32.0
WRWF1,1D,2016-08-27 22:00:00,2016-08-29 12:00:00,38.0
