Windfarm,Scale,Start,End,Duration
YANDIN_WF1,1h,2014-05-10 01:00:00,2014-05-11 03:00:00,26.0
YANDIN_WF1,1h,2017-07-01 21:00:00,2017-07-03 05:00:00,32.0
YANDIN_WF1,1h,2017-07-03 15:00:00,2017-07-04 15:00:00,24.0
YANDIN_WF1,1h,2018-06-13 13:00:00,2018-06-14 14:00:00,25.0
YANDIN_WF1,1h,2021-06-30 09:00:00,2021-07-01 18:00:00,33.0
YANDIN_WF1,1h,2021-08-10 21:00:00,2021-08-12 09:00:00,36.0
YANDIN_WF1,4h,2014-05-10 03:00:00,2014-05-11 04:00:00,25.0
YANDIN_WF1,4h,2014-08-15 19:00:00,2014-08-16 19:00:00,24.0
YANDIN_WF1,4h,2016-06-04 14:00:00,2016-06-05 18:00:00,28.0
YANDIN_WF1,4h,2016-08-09 18:00:00,2016-08-10 21:00:00,27.0
YANDIN_WF1,4h,2017-07-01 20:00:00,2017-07-03 06:00:00,34.0
YANDIN_WF1,4h,2018-06-13 13:00:00,2018-06-14 23:00:00,34.0
YANDIN_WF1,4h,2021-06-10 16:00:00,2021-06-12 10:00:00,42.0
YANDIN_WF1,4h,2021-06-30 03:00:00,2021-07-02 01:00:00,46.0
YANDIN_WF1,4h,2021-08-10 23:00:00,2021-08-12 16:00:00,41.0
YANDIN_WF1,12h,2014-05-10 02:00:00,2014-05-12 02:00:00,48.0
YANDIN_WF1,12h,2014-05-12 19:00:00,2014-05-16 11:00:00,88.0
YANDIN_WF1,12h,2014-05-18 21:00:00,2014-05-20 06:00:00,33.0
YANDIN_WF1,12h,2014-06-01 11:00:00,2014-06-02 17:00:00,30.0
YANDIN_WF1,12h,2014-07-29 00:00:00,2014-07-30 05:00:00,29.0
YANDIN_WF1,12h,2014-08-15 23:00:00,2014-08-16 23:00:00,24.0
YANDIN_WF1,12h,2014-08-24 00:00:00,2014-08-25 06:00:00,30.0
YANDIN_WF1,12h,2015-07-03 06:00:00,2015-07-04 10:00:00,28.0
YANDIN_WF1,12h,2015-07-04 22:00:00,2015-07-07 07:00:00,57.0
YANDIN_WF1,12h,2015-07-09 06:00:00,2015-07-10 11:00:00,29.0
YANDIN_WF1,12h,2015-07-29 02:00:00,2015-07-30 03:00:00,25.0
YANDIN_WF1,12h,2015-08-12 02:00:00,2015-08-13 18:00:00,40.0
YANDIN_WF1,12h,2016-04-12 11:00:00,2016-04-13 13:00:00,26.0
YANDIN_WF1,12h,2016-04-26 22:00:00,2016-04-28 02:00:00,28.0
YANDIN_WF1,12h,2016-04-30 16:00:00,2016-05-02 11:00:00,43.0
YANDIN_WF1,12h,2016-05-16 02:00:00,2016-05-17 13:00:00,35.0
YANDIN_WF1,12h,2016-05-26 10:00:00,2016-05-27 11:00:00,25.0
YANDIN_WF1,12h,2016-06-04 17:00:00,2016-06-06 02:00:00,33.0
