Windfarm,Scale,Start,End,Duration
YSWF1,4h,2014-07-20 00:00:00,2014-07-21 06:00:00,30.0
YSWF1,4h,2014-07-21 11:00:00,2014-07-23 02:00:00,39.0
YSWF1,4h,2014-08-27 12:00:00,2014-08-29 08:00:00,44.0
YSWF1,4h,2015-06-28 21:00:00,2015-06-30 07:00:00,34.0
YSWF1,4h,2016-06-01 09:00:00,2016-06-03 19:00:00,58.0
YSWF1,4h,2016-08-05 10:00:00,2016-08-06 11:00:00,25.0
YSWF1,4h,2017-05-03 05:00:00,2017-05-04 06:00:00,25.0
YSWF1,4h,2017-06-02 04:00:00,2017-06-03 17:00:00,37.0
YSWF1,4h,2017-07-31 03:00:00,2017-08-01 06:00:00,27.0
YSWF1,4h,2017-08-01 18:00:00,2017-08-02 20:00:00,26.0
YSWF1,4h,2018-04-29 13:00:00,2018-04-30 16:00:00,27.0
YSWF1,4h,2018-05-31 23:00:00,2018-06-02 04:00:00,29.0
YSWF1,4h,2018-06-25 07:00:00,2018-06-26 07:00:00,24.0
YSWF1,4h,2018-06-26 12:00:00,2018-06-28 11:00:00,47.0
YSWF1,4h,2020-05-14 03:00:00,2020-05-15 06:00:00,27.0
YSWF1,4h,2020-06-26 13:00:00,2020-06-28 22:00:00,57.0
YSWF1,4h,2020-07-24 22:00:00,2020-07-26 06:00:00,32.0
YSWF1,4h,2021-03-30 14:00:00,2021-03-31 18:00:00,28.0
YSWF1,12h,2014-03-28 05:00:00,2014-03-30 07:00:00,50.0
YSWF1,12h,2014-05-29 01:00:00,2014-05-31 02:00:00,49.0
YSWF1,12h,2014-07-20 03:00:00,2014-07-23 11:00:00,80.0
YSWF1,12h,2014-08-14 02:00:00,2014-08-16 07:00:00,53.0
YSWF1,12h,2014-08-27 07:00:00,2014-08-30 03:00:00,68.0
YSWF1,12h,2014-09-04 21:00:00,2014-09-06 18:00:00,45.0
YSWF1,12h,2014-09-12 10:00:00,2014-09-14 07:00:00,45.0
YSWF1,12h,2015-05-23 05:00:00,2015-05-24 08:00:00,27.0
YSWF1,12h,2015-06-11 02:00:00,2015-06-12 12:00:00,34.0
YSWF1,12h,2015-06-13 18:00:00,2015-06-14 20:00:00,26.0
YSWF1,12h,2015-06-28 22:00:00,2015-06-30 09:00:00,35.0
YSWF1,12h,2016-03-10 03:00:00,2016-03-11 09:00:00,30.0
YSWF1,12h,2016-05-31 17:00:00,2016-06-05 04:00:00,107.0
YSWF1,12h,2016-08-22 15:00:00,2016-08-24 08:00:00,41.0
YSWF1,12h,2017-02-09 20:00:00,2017-02-11 01:00:00,29.0
YSWF1,12h,2017-04-16 10:00:00,2017-04-18 22:00:00,60.0
YSWF1,12h,2017-04-22 21:00:00,2017-04-24 12:00:00,39.0
YSWF1,12h,2017-05-03 09:00:00,2017-05-04 20:00:00,35.0
YSWF1,12h,2017-05-09 14:00:00,2017-05-10 20:00:00,30.0
YSWF1,12h,2017-06-01 15:00:00,2017-06-04 10:00:00,67.0
YSWF1,12h,2017-06-16 02:00:00,2017-06-17 07:00:00,29.0
YSWF1,12h,2017-07-31 07:00:00,2017-08-01 10:00:00,27.0
YSWF1,12h,2017-08-01 20:00:00,2017-08-03 06:00:00,34.0
YSWF1,12h,2018-04-19 11:00:00,2018-04-23 06:00:00,91.0
YSWF1,12h,2018-05-25 02:00:00,2018-05-26 06:00:00,28.0
YSWF1,12h,2018-06-01 01:00:00,2018-06-02 12:00:00,35.0
YSWF1,12h,2018-06-09 10:00:00,2018-06-10 13:00:00,27.0
YSWF1,12h,2018-06-25 10:00:00,2018-06-28 12:00:00,74.0
YSWF1,12h,2018-08-24 03:00:00,2018-08-25 16:00:00,37.0
YSWF1,12h,2019-05-15 15:00:00,2019-05-16 18:00:00,27.0
YSWF1,12h,2019-05-17 10:00:00,2019-05-18 15:00:00,29.0
YSWF1,12h,2019-06-22 21:00:00,2019-06-24 13:00:00,40.0
YSWF1,12h,2019-10-21 03:00:00,2019-10-23 03:00:00,48.0
YSWF1,12h,2020-02-16 23:00:00,2020-02-18 04:00:00,29.0
YSWF1,12h,2020-05-14 06:00:00,2020-05-15 15:00:00,33.0
YSWF1,12h,2020-06-26 14:00:00,2020-06-29 10:00:00,68.0
YSWF1,12h,2020-07-07 06:00:00,2020-07-08 12:00:00,30.0
YSWF1,12h,2020-07-24 14:00:00,2020-07-26 14:00:00,48.0
YSWF1,12h,2020-10-19 19:00:00,2020-10-21 06:00:00,35.0
YSWF1,12h,2021-03-30 14:00:00,2021-03-31 23:00:00,33.0
YSWF1,12h,2021-04-27 00:00:00,2021-04-28 06:00:00,30.0
YSWF1,12h,2021-04-28 18:00:00,2021-04-30 02:00:00,32.0
YSWF1,12h,2021-06-13 12:00:00,2021-06-14 12:00:00,24.0
YSWF1,12h,2021-07-09 02:00:00,2021-07-10 20:00:00,42.0
YSWF1,1D,2014-02-13 22:00:00,2014-02-15 11:00:00,37.0
YSWF1,1D,2014-03-28 07:00:00,2014-03-30 14:00:00,55.0
YSWF1,1D,2014-04-16 04:00:00,2014-04-17 09:00:00,29.0
YSWF1,1D,2014-05-29 06:00:00,2014-05-31 23:00:00,65.0
YSWF1,1D,2014-06-01 02:00:00,2014-06-02 14:00:00,36.0
YSWF1,1D,2014-07-20 01:00:00,2014-07-23 15:00:00,86.0
YSWF1,1D,2014-08-14 08:00:00,2014-08-16 15:00:00,55.0
YSWF1,1D,2014-08-26 12:00:00,2014-08-30 09:00:00,93.0
YSWF1,1D,2014-09-03 20:00:00,2014-09-06 21:00:00,73.0
YSWF1,1D,2014-09-12 19:00:00,2014-09-14 20:00:00,49.0
YSWF1,1D,2014-10-25 10:00:00,2014-10-26 11:00:00,25.0
YSWF1,1D,2014-12-09 00:00:00,2014-12-10 09:00:00,33.0
YSWF1,1D,2015-03-02 10:00:00,2015-03-03 21:00:00,35.0
YSWF1,1D,2015-03-30 05:00:00,2015-03-31 15:00:00,34.0
YSWF1,1D,2015-04-16 18:00:00,2015-04-17 18:00:00,24.0
YSWF1,1D,2015-04-29 04:00:00,2015-04-30 21:00:00,41.0
YSWF1,1D,2015-05-23 12:00:00,2015-05-24 16:00:00,28.0
YSWF1,1D,2015-06-11 06:00:00,2015-06-12 14:00:00,32.0
YSWF1,1D,2015-06-14 01:00:00,2015-06-15 16:00:00,39.0
YSWF1,1D,2015-06-29 03:00:00,2015-06-30 14:00:00,35.0
YSWF1,1D,2015-09-26 10:00:00,2015-09-27 18:00:00,32.0
YSWF1,1D,2016-01-21 02:00:00,2016-01-23 00:00:00,46.0
YSWF1,1D,2016-03-10 08:00:00,2016-03-12 23:00:00,63.0
YSWF1,1D,2016-05-29 19:00:00,2016-05-30 21:00:00,26.0
YSWF1,1D,2016-05-31 21:00:00,2016-06-05 10:00:00,109.0
YSWF1,1D,2016-08-05 08:00:00,2016-08-06 16:00:00,32.0
YSWF1,1D,2016-08-23 00:00:00,2016-08-24 14:00:00,38.0
YSWF1,1D,2016-10-28 10:00:00,2016-10-29 11:00:00,25.0
YSWF1,1D,2016-11-18 15:00:00,2016-11-20 05:00:00,38.0
YSWF1,1D,2016-11-27 14:00:00,2016-11-29 05:00:00,39.0
YSWF1,1D,2017-01-04 07:00:00,2017-01-05 07:00:00,24.0
YSWF1,1D,2017-01-09 06:00:00,2017-01-10 06:00:00,24.0
YSWF1,1D,2017-03-09 21:00:00,2017-03-11 13:00:00,40.0
YSWF1,1D,2017-04-03 15:00:00,2017-04-04 22:00:00,31.0
YSWF1,1D,2017-04-14 14:00:00,2017-04-15 17:00:00,27.0
YSWF1,1D,2017-04-16 21:00:00,2017-04-19 02:00:00,53.0
YSWF1,1D,2017-04-23 00:00:00,2017-04-24 14:00:00,38.0
YSWF1,1D,2017-05-03 15:00:00,2017-05-05 00:00:00,33.0
YSWF1,1D,2017-05-09 15:00:00,2017-05-11 23:00:00,56.0
YSWF1,1D,2017-05-13 07:00:00,2017-05-14 07:00:00,24.0
YSWF1,1D,2017-05-15 07:00:00,2017-05-16 12:00:00,29.0
YSWF1,1D,2017-06-01 20:00:00,2017-06-04 14:00:00,66.0
YSWF1,1D,2017-06-16 11:00:00,2017-06-17 12:00:00,25.0
YSWF1,1D,2017-07-31 10:00:00,2017-08-03 19:00:00,81.0
YSWF1,1D,2017-10-14 06:00:00,2017-10-16 16:00:00,58.0
YSWF1,1D,2017-10-23 14:00:00,2017-10-25 06:00:00,40.0
YSWF1,1D,2017-11-10 06:00:00,2017-11-11 06:00:00,24.0
YSWF1,1D,2017-11-12 05:00:00,2017-11-13 14:00:00,33.0
YSWF1,1D,2018-01-26 07:00:00,2018-01-27 16:00:00,33.0
YSWF1,1D,2018-04-04 12:00:00,2018-04-06 08:00:00,44.0
YSWF1,1D,2018-04-19 17:00:00,2018-04-23 09:00:00,88.0
YSWF1,1D,2018-04-29 19:00:00,2018-04-30 22:00:00,27.0
YSWF1,1D,2018-05-25 04:00:00,2018-05-26 09:00:00,29.0
YSWF1,1D,2018-06-01 07:00:00,2018-06-04 15:00:00,80.0
YSWF1,1D,2018-06-25 18:00:00,2018-06-28 14:00:00,68.0
YSWF1,1D,2018-08-23 21:00:00,2018-08-25 23:00:00,50.0
YSWF1,1D,2018-08-28 07:00:00,2018-08-29 15:00:00,32.0
