Windfarm,Best Fit Model,Params (as string),AIC,BIC
ALBANY_WF1,gengamma,"1.4747485622537053, 1.8977444930874023, -0.4022505989779729, 7.67935018065461",384206.4433675868,384243.07567727746
ARWF1,gengamma,"0.562328537228437, 3.05425255696023, -0.0002480523144389145, 10.126937543276451",365152.8153591388,365189.44766882947
BADGINGARRA_WF1,burr,"8.504135778991639, 0.23166839411719226, -0.0008698079457088617, 10.158149022969301",349734.78148104536,349771.413790736
BALDHWF1,gengamma,"0.8755243920882769, 2.3189062678869306, -0.019772886410094864, 9.322332276255638",379974.5233224056,380011.1556320962
BLUFF1,gengamma,"1.4075049211733015, 2.0605643066752943, -0.2821556381291638, 7.043338853438861",359892.7845639293,359929.41687361995
BOCORWF1,gengamma,"1.0582108577614882, 2.0015549612635537, -0.009490652398019148, 6.9897270821942",357512.7940643105,357549.42637400114
BODWF1,gengamma,"0.7222316919491041, 3.0318249553155674, -0.3596114848496015, 9.109834145371781",349060.6115527617,349097.24386245233
CAPTL_WF,gengamma,"1.9784661938708037, 1.4103652088581617, -0.23819888159146996, 4.535453396082554",367287.99311603844,367324.6254257291
CATHROCK,burr,"5.892760052272058, 0.4042693463724016, -0.2814415632712324, 10.426477676120914",373125.57899630436,373162.211305995
CHALLHWF,gengamma,"1.115195972223074, 2.351208135597565, -0.3562202786746469, 8.194180536048734",364771.68323372025,364808.3155434109
CHYTWF1,gengamma,"0.7610970580217233, 2.164383500754821, 0.009491805570986063, 7.75603543090791",356991.7411110362,357028.37342072686
CNUNDAWF,burr,"6.546518173607398, 0.31866790018959745, -0.05945414537709663, 10.480933814743018",367955.92270742304,367992.5550171137
COLLGAR_WF1,gengamma,"1.624044035001603, 2.7328172407744633, -2.785870135536337, 8.572966149674286",347372.81106301176,347409.4433727024
COLWF01,gengamma,"1.2397577382864546, 1.9881843297504833, -0.3370750530751133, 7.343046977875682",365279.5253561983,365316.15766588895
COOPGWF1,gengamma,"0.7208681309287295, 3.301086573621344, -0.04336252727612261, 8.465708968344149",333872.03278340475,333908.6650930954
