Windfarm,Scale,Start,End,Duration
ALBANY_WF1,1h,2014-05-18 15:00:00,2014-05-19 16:00:00,25.0
ALBANY_WF1,1h,2015-06-26 07:00:00,2015-06-27 10:00:00,27.0
ALBANY_WF1,1h,2015-06-30 03:00:00,2015-07-01 05:00:00,26.0
ALBANY_WF1,1h,2016-05-31 02:00:00,2016-06-01 05:00:00,27.0
ALBANY_WF1,1h,2018-06-21 08:00:00,2018-06-22 09:00:00,25.0
ALBANY_WF1,1h,2018-07-09 03:00:00,2018-07-10 05:00:00,26.0
ALBANY_WF1,1h,2020-08-24 13:00:00,2020-08-25 16:00:00,27.0
ALBANY_WF1,4h,2014-05-18 17:00:00,2014-05-19 17:00:00,24.0
ALBANY_WF1,4h,2015-06-26 07:00:00,2015-06-27 12:00:00,29.0
ALBANY_WF1,4h,2015-06-30 04:00:00,2015-07-01 06:00:00,26.0
ALBANY_WF1,4h,2015-07-12 05:00:00,2015-07-13 21:00:00,40.0
ALBANY_WF1,4h,2015-09-15 15:00:00,2015-09-16 16:00:00,25.0
ALBANY_WF1,4h,2015-11-02 17:00:00,2015-11-03 19:00:00,26.0
ALBANY_WF1,4h,2016-05-30 23:00:00,2016-06-01 07:00:00,32.0
ALBANY_WF1,4h,2016-09-04 03:00:00,2016-09-05 06:00:00,27.0
ALBANY_WF1,4h,2017-04-26 04:00:00,2017-04-27 08:00:00,28.0
ALBANY_WF1,4h,2017-08-22 21:00:00,2017-08-24 08:00:00,35.0
ALBANY_WF1,4h,2018-06-02 07:00:00,2018-06-03 08:00:00,25.0
ALBANY_WF1,4h,2018-06-21 10:00:00,2018-06-22 12:00:00,26.0
ALBANY_WF1,4h,2018-07-09 05:00:00,2018-07-10 07:00:00,26.0
ALBANY_WF1,4h,2019-05-09 22:00:00,2019-05-11 01:00:00,27.0
ALBANY_WF1,4h,2019-05-26 10:00:00,2019-05-27 11:00:00,25.0
ALBANY_WF1,4h,2020-05-13 13:00:00,2020-05-14 22:00:00,33.0
ALBANY_WF1,4h,2020-06-03 03:00:00,2020-06-04 04:00:00,25.0
ALBANY_WF1,4h,2020-08-24 14:00:00,2020-08-25 17:00:00,27.0
ALBANY_WF1,4h,2021-06-11 00:00:00,2021-06-12 18:00:00,42.0
ALBANY_WF1,4h,2021-11-06 00:00:00,2021-11-07 06:00:00,30.0
ALBANY_WF1,4h,2021-11-23 05:00:00,2021-11-24 05:00:00,24.0
ALBANY_WF1,12h,2014-04-17 21:00:00,2014-04-19 04:00:00,31.0
ALBANY_WF1,12h,2014-06-04 13:00:00,2014-06-05 14:00:00,25.0
ALBANY_WF1,12h,2014-08-03 02:00:00,2014-08-04 14:00:00,36.0
ALBANY_WF1,12h,2014-09-11 04:00:00,2014-09-12 12:00:00,32.0
ALBANY_WF1,12h,2014-10-28 21:00:00,2014-10-30 00:00:00,27.0
ALBANY_WF1,12h,2014-11-14 19:00:00,2014-11-16 08:00:00,37.0
ALBANY_WF1,12h,2015-05-01 19:00:00,2015-05-02 20:00:00,25.0
ALBANY_WF1,12h,2015-05-06 02:00:00,2015-05-07 21:00:00,43.0
ALBANY_WF1,12h,2015-05-28 17:00:00,2015-05-30 00:00:00,31.0
ALBANY_WF1,12h,2015-06-26 11:00:00,2015-06-27 18:00:00,31.0
ALBANY_WF1,12h,2015-06-29 07:00:00,2015-07-01 08:00:00,49.0
ALBANY_WF1,12h,2015-07-12 08:00:00,2015-07-14 02:00:00,42.0
ALBANY_WF1,12h,2015-08-02 08:00:00,2015-08-04 10:00:00,50.0
ALBANY_WF1,12h,2015-09-15 14:00:00,2015-09-16 18:00:00,28.0
ALBANY_WF1,12h,2015-11-02 21:00:00,2015-11-04 08:00:00,35.0
ALBANY_WF1,12h,2015-12-13 20:00:00,2015-12-15 06:00:00,34.0
ALBANY_WF1,12h,2016-02-25 01:00:00,2016-02-26 04:00:00,27.0
